activation,batch_size,candidate_name,depth,epochs,final_epochs,learning_rate,mu_in_preview,mu_ref_preview,mu_schedule_kind,phase,replicate,rho,rho_in_preview,rho_ref_preview,run_id,run_rel_dir,seed,training_contexts
gelu,1,gelu,3,130,10,0.001,1.0|1.0|1.0|1.0|1.0|...|0.01,1.0|1.0|1.0|1.0|1.0|...|0.0,discrete,activation,1,0.0,0.0|0.0|0.0|0.0|0.0|...|0.0,0.0|0.0|0.0|0.0|0.0|...|0.0,full_activation_gelu_rep01,runs/full/activation/gelu/rep01,94001,100
gelu,1,gelu,3,130,10,0.001,1.0|1.0|1.0|1.0|1.0|...|0.01,1.0|1.0|1.0|1.0|1.0|...|0.0,discrete,activation,2,0.0,0.0|0.0|0.0|0.0|0.0|...|0.0,0.0|0.0|0.0|0.0|0.0|...|0.0,full_activation_gelu_rep02,runs/full/activation/gelu/rep02,94002,100
gelu,1,gelu,3,130,10,0.001,1.0|1.0|1.0|1.0|1.0|...|0.01,1.0|1.0|1.0|1.0|1.0|...|0.0,discrete,activation,3,0.0,0.0|0.0|0.0|0.0|0.0|...|0.0,0.0|0.0|0.0|0.0|0.0|...|0.0,full_activation_gelu_rep03,runs/full/activation/gelu/rep03,94003,100
gelu,1,gelu,3,130,10,0.001,1.0|1.0|1.0|1.0|1.0|...|0.01,1.0|1.0|1.0|1.0|1.0|...|0.0,discrete,activation,4,0.0,0.0|0.0|0.0|0.0|0.0|...|0.0,0.0|0.0|0.0|0.0|0.0|...|0.0,full_activation_gelu_rep04,runs/full/activation/gelu/rep04,94004,100
gelu,1,gelu,3,130,10,0.001,1.0|1.0|1.0|1.0|1.0|...|0.01,1.0|1.0|1.0|1.0|1.0|...|0.0,discrete,activation,5,0.0,0.0|0.0|0.0|0.0|0.0|...|0.0,0.0|0.0|0.0|0.0|0.0|...|0.0,full_activation_gelu_rep05,runs/full/activation/gelu/rep05,94005,100
gelu,1,gelu,3,130,10,0.001,1.0|1.0|1.0|1.0|1.0|...|0.01,1.0|1.0|1.0|1.0|1.0|...|0.0,discrete,activation,6,0.0,0.0|0.0|0.0|0.0|0.0|...|0.0,0.0|0.0|0.0|0.0|0.0|...|0.0,full_activation_gelu_rep06,runs/full/activation/gelu/rep06,94006,100
relu,1,relu,3,130,10,0.001,1.0|1.0|1.0|1.0|1.0|...|0.01,1.0|1.0|1.0|1.0|1.0|...|0.0,discrete,activation,1,0.0,0.0|0.0|0.0|0.0|0.0|...|0.0,0.0|0.0|0.0|0.0|0.0|...|0.0,full_activation_relu_rep01,runs/full/activation/relu/rep01,94001,100
relu,1,relu,3,130,10,0.001,1.0|1.0|1.0|1.0|1.0|...|0.01,1.0|1.0|1.0|1.0|1.0|...|0.0,discrete,activation,2,0.0,0.0|0.0|0.0|0.0|0.0|...|0.0,0.0|0.0|0.0|0.0|0.0|...|0.0,full_activation_relu_rep02,runs/full/activation/relu/rep02,94002,100
relu,1,relu,3,130,10,0.001,1.0|1.0|1.0|1.0|1.0|...|0.01,1.0|1.0|1.0|1.0|1.0|...|0.0,discrete,activation,3,0.0,0.0|0.0|0.0|0.0|0.0|...|0.0,0.0|0.0|0.0|0.0|0.0|...|0.0,full_activation_relu_rep03,runs/full/activation/relu/rep03,94003,100
relu,1,relu,3,130,10,0.001,1.0|1.0|1.0|1.0|1.0|...|0.01,1.0|1.0|1.0|1.0|1.0|...|0.0,discrete,activation,4,0.0,0.0|0.0|0.0|0.0|0.0|...|0.0,0.0|0.0|0.0|0.0|0.0|...|0.0,full_activation_relu_rep04,runs/full/activation/relu/rep04,94004,100
relu,1,relu,3,130,10,0.001,1.0|1.0|1.0|1.0|1.0|...|0.01,1.0|1.0|1.0|1.0|1.0|...|0.0,discrete,activation,5,0.0,0.0|0.0|0.0|0.0|0.0|...|0.0,0.0|0.0|0.0|0.0|0.0|...|0.0,full_activation_relu_rep05,runs/full/activation/relu/rep05,94005,100
relu,1,relu,3,130,10,0.001,1.0|1.0|1.0|1.0|1.0|...|0.01,1.0|1.0|1.0|1.0|1.0|...|0.0,discrete,activation,6,0.0,0.0|0.0|0.0|0.0|0.0|...|0.0,0.0|0.0|0.0|0.0|0.0|...|0.0,full_activation_relu_rep06,runs/full/activation/relu/rep06,94006,100
silu,1,silu,3,130,10,0.001,1.0|1.0|1.0|1.0|1.0|...|0.01,1.0|1.0|1.0|1.0|1.0|...|0.0,discrete,activation,1,0.0,0.0|0.0|0.0|0.0|0.0|...|0.0,0.0|0.0|0.0|0.0|0.0|...|0.0,full_activation_silu_rep01,runs/full/activation/silu/rep01,94001,100
silu,1,silu,3,130,10,0.001,1.0|1.0|1.0|1.0|1.0|...|0.01,1.0|1.0|1.0|1.0|1.0|...|0.0,discrete,activation,2,0.0,0.0|0.0|0.0|0.0|0.0|...|0.0,0.0|0.0|0.0|0.0|0.0|...|0.0,full_activation_silu_rep02,runs/full/activation/silu/rep02,94002,100
silu,1,silu,3,130,10,0.001,1.0|1.0|1.0|1.0|1.0|...|0.01,1.0|1.0|1.0|1.0|1.0|...|0.0,discrete,activation,3,0.0,0.0|0.0|0.0|0.0|0.0|...|0.0,0.0|0.0|0.0|0.0|0.0|...|0.0,full_activation_silu_rep03,runs/full/activation/silu/rep03,94003,100
silu,1,silu,3,130,10,0.001,1.0|1.0|1.0|1.0|1.0|...|0.01,1.0|1.0|1.0|1.0|1.0|...|0.0,discrete,activation,4,0.0,0.0|0.0|0.0|0.0|0.0|...|0.0,0.0|0.0|0.0|0.0|0.0|...|0.0,full_activation_silu_rep04,runs/full/activation/silu/rep04,94004,100
silu,1,silu,3,130,10,0.001,1.0|1.0|1.0|1.0|1.0|...|0.01,1.0|1.0|1.0|1.0|1.0|...|0.0,discrete,activation,5,0.0,0.0|0.0|0.0|0.0|0.0|...|0.0,0.0|0.0|0.0|0.0|0.0|...|0.0,full_activation_silu_rep05,runs/full/activation/silu/rep05,94005,100
silu,1,silu,3,130,10,0.001,1.0|1.0|1.0|1.0|1.0|...|0.01,1.0|1.0|1.0|1.0|1.0|...|0.0,discrete,activation,6,0.0,0.0|0.0|0.0|0.0|0.0|...|0.0,0.0|0.0|0.0|0.0|0.0|...|0.0,full_activation_silu_rep06,runs/full/activation/silu/rep06,94006,100
