activation,average_test_loss,batch_size,candidate_name,depth,epochs,error,final_epochs,finished_at,mean_test_optimal_value,mean_test_policy_value,mean_test_regret,mean_test_relative_regret,mu_schedule_kind,phase,replicate,rho,run_id,seed,started_at,status,test_policy_eval_seconds,test_sample_count
gelu,0.12431943605684574,1,gelu,3,130,,10,1777877844608,805.7162362224142,911.3307886177324,105.61455239531789,0.12431943605684574,discrete,activation,1,0.0,full_activation_gelu_rep01,94001,1777873761365,ok,260.507517613,30.0
gelu,0.0434395009822164,1,gelu,3,130,,10,1777877881106,805.7162362224142,839.2367299506546,33.520493728240154,0.0434395009822164,discrete,activation,2,0.0,full_activation_gelu_rep02,94002,1777873760860,ok,253.394984774,30.0
gelu,0.1358557435189512,1,gelu,3,130,,10,1777877812868,805.7162362224142,916.9730641613551,111.25682793894056,0.1358557435189512,discrete,activation,3,0.0,full_activation_gelu_rep03,94003,1777873760695,ok,250.574180393,30.0
gelu,0.12115268304851555,1,gelu,3,130,,10,1777877854872,805.7162362224142,906.3204103266083,100.60417410419386,0.12115268304851555,discrete,activation,4,0.0,full_activation_gelu_rep04,94004,1777873760538,ok,248.551344292,30.0
gelu,0.04466651563230858,1,gelu,3,130,,10,1777877877882,805.7162362224142,843.7647434440672,38.048507221652606,0.04466651563230858,discrete,activation,5,0.0,full_activation_gelu_rep05,94005,1777873761554,ok,256.851089993,30.0
gelu,0.07271672838932879,1,gelu,3,130,,10,1777877794618,805.7162362224142,866.1648759635981,60.448639741183754,0.07271672838932879,discrete,activation,6,0.0,full_activation_gelu_rep06,94006,1777873760573,ok,248.733222419,30.0
relu,0.055722944225495286,1,relu,3,130,,10,1777877868163,805.7162362224142,852.3840096689642,46.66777344654965,0.055722944225495286,discrete,activation,1,0.0,full_activation_relu_rep01,94001,1777873761379,ok,252.623970248,30.0
relu,0.0966209473623263,1,relu,3,130,,10,1777877870039,805.7162362224142,893.0803142801757,87.36407805776109,0.0966209473623263,discrete,activation,2,0.0,full_activation_relu_rep02,94002,1777873760512,ok,257.15228452,30.0
relu,0.05851237578047353,1,relu,3,130,,10,1777881864044,805.7162362224142,854.7857766725864,49.06954045017187,0.05851237578047353,discrete,activation,3,0.0,full_activation_relu_rep03,94003,1777877834362,ok,247.950791193,30.0
relu,0.17961653926401058,1,relu,3,130,,10,1777881886546,805.7162362224142,954.3258725870153,148.60963636460082,0.17961653926401058,discrete,activation,4,0.0,full_activation_relu_rep04,94004,1777877852917,ok,242.963512206,30.0
relu,0.14672197696261216,1,relu,3,130,,10,1777881949108,805.7162362224142,928.3327396561275,122.6165034337129,0.14672197696261216,discrete,activation,5,0.0,full_activation_relu_rep05,94005,1777877881178,ok,249.830010881,30.0
relu,0.1830261084136767,1,relu,3,130,,10,1777881978892,805.7162362224142,953.6603025427733,147.94406632035873,0.1830261084136767,discrete,activation,6,0.0,full_activation_relu_rep06,94006,1777877891537,ok,255.90942029,30.0
silu,0.25259366395512856,1,silu,3,130,,10,1777881981847,805.7162362224142,1009.6337040702838,203.91746784786926,0.25259366395512856,discrete,activation,1,0.0,full_activation_silu_rep01,94001,1777877905004,ok,249.791855399,30.0
silu,0.054132210469014584,1,silu,3,130,,10,1777881998915,805.7162362224142,848.7146619890541,42.99842576663982,0.054132210469014584,discrete,activation,2,0.0,full_activation_silu_rep02,94002,1777877906629,ok,231.045707358,30.0
silu,0.06351890659972324,1,silu,3,130,,10,1777881997319,805.7162362224142,856.8994627480305,51.183226525616085,0.06351890659972324,discrete,activation,3,0.0,full_activation_silu_rep03,94003,1777877913965,ok,234.237085208,30.0
silu,0.024116869593447724,1,silu,3,130,,10,1777881987351,805.7162362224142,826.5075499091179,20.7913136867033,0.024116869593447724,discrete,activation,4,0.0,full_activation_silu_rep04,94004,1777877917176,ok,250.887346273,30.0
silu,0.062179341671899535,1,silu,3,130,,10,1777883904184,805.7162362224142,859.6454932614914,53.92925703907714,0.062179341671899535,discrete,activation,5,0.0,full_activation_silu_rep05,94005,1777881904825,ok,60.007726332,30.0
silu,0.053473624047412946,1,silu,3,130,,10,1777883932434,805.7162362224142,850.9306780243741,45.214441801959495,0.053473624047412946,discrete,activation,6,0.0,full_activation_silu_rep06,94006,1777881925707,ok,50.632123666,30.0
