activation,average_test_loss,batch_size,candidate_name,depth,epochs,error,final_epochs,finished_at,mean_test_optimal_value,mean_test_policy_value,mean_test_regret,mean_test_relative_regret,mu_schedule_kind,phase,replicate,rho,run_id,seed,started_at,status,test_policy_eval_seconds,test_sample_count
relu,0.08439045389500295,1,depth1,1,130,,10,1777867586772,805.7162362224142,876.3822901284198,70.66605390600536,0.08439045389500295,discrete,depth,1,0.0,full_depth_depth1_rep01,94001,1777863479010,ok,252.24815184,30.0
relu,0.17839487933976556,1,depth1,1,130,,10,1777867577885,805.7162362224142,957.1656371186489,151.44940089623435,0.17839487933976556,discrete,depth,2,0.0,full_depth_depth1_rep02,94002,1777863479041,ok,255.932977392,30.0
relu,0.08657923737807041,1,depth1,1,130,,10,1777867575878,805.7162362224142,879.3254679616351,73.6092317392206,0.08657923737807041,discrete,depth,3,0.0,full_depth_depth1_rep03,94003,1777863478977,ok,261.05942292,30.0
relu,0.08036742779269579,1,depth1,1,130,,10,1777867485925,805.7162362224142,871.0887056263988,65.3724694039843,0.08036742779269579,discrete,depth,4,0.0,full_depth_depth1_rep04,94004,1777863478787,ok,245.653902245,30.0
relu,0.19352153383570117,1,depth1,1,130,,10,1777867546398,805.7162362224142,963.8582169870955,158.14198076468094,0.19352153383570117,discrete,depth,5,0.0,full_depth_depth1_rep05,94005,1777863479002,ok,250.560627981,30.0
relu,0.2160429074881985,1,depth1,1,130,,10,1777867539989,805.7162362224142,982.7042094655718,176.98797324315723,0.2160429074881985,discrete,depth,6,0.0,full_depth_depth1_rep06,94006,1777863479176,ok,250.796407322,30.0
relu,0.08165917775608368,1,depth2,2,130,,10,1777867571588,805.7162362224142,873.7565055500394,68.04026932762467,0.08165917775608368,discrete,depth,1,0.0,full_depth_depth2_rep01,94001,1777863478947,ok,252.454332495,30.0
relu,0.18711037523346027,1,depth2,2,130,,10,1777867582804,805.7162362224142,956.8073471019914,151.09111087957686,0.18711037523346027,discrete,depth,2,0.0,full_depth_depth2_rep02,94002,1777863478998,ok,257.089729675,30.0
relu,0.056227929232838085,1,depth2,2,130,,10,1777871637762,805.7162362224142,853.2126866688528,47.49645044643832,0.056227929232838085,discrete,depth,3,0.0,full_depth_depth2_rep03,94003,1777867526198,ok,254.902668965,30.0
relu,0.029528779313336792,1,depth2,2,130,,10,1777871609772,805.7162362224142,831.1134322813101,25.397196058895528,0.029528779313336792,discrete,depth,4,0.0,full_depth_depth2_rep04,94004,1777867578546,ok,246.868850076,30.0
relu,0.14412005454538637,1,depth2,2,130,,10,1777871710051,805.7162362224142,925.6210117034166,119.90477548100209,0.14412005454538637,discrete,depth,5,0.0,full_depth_depth2_rep05,94005,1777867584927,ok,253.035919121,30.0
relu,0.058756770955326804,1,depth2,2,130,,10,1777871722016,805.7162362224142,855.5586836307375,49.84244740832293,0.058756770955326804,discrete,depth,6,0.0,full_depth_depth2_rep06,94006,1777867609417,ok,245.814252218,30.0
relu,0.03974051806627197,1,depth3,3,130,,10,1777871704186,805.7162362224142,838.3692076814925,32.65297145907794,0.03974051806627197,discrete,depth,1,0.0,full_depth_depth3_rep01,94001,1777867613251,ok,255.72043471,30.0
relu,0.09010939158707149,1,depth3,3,130,,10,1777871716527,805.7162362224142,877.9520452549107,72.2358090324962,0.09010939158707149,discrete,depth,2,0.0,full_depth_depth3_rep02,94002,1777867614959,ok,251.832997723,30.0
relu,0.05711063052611406,1,depth3,3,130,,10,1777871727155,805.7162362224142,854.2411144934587,48.52487827104393,0.05711063052611406,discrete,depth,3,0.0,full_depth_depth3_rep03,94003,1777867619462,ok,228.124935613,30.0
relu,0.06853659583033442,1,depth3,3,130,,10,1777871711871,805.7162362224142,863.8908978224129,58.17466159999811,0.06853659583033442,discrete,depth,4,0.0,full_depth_depth3_rep04,94004,1777867623590,ok,254.239312469,30.0
relu,0.07731778452979068,1,depth3,3,130,,10,1777873648380,805.7162362224142,870.3836113865777,64.66737516416327,0.07731778452979068,discrete,depth,5,0.0,full_depth_depth3_rep05,94005,1777871649289,ok,61.373035609,30.0
relu,0.06519723447045322,1,depth3,3,130,,10,1777873692301,805.7162362224142,860.6148127724261,54.89857655001162,0.06519723447045322,discrete,depth,6,0.0,full_depth_depth3_rep06,94006,1777871676220,ok,42.255827892,30.0
