activation,batch_size,candidate_name,depth,epochs,final_epochs,learning_rate,mu_in_preview,mu_ref_preview,mu_schedule_kind,phase,replicate,rho,rho_in_preview,rho_ref_preview,run_id,run_rel_dir,seed,training_contexts
gelu,1,depth1_gelu,1,130,10,0.001,1.0|1.0|1.0|1.0|1.0|...|0.01,1.0|1.0|1.0|1.0|1.0|...|0.0,discrete,depth_activation_grid,1,0.0,0.0|0.0|0.0|0.0|0.0|...|0.0,0.0|0.0|0.0|0.0|0.0|...|0.0,full_depth_activation_grid_depth1_gelu_rep01,runs/full/depth_activation_grid/depth1_gelu/rep01,94001,100
gelu,1,depth1_gelu,1,130,10,0.001,1.0|1.0|1.0|1.0|1.0|...|0.01,1.0|1.0|1.0|1.0|1.0|...|0.0,discrete,depth_activation_grid,2,0.0,0.0|0.0|0.0|0.0|0.0|...|0.0,0.0|0.0|0.0|0.0|0.0|...|0.0,full_depth_activation_grid_depth1_gelu_rep02,runs/full/depth_activation_grid/depth1_gelu/rep02,94002,100
gelu,1,depth1_gelu,1,130,10,0.001,1.0|1.0|1.0|1.0|1.0|...|0.01,1.0|1.0|1.0|1.0|1.0|...|0.0,discrete,depth_activation_grid,3,0.0,0.0|0.0|0.0|0.0|0.0|...|0.0,0.0|0.0|0.0|0.0|0.0|...|0.0,full_depth_activation_grid_depth1_gelu_rep03,runs/full/depth_activation_grid/depth1_gelu/rep03,94003,100
gelu,1,depth1_gelu,1,130,10,0.001,1.0|1.0|1.0|1.0|1.0|...|0.01,1.0|1.0|1.0|1.0|1.0|...|0.0,discrete,depth_activation_grid,4,0.0,0.0|0.0|0.0|0.0|0.0|...|0.0,0.0|0.0|0.0|0.0|0.0|...|0.0,full_depth_activation_grid_depth1_gelu_rep04,runs/full/depth_activation_grid/depth1_gelu/rep04,94004,100
gelu,1,depth1_gelu,1,130,10,0.001,1.0|1.0|1.0|1.0|1.0|...|0.01,1.0|1.0|1.0|1.0|1.0|...|0.0,discrete,depth_activation_grid,5,0.0,0.0|0.0|0.0|0.0|0.0|...|0.0,0.0|0.0|0.0|0.0|0.0|...|0.0,full_depth_activation_grid_depth1_gelu_rep05,runs/full/depth_activation_grid/depth1_gelu/rep05,94005,100
gelu,1,depth1_gelu,1,130,10,0.001,1.0|1.0|1.0|1.0|1.0|...|0.01,1.0|1.0|1.0|1.0|1.0|...|0.0,discrete,depth_activation_grid,6,0.0,0.0|0.0|0.0|0.0|0.0|...|0.0,0.0|0.0|0.0|0.0|0.0|...|0.0,full_depth_activation_grid_depth1_gelu_rep06,runs/full/depth_activation_grid/depth1_gelu/rep06,94006,100
gelu,1,depth2_gelu,2,130,10,0.001,1.0|1.0|1.0|1.0|1.0|...|0.01,1.0|1.0|1.0|1.0|1.0|...|0.0,discrete,depth_activation_grid,1,0.0,0.0|0.0|0.0|0.0|0.0|...|0.0,0.0|0.0|0.0|0.0|0.0|...|0.0,full_depth_activation_grid_depth2_gelu_rep01,runs/full/depth_activation_grid/depth2_gelu/rep01,94001,100
gelu,1,depth2_gelu,2,130,10,0.001,1.0|1.0|1.0|1.0|1.0|...|0.01,1.0|1.0|1.0|1.0|1.0|...|0.0,discrete,depth_activation_grid,2,0.0,0.0|0.0|0.0|0.0|0.0|...|0.0,0.0|0.0|0.0|0.0|0.0|...|0.0,full_depth_activation_grid_depth2_gelu_rep02,runs/full/depth_activation_grid/depth2_gelu/rep02,94002,100
gelu,1,depth2_gelu,2,130,10,0.001,1.0|1.0|1.0|1.0|1.0|...|0.01,1.0|1.0|1.0|1.0|1.0|...|0.0,discrete,depth_activation_grid,3,0.0,0.0|0.0|0.0|0.0|0.0|...|0.0,0.0|0.0|0.0|0.0|0.0|...|0.0,full_depth_activation_grid_depth2_gelu_rep03,runs/full/depth_activation_grid/depth2_gelu/rep03,94003,100
gelu,1,depth2_gelu,2,130,10,0.001,1.0|1.0|1.0|1.0|1.0|...|0.01,1.0|1.0|1.0|1.0|1.0|...|0.0,discrete,depth_activation_grid,4,0.0,0.0|0.0|0.0|0.0|0.0|...|0.0,0.0|0.0|0.0|0.0|0.0|...|0.0,full_depth_activation_grid_depth2_gelu_rep04,runs/full/depth_activation_grid/depth2_gelu/rep04,94004,100
gelu,1,depth2_gelu,2,130,10,0.001,1.0|1.0|1.0|1.0|1.0|...|0.01,1.0|1.0|1.0|1.0|1.0|...|0.0,discrete,depth_activation_grid,5,0.0,0.0|0.0|0.0|0.0|0.0|...|0.0,0.0|0.0|0.0|0.0|0.0|...|0.0,full_depth_activation_grid_depth2_gelu_rep05,runs/full/depth_activation_grid/depth2_gelu/rep05,94005,100
gelu,1,depth2_gelu,2,130,10,0.001,1.0|1.0|1.0|1.0|1.0|...|0.01,1.0|1.0|1.0|1.0|1.0|...|0.0,discrete,depth_activation_grid,6,0.0,0.0|0.0|0.0|0.0|0.0|...|0.0,0.0|0.0|0.0|0.0|0.0|...|0.0,full_depth_activation_grid_depth2_gelu_rep06,runs/full/depth_activation_grid/depth2_gelu/rep06,94006,100
gelu,1,depth3_gelu,3,130,10,0.001,1.0|1.0|1.0|1.0|1.0|...|0.01,1.0|1.0|1.0|1.0|1.0|...|0.0,discrete,depth_activation_grid,1,0.0,0.0|0.0|0.0|0.0|0.0|...|0.0,0.0|0.0|0.0|0.0|0.0|...|0.0,full_depth_activation_grid_depth3_gelu_rep01,runs/full/depth_activation_grid/depth3_gelu/rep01,94001,100
gelu,1,depth3_gelu,3,130,10,0.001,1.0|1.0|1.0|1.0|1.0|...|0.01,1.0|1.0|1.0|1.0|1.0|...|0.0,discrete,depth_activation_grid,2,0.0,0.0|0.0|0.0|0.0|0.0|...|0.0,0.0|0.0|0.0|0.0|0.0|...|0.0,full_depth_activation_grid_depth3_gelu_rep02,runs/full/depth_activation_grid/depth3_gelu/rep02,94002,100
