average_test_loss,candidate_name,error,mean_test_relative_regret,phase,replicate,run_id,status
Inf,depth1_gelu,missing run_result.jls,Inf,depth_activation_grid,1,full_depth_activation_grid_depth1_gelu_rep01,missing
Inf,depth1_gelu,missing run_result.jls,Inf,depth_activation_grid,2,full_depth_activation_grid_depth1_gelu_rep02,missing
Inf,depth1_gelu,missing run_result.jls,Inf,depth_activation_grid,3,full_depth_activation_grid_depth1_gelu_rep03,missing
Inf,depth1_gelu,missing run_result.jls,Inf,depth_activation_grid,4,full_depth_activation_grid_depth1_gelu_rep04,missing
Inf,depth1_gelu,missing run_result.jls,Inf,depth_activation_grid,5,full_depth_activation_grid_depth1_gelu_rep05,missing
Inf,depth1_gelu,missing run_result.jls,Inf,depth_activation_grid,6,full_depth_activation_grid_depth1_gelu_rep06,missing
Inf,depth2_gelu,missing run_result.jls,Inf,depth_activation_grid,1,full_depth_activation_grid_depth2_gelu_rep01,missing
Inf,depth2_gelu,missing run_result.jls,Inf,depth_activation_grid,2,full_depth_activation_grid_depth2_gelu_rep02,missing
Inf,depth2_gelu,missing run_result.jls,Inf,depth_activation_grid,3,full_depth_activation_grid_depth2_gelu_rep03,missing
Inf,depth2_gelu,missing run_result.jls,Inf,depth_activation_grid,4,full_depth_activation_grid_depth2_gelu_rep04,missing
Inf,depth2_gelu,missing run_result.jls,Inf,depth_activation_grid,5,full_depth_activation_grid_depth2_gelu_rep05,missing
Inf,depth2_gelu,missing run_result.jls,Inf,depth_activation_grid,6,full_depth_activation_grid_depth2_gelu_rep06,missing
Inf,depth3_gelu,missing run_result.jls,Inf,depth_activation_grid,1,full_depth_activation_grid_depth3_gelu_rep01,missing
Inf,depth3_gelu,missing run_result.jls,Inf,depth_activation_grid,2,full_depth_activation_grid_depth3_gelu_rep02,missing
Inf,depth3_gelu,missing run_result.jls,Inf,depth_activation_grid,3,full_depth_activation_grid_depth3_gelu_rep03,missing
