activation,batch_size,candidate_name,depth,epochs,final_epochs,learning_rate,mu_in_preview,mu_ref_preview,mu_schedule_kind,phase,replicate,rho,rho_in_preview,rho_ref_preview,run_id,run_rel_dir,seed,training_contexts
silu,1,linear,3,130,10,0.001,1.0|0.991681|0.983361|0.975042|0.966723|...|0.01,1.0|0.991681|0.983361|0.975042|0.966723|...|0.0,linear,mu_schedule,1,0.0,0.0|0.0|0.0|0.0|0.0|...|0.0,0.0|0.0|0.0|0.0|0.0|...|0.0,full_mu_schedule_linear_rep01,runs/full/mu_schedule/linear/rep01,94001,100
silu,1,linear,3,130,10,0.001,1.0|0.991681|0.983361|0.975042|0.966723|...|0.01,1.0|0.991681|0.983361|0.975042|0.966723|...|0.0,linear,mu_schedule,2,0.0,0.0|0.0|0.0|0.0|0.0|...|0.0,0.0|0.0|0.0|0.0|0.0|...|0.0,full_mu_schedule_linear_rep02,runs/full/mu_schedule/linear/rep02,94002,100
silu,1,linear,3,130,10,0.001,1.0|0.991681|0.983361|0.975042|0.966723|...|0.01,1.0|0.991681|0.983361|0.975042|0.966723|...|0.0,linear,mu_schedule,3,0.0,0.0|0.0|0.0|0.0|0.0|...|0.0,0.0|0.0|0.0|0.0|0.0|...|0.0,full_mu_schedule_linear_rep03,runs/full/mu_schedule/linear/rep03,94003,100
silu,1,linear,3,130,10,0.001,1.0|0.991681|0.983361|0.975042|0.966723|...|0.01,1.0|0.991681|0.983361|0.975042|0.966723|...|0.0,linear,mu_schedule,4,0.0,0.0|0.0|0.0|0.0|0.0|...|0.0,0.0|0.0|0.0|0.0|0.0|...|0.0,full_mu_schedule_linear_rep04,runs/full/mu_schedule/linear/rep04,94004,100
silu,1,linear,3,130,10,0.001,1.0|0.991681|0.983361|0.975042|0.966723|...|0.01,1.0|0.991681|0.983361|0.975042|0.966723|...|0.0,linear,mu_schedule,5,0.0,0.0|0.0|0.0|0.0|0.0|...|0.0,0.0|0.0|0.0|0.0|0.0|...|0.0,full_mu_schedule_linear_rep05,runs/full/mu_schedule/linear/rep05,94005,100
silu,1,linear,3,130,10,0.001,1.0|0.991681|0.983361|0.975042|0.966723|...|0.01,1.0|0.991681|0.983361|0.975042|0.966723|...|0.0,linear,mu_schedule,6,0.0,0.0|0.0|0.0|0.0|0.0|...|0.0,0.0|0.0|0.0|0.0|0.0|...|0.0,full_mu_schedule_linear_rep06,runs/full/mu_schedule/linear/rep06,94006,100
silu,1,geometric,3,130,10,0.001,1.0|0.96204|0.925522|0.890389|0.85659|...|0.01,1.0|0.96204|0.925522|0.890389|0.85659|...|0.0,geometric,mu_schedule,1,0.0,0.0|0.0|0.0|0.0|0.0|...|0.0,0.0|0.0|0.0|0.0|0.0|...|0.0,full_mu_schedule_geometric_rep01,runs/full/mu_schedule/geometric/rep01,94001,100
silu,1,geometric,3,130,10,0.001,1.0|0.96204|0.925522|0.890389|0.85659|...|0.01,1.0|0.96204|0.925522|0.890389|0.85659|...|0.0,geometric,mu_schedule,2,0.0,0.0|0.0|0.0|0.0|0.0|...|0.0,0.0|0.0|0.0|0.0|0.0|...|0.0,full_mu_schedule_geometric_rep02,runs/full/mu_schedule/geometric/rep02,94002,100
silu,1,geometric,3,130,10,0.001,1.0|0.96204|0.925522|0.890389|0.85659|...|0.01,1.0|0.96204|0.925522|0.890389|0.85659|...|0.0,geometric,mu_schedule,3,0.0,0.0|0.0|0.0|0.0|0.0|...|0.0,0.0|0.0|0.0|0.0|0.0|...|0.0,full_mu_schedule_geometric_rep03,runs/full/mu_schedule/geometric/rep03,94003,100
silu,1,geometric,3,130,10,0.001,1.0|0.96204|0.925522|0.890389|0.85659|...|0.01,1.0|0.96204|0.925522|0.890389|0.85659|...|0.0,geometric,mu_schedule,4,0.0,0.0|0.0|0.0|0.0|0.0|...|0.0,0.0|0.0|0.0|0.0|0.0|...|0.0,full_mu_schedule_geometric_rep04,runs/full/mu_schedule/geometric/rep04,94004,100
silu,1,geometric,3,130,10,0.001,1.0|0.96204|0.925522|0.890389|0.85659|...|0.01,1.0|0.96204|0.925522|0.890389|0.85659|...|0.0,geometric,mu_schedule,5,0.0,0.0|0.0|0.0|0.0|0.0|...|0.0,0.0|0.0|0.0|0.0|0.0|...|0.0,full_mu_schedule_geometric_rep05,runs/full/mu_schedule/geometric/rep05,94005,100
silu,1,geometric,3,130,10,0.001,1.0|0.96204|0.925522|0.890389|0.85659|...|0.01,1.0|0.96204|0.925522|0.890389|0.85659|...|0.0,geometric,mu_schedule,6,0.0,0.0|0.0|0.0|0.0|0.0|...|0.0,0.0|0.0|0.0|0.0|0.0|...|0.0,full_mu_schedule_geometric_rep06,runs/full/mu_schedule/geometric/rep06,94006,100
silu,1,delayed_log_1_5,3,130,10,0.001,1.0|0.996459|0.990016|0.981735|0.972019|...|0.01,1.0|0.996459|0.990016|0.981735|0.972019|...|0.0,delayed_log_1_5,mu_schedule,1,0.0,0.0|0.0|0.0|0.0|0.0|...|0.0,0.0|0.0|0.0|0.0|0.0|...|0.0,full_mu_schedule_delayed_log_1_5_rep01,runs/full/mu_schedule/delayed_log_1_5/rep01,94001,100
silu,1,delayed_log_1_5,3,130,10,0.001,1.0|0.996459|0.990016|0.981735|0.972019|...|0.01,1.0|0.996459|0.990016|0.981735|0.972019|...|0.0,delayed_log_1_5,mu_schedule,2,0.0,0.0|0.0|0.0|0.0|0.0|...|0.0,0.0|0.0|0.0|0.0|0.0|...|0.0,full_mu_schedule_delayed_log_1_5_rep02,runs/full/mu_schedule/delayed_log_1_5/rep02,94002,100
silu,1,delayed_log_1_5,3,130,10,0.001,1.0|0.996459|0.990016|0.981735|0.972019|...|0.01,1.0|0.996459|0.990016|0.981735|0.972019|...|0.0,delayed_log_1_5,mu_schedule,3,0.0,0.0|0.0|0.0|0.0|0.0|...|0.0,0.0|0.0|0.0|0.0|0.0|...|0.0,full_mu_schedule_delayed_log_1_5_rep03,runs/full/mu_schedule/delayed_log_1_5/rep03,94003,100
silu,1,delayed_log_1_5,3,130,10,0.001,1.0|0.996459|0.990016|0.981735|0.972019|...|0.01,1.0|0.996459|0.990016|0.981735|0.972019|...|0.0,delayed_log_1_5,mu_schedule,4,0.0,0.0|0.0|0.0|0.0|0.0|...|0.0,0.0|0.0|0.0|0.0|0.0|...|0.0,full_mu_schedule_delayed_log_1_5_rep04,runs/full/mu_schedule/delayed_log_1_5/rep04,94004,100
silu,1,delayed_log_1_5,3,130,10,0.001,1.0|0.996459|0.990016|0.981735|0.972019|...|0.01,1.0|0.996459|0.990016|0.981735|0.972019|...|0.0,delayed_log_1_5,mu_schedule,5,0.0,0.0|0.0|0.0|0.0|0.0|...|0.0,0.0|0.0|0.0|0.0|0.0|...|0.0,full_mu_schedule_delayed_log_1_5_rep05,runs/full/mu_schedule/delayed_log_1_5/rep05,94005,100
silu,1,delayed_log_1_5,3,130,10,0.001,1.0|0.996459|0.990016|0.981735|0.972019|...|0.01,1.0|0.996459|0.990016|0.981735|0.972019|...|0.0,delayed_log_1_5,mu_schedule,6,0.0,0.0|0.0|0.0|0.0|0.0|...|0.0,0.0|0.0|0.0|0.0|0.0|...|0.0,full_mu_schedule_delayed_log_1_5_rep06,runs/full/mu_schedule/delayed_log_1_5/rep06,94006,100
silu,1,delayed_log_2_0,3,130,10,0.001,1.0|0.999675|0.9987|0.997077|0.99481|...|0.01,1.0|0.999675|0.9987|0.997077|0.99481|...|0.0,delayed_log_2_0,mu_schedule,1,0.0,0.0|0.0|0.0|0.0|0.0|...|0.0,0.0|0.0|0.0|0.0|0.0|...|0.0,full_mu_schedule_delayed_log_2_0_rep01,runs/full/mu_schedule/delayed_log_2_0/rep01,94001,100
silu,1,delayed_log_2_0,3,130,10,0.001,1.0|0.999675|0.9987|0.997077|0.99481|...|0.01,1.0|0.999675|0.9987|0.997077|0.99481|...|0.0,delayed_log_2_0,mu_schedule,2,0.0,0.0|0.0|0.0|0.0|0.0|...|0.0,0.0|0.0|0.0|0.0|0.0|...|0.0,full_mu_schedule_delayed_log_2_0_rep02,runs/full/mu_schedule/delayed_log_2_0/rep02,94002,100
silu,1,delayed_log_2_0,3,130,10,0.001,1.0|0.999675|0.9987|0.997077|0.99481|...|0.01,1.0|0.999675|0.9987|0.997077|0.99481|...|0.0,delayed_log_2_0,mu_schedule,3,0.0,0.0|0.0|0.0|0.0|0.0|...|0.0,0.0|0.0|0.0|0.0|0.0|...|0.0,full_mu_schedule_delayed_log_2_0_rep03,runs/full/mu_schedule/delayed_log_2_0/rep03,94003,100
