activation,batch_size,candidate_name,depth,epochs,final_epochs,learning_rate,mu_in_preview,mu_ref_preview,mu_schedule_kind,phase,replicate,rho,rho_in_preview,rho_ref_preview,run_id,run_rel_dir,seed,training_contexts
silu,1,rho_0p0,3,130,10,0.001,1.0|1.0|1.0|1.0|1.0|...|0.01,1.0|1.0|1.0|1.0|1.0|...|0.0,warmup20_geometric,rho,1,0.0,0.0|0.0|0.0|0.0|0.0|...|0.0,0.0|0.0|0.0|0.0|0.0|...|0.0,full_rho_rho_0p0_rep01,runs/full/rho/rho_0p0/rep01,94001,100
silu,1,rho_0p0,3,130,10,0.001,1.0|1.0|1.0|1.0|1.0|...|0.01,1.0|1.0|1.0|1.0|1.0|...|0.0,warmup20_geometric,rho,2,0.0,0.0|0.0|0.0|0.0|0.0|...|0.0,0.0|0.0|0.0|0.0|0.0|...|0.0,full_rho_rho_0p0_rep02,runs/full/rho/rho_0p0/rep02,94002,100
silu,1,rho_0p0,3,130,10,0.001,1.0|1.0|1.0|1.0|1.0|...|0.01,1.0|1.0|1.0|1.0|1.0|...|0.0,warmup20_geometric,rho,3,0.0,0.0|0.0|0.0|0.0|0.0|...|0.0,0.0|0.0|0.0|0.0|0.0|...|0.0,full_rho_rho_0p0_rep03,runs/full/rho/rho_0p0/rep03,94003,100
silu,1,rho_0p0,3,130,10,0.001,1.0|1.0|1.0|1.0|1.0|...|0.01,1.0|1.0|1.0|1.0|1.0|...|0.0,warmup20_geometric,rho,4,0.0,0.0|0.0|0.0|0.0|0.0|...|0.0,0.0|0.0|0.0|0.0|0.0|...|0.0,full_rho_rho_0p0_rep04,runs/full/rho/rho_0p0/rep04,94004,100
silu,1,rho_0p0,3,130,10,0.001,1.0|1.0|1.0|1.0|1.0|...|0.01,1.0|1.0|1.0|1.0|1.0|...|0.0,warmup20_geometric,rho,5,0.0,0.0|0.0|0.0|0.0|0.0|...|0.0,0.0|0.0|0.0|0.0|0.0|...|0.0,full_rho_rho_0p0_rep05,runs/full/rho/rho_0p0/rep05,94005,100
silu,1,rho_0p0,3,130,10,0.001,1.0|1.0|1.0|1.0|1.0|...|0.01,1.0|1.0|1.0|1.0|1.0|...|0.0,warmup20_geometric,rho,6,0.0,0.0|0.0|0.0|0.0|0.0|...|0.0,0.0|0.0|0.0|0.0|0.0|...|0.0,full_rho_rho_0p0_rep06,runs/full/rho/rho_0p0/rep06,94006,100
silu,1,rho_0p001,3,130,10,0.001,1.0|1.0|1.0|1.0|1.0|...|0.01,1.0|1.0|1.0|1.0|1.0|...|0.0,warmup20_geometric,rho,1,0.001,0.001|0.001|0.001|0.001|0.001|...|0.001,0.001|0.001|0.001|0.001|0.001|...|0.0,full_rho_rho_0p001_rep01,runs/full/rho/rho_0p001/rep01,94001,100
silu,1,rho_0p001,3,130,10,0.001,1.0|1.0|1.0|1.0|1.0|...|0.01,1.0|1.0|1.0|1.0|1.0|...|0.0,warmup20_geometric,rho,2,0.001,0.001|0.001|0.001|0.001|0.001|...|0.001,0.001|0.001|0.001|0.001|0.001|...|0.0,full_rho_rho_0p001_rep02,runs/full/rho/rho_0p001/rep02,94002,100
silu,1,rho_0p001,3,130,10,0.001,1.0|1.0|1.0|1.0|1.0|...|0.01,1.0|1.0|1.0|1.0|1.0|...|0.0,warmup20_geometric,rho,3,0.001,0.001|0.001|0.001|0.001|0.001|...|0.001,0.001|0.001|0.001|0.001|0.001|...|0.0,full_rho_rho_0p001_rep03,runs/full/rho/rho_0p001/rep03,94003,100
silu,1,rho_0p001,3,130,10,0.001,1.0|1.0|1.0|1.0|1.0|...|0.01,1.0|1.0|1.0|1.0|1.0|...|0.0,warmup20_geometric,rho,4,0.001,0.001|0.001|0.001|0.001|0.001|...|0.001,0.001|0.001|0.001|0.001|0.001|...|0.0,full_rho_rho_0p001_rep04,runs/full/rho/rho_0p001/rep04,94004,100
silu,1,rho_0p001,3,130,10,0.001,1.0|1.0|1.0|1.0|1.0|...|0.01,1.0|1.0|1.0|1.0|1.0|...|0.0,warmup20_geometric,rho,5,0.001,0.001|0.001|0.001|0.001|0.001|...|0.001,0.001|0.001|0.001|0.001|0.001|...|0.0,full_rho_rho_0p001_rep05,runs/full/rho/rho_0p001/rep05,94005,100
silu,1,rho_0p001,3,130,10,0.001,1.0|1.0|1.0|1.0|1.0|...|0.01,1.0|1.0|1.0|1.0|1.0|...|0.0,warmup20_geometric,rho,6,0.001,0.001|0.001|0.001|0.001|0.001|...|0.001,0.001|0.001|0.001|0.001|0.001|...|0.0,full_rho_rho_0p001_rep06,runs/full/rho/rho_0p001/rep06,94006,100
silu,1,rho_0p01,3,130,10,0.001,1.0|1.0|1.0|1.0|1.0|...|0.01,1.0|1.0|1.0|1.0|1.0|...|0.0,warmup20_geometric,rho,1,0.01,0.01|0.01|0.01|0.01|0.01|...|0.01,0.01|0.01|0.01|0.01|0.01|...|0.0,full_rho_rho_0p01_rep01,runs/full/rho/rho_0p01/rep01,94001,100
silu,1,rho_0p01,3,130,10,0.001,1.0|1.0|1.0|1.0|1.0|...|0.01,1.0|1.0|1.0|1.0|1.0|...|0.0,warmup20_geometric,rho,2,0.01,0.01|0.01|0.01|0.01|0.01|...|0.01,0.01|0.01|0.01|0.01|0.01|...|0.0,full_rho_rho_0p01_rep02,runs/full/rho/rho_0p01/rep02,94002,100
silu,1,rho_0p01,3,130,10,0.001,1.0|1.0|1.0|1.0|1.0|...|0.01,1.0|1.0|1.0|1.0|1.0|...|0.0,warmup20_geometric,rho,3,0.01,0.01|0.01|0.01|0.01|0.01|...|0.01,0.01|0.01|0.01|0.01|0.01|...|0.0,full_rho_rho_0p01_rep03,runs/full/rho/rho_0p01/rep03,94003,100
silu,1,rho_0p01,3,130,10,0.001,1.0|1.0|1.0|1.0|1.0|...|0.01,1.0|1.0|1.0|1.0|1.0|...|0.0,warmup20_geometric,rho,4,0.01,0.01|0.01|0.01|0.01|0.01|...|0.01,0.01|0.01|0.01|0.01|0.01|...|0.0,full_rho_rho_0p01_rep04,runs/full/rho/rho_0p01/rep04,94004,100
