activation,average_test_loss,batch_size,candidate_name,depth,epochs,error,final_epochs,finished_at,mean_test_optimal_value,mean_test_policy_value,mean_test_regret,mean_test_relative_regret,mu_schedule_kind,phase,replicate,rho,run_id,seed,started_at,status,test_policy_eval_seconds,test_sample_count
,Inf,,rho_0p0,,,missing run_result.jls,,,,,,Inf,,rho,1,,full_rho_rho_0p0_rep01,,,missing,,
,Inf,,rho_0p0,,,missing run_result.jls,,,,,,Inf,,rho,2,,full_rho_rho_0p0_rep02,,,missing,,
,Inf,,rho_0p0,,,missing run_result.jls,,,,,,Inf,,rho,3,,full_rho_rho_0p0_rep03,,,missing,,
,Inf,,rho_0p0,,,missing run_result.jls,,,,,,Inf,,rho,4,,full_rho_rho_0p0_rep04,,,missing,,
,Inf,,rho_0p0,,,missing run_result.jls,,,,,,Inf,,rho,5,,full_rho_rho_0p0_rep05,,,missing,,
,Inf,,rho_0p0,,,missing run_result.jls,,,,,,Inf,,rho,6,,full_rho_rho_0p0_rep06,,,missing,,
,Inf,,rho_0p001,,,missing run_result.jls,,,,,,Inf,,rho,1,,full_rho_rho_0p001_rep01,,,missing,,
,Inf,,rho_0p001,,,missing run_result.jls,,,,,,Inf,,rho,2,,full_rho_rho_0p001_rep02,,,missing,,
,Inf,,rho_0p001,,,missing run_result.jls,,,,,,Inf,,rho,3,,full_rho_rho_0p001_rep03,,,missing,,
,Inf,,rho_0p001,,,missing run_result.jls,,,,,,Inf,,rho,4,,full_rho_rho_0p001_rep04,,,missing,,
,Inf,,rho_0p001,,,missing run_result.jls,,,,,,Inf,,rho,5,,full_rho_rho_0p001_rep05,,,missing,,
,Inf,,rho_0p001,,,missing run_result.jls,,,,,,Inf,,rho,6,,full_rho_rho_0p001_rep06,,,missing,,
,Inf,,rho_0p01,,,missing run_result.jls,,,,,,Inf,,rho,1,,full_rho_rho_0p01_rep01,,,missing,,
,Inf,,rho_0p01,,,missing run_result.jls,,,,,,Inf,,rho,2,,full_rho_rho_0p01_rep02,,,missing,,
,Inf,,rho_0p01,,,missing run_result.jls,,,,,,Inf,,rho,3,,full_rho_rho_0p01_rep03,,,missing,,
,Inf,,rho_0p01,,,missing run_result.jls,,,,,,Inf,,rho,4,,full_rho_rho_0p01_rep04,,,missing,,
silu,0.25628016379376084,1,rho_0p01,3,130,,10,1777940051786,805.7162362224142,1015.0907835400266,209.37454731761233,0.25628016379376084,warmup20_geometric,rho,5,0.01,full_rho_rho_0p01_rep05,94005,1777937778355,ok,99.786868609,30.0
silu,0.25381613881272785,1,rho_0p01,3,130,,10,1777940070109,805.7162362224142,1011.1128016355532,205.3965654131386,0.25381613881272785,warmup20_geometric,rho,6,0.01,full_rho_rho_0p01_rep06,94006,1777937799330,ok,89.40436475,30.0
