activation,batch_size,candidate_name,depth,display_loss,epoch,epoch_seconds,iterations,mu,mu_in,mu_ref,mu_schedule_kind,phase,replicate,rho,rho_in,rho_ref,run_id,seed,training_loss
silu,1,silu,3,1883.4610073417998,1,88.57539105415344,100,1.0,1.0,1.0,discrete,activation,1,0.0,0.0,0.0,full_activation_silu_rep01,94001,1883.4610073417998
silu,1,silu,3,982.426665585195,2,27.787175178527832,100,1.0,1.0,1.0,discrete,activation,1,0.0,0.0,0.0,full_activation_silu_rep01,94001,982.426665585195
silu,1,silu,3,963.3097712569762,3,28.47722315788269,100,1.0,1.0,1.0,discrete,activation,1,0.0,0.0,0.0,full_activation_silu_rep01,94001,963.3097712569762
silu,1,silu,3,952.9491142140306,4,29.02526092529297,100,1.0,1.0,1.0,discrete,activation,1,0.0,0.0,0.0,full_activation_silu_rep01,94001,952.9491142140306
silu,1,silu,3,949.6467529154721,5,27.839539051055908,100,1.0,1.0,1.0,discrete,activation,1,0.0,0.0,0.0,full_activation_silu_rep01,94001,949.6467529154721
silu,1,silu,3,947.3332006908993,6,28.70069718360901,100,1.0,1.0,1.0,discrete,activation,1,0.0,0.0,0.0,full_activation_silu_rep01,94001,947.3332006908993
silu,1,silu,3,945.4064699565821,7,28.44732904434204,100,1.0,1.0,1.0,discrete,activation,1,0.0,0.0,0.0,full_activation_silu_rep01,94001,945.4064699565821
silu,1,silu,3,943.7261820546843,8,27.49905800819397,100,1.0,1.0,1.0,discrete,activation,1,0.0,0.0,0.0,full_activation_silu_rep01,94001,943.7261820546843
silu,1,silu,3,942.2082476592632,9,28.113998889923096,100,1.0,1.0,1.0,discrete,activation,1,0.0,0.0,0.0,full_activation_silu_rep01,94001,942.2082476592632
silu,1,silu,3,940.8538621613011,10,28.608158111572266,100,1.0,1.0,1.0,discrete,activation,1,0.0,0.0,0.0,full_activation_silu_rep01,94001,940.8538621613011
silu,1,silu,3,939.6641582228592,11,27.8777117729187,100,1.0,1.0,1.0,discrete,activation,1,0.0,0.0,0.0,full_activation_silu_rep01,94001,939.6641582228592
silu,1,silu,3,938.6695087143002,12,28.670367002487183,100,1.0,1.0,1.0,discrete,activation,1,0.0,0.0,0.0,full_activation_silu_rep01,94001,938.6695087143002
silu,1,silu,3,937.8853426138787,13,27.695806980133057,100,1.0,1.0,1.0,discrete,activation,1,0.0,0.0,0.0,full_activation_silu_rep01,94001,937.8853426138787
silu,1,silu,3,937.2824595563134,14,29.335752964019775,100,1.0,1.0,1.0,discrete,activation,1,0.0,0.0,0.0,full_activation_silu_rep01,94001,937.2824595563134
silu,1,silu,3,936.8582005489667,15,28.40110492706299,100,1.0,1.0,1.0,discrete,activation,1,0.0,0.0,0.0,full_activation_silu_rep01,94001,936.8582005489667
silu,1,silu,3,936.5522079177566,16,27.55322813987732,100,1.0,1.0,1.0,discrete,activation,1,0.0,0.0,0.0,full_activation_silu_rep01,94001,936.5522079177566
