activation,batch_size,candidate_name,depth,display_loss,epoch,epoch_seconds,iterations,mu,mu_in,mu_ref,mu_schedule_kind,phase,replicate,rho,rho_in,rho_ref,run_id,seed,training_loss
relu,1,depth1,1,2485.39773074866,1,84.43708610534668,100,1.0,1.0,1.0,discrete,depth,5,0.0,0.0,0.0,full_depth_depth1_rep05,94005,2485.39773074866
relu,1,depth1,1,2463.6218308043376,2,27.779327154159546,100,1.0,1.0,1.0,discrete,depth,5,0.0,0.0,0.0,full_depth_depth1_rep05,94005,2463.6218308043376
relu,1,depth1,1,2373.1253440281666,3,28.29277992248535,100,1.0,1.0,1.0,discrete,depth,5,0.0,0.0,0.0,full_depth_depth1_rep05,94005,2373.1253440281666
relu,1,depth1,1,2076.0082799547286,4,27.37020707130432,100,1.0,1.0,1.0,discrete,depth,5,0.0,0.0,0.0,full_depth_depth1_rep05,94005,2076.0082799547286
relu,1,depth1,1,1500.2866460267746,5,28.36101007461548,100,1.0,1.0,1.0,discrete,depth,5,0.0,0.0,0.0,full_depth_depth1_rep05,94005,1500.2866460267746
relu,1,depth1,1,1071.2784546872451,6,28.6006760597229,100,1.0,1.0,1.0,discrete,depth,5,0.0,0.0,0.0,full_depth_depth1_rep05,94005,1071.2784546872451
relu,1,depth1,1,997.3327728295349,7,29.011630058288574,100,1.0,1.0,1.0,discrete,depth,5,0.0,0.0,0.0,full_depth_depth1_rep05,94005,997.3327728295349
relu,1,depth1,1,983.1696950826462,8,27.629075050354004,100,1.0,1.0,1.0,discrete,depth,5,0.0,0.0,0.0,full_depth_depth1_rep05,94005,983.1696950826462
relu,1,depth1,1,975.9467807946638,9,28.52267813682556,100,1.0,1.0,1.0,discrete,depth,5,0.0,0.0,0.0,full_depth_depth1_rep05,94005,975.9467807946638
relu,1,depth1,1,970.1221263451745,10,28.680240154266357,100,1.0,1.0,1.0,discrete,depth,5,0.0,0.0,0.0,full_depth_depth1_rep05,94005,970.1221263451745
relu,1,depth1,1,965.236060150936,11,27.781954050064087,100,1.0,1.0,1.0,discrete,depth,5,0.0,0.0,0.0,full_depth_depth1_rep05,94005,965.236060150936
relu,1,depth1,1,961.2598633638605,12,28.66373896598816,100,1.0,1.0,1.0,discrete,depth,5,0.0,0.0,0.0,full_depth_depth1_rep05,94005,961.2598633638605
relu,1,depth1,1,958.190840000549,13,28.509083032608032,100,1.0,1.0,1.0,discrete,depth,5,0.0,0.0,0.0,full_depth_depth1_rep05,94005,958.190840000549
relu,1,depth1,1,955.9781945422384,14,27.778486013412476,100,1.0,1.0,1.0,discrete,depth,5,0.0,0.0,0.0,full_depth_depth1_rep05,94005,955.9781945422384
relu,1,depth1,1,954.4484471713554,15,30.061882972717285,100,1.0,1.0,1.0,discrete,depth,5,0.0,0.0,0.0,full_depth_depth1_rep05,94005,954.4484471713554
relu,1,depth1,1,953.3912936366969,16,29.079755783081055,100,1.0,1.0,1.0,discrete,depth,5,0.0,0.0,0.0,full_depth_depth1_rep05,94005,953.3912936366969
relu,1,depth1,1,952.6478428886898,17,29.356807947158813,100,1.0,1.0,1.0,discrete,depth,5,0.0,0.0,0.0,full_depth_depth1_rep05,94005,952.6478428886898
relu,1,depth1,1,952.1005170974008,18,27.634695053100586,100,1.0,1.0,1.0,discrete,depth,5,0.0,0.0,0.0,full_depth_depth1_rep05,94005,952.1005170974008
relu,1,depth1,1,951.6946094499198,19,29.049625158309937,100,1.0,1.0,1.0,discrete,depth,5,0.0,0.0,0.0,full_depth_depth1_rep05,94005,951.6946094499198
relu,1,depth1,1,951.3870505654797,20,29.01331090927124,100,1.0,1.0,1.0,discrete,depth,5,0.0,0.0,0.0,full_depth_depth1_rep05,94005,951.3870505654797
relu,1,depth1,1,1032.127175786827,21,27.426160097122192,100,0.8,0.8,0.8,discrete,depth,5,0.0,0.0,0.0,full_depth_depth1_rep05,94005,1032.127175786827
relu,1,depth1,1,1031.1571147296022,22,28.407446146011353,100,0.8,0.8,0.8,discrete,depth,5,0.0,0.0,0.0,full_depth_depth1_rep05,94005,1031.1571147296022
relu,1,depth1,1,1030.886846392371,23,28.590736865997314,100,0.8,0.8,0.8,discrete,depth,5,0.0,0.0,0.0,full_depth_depth1_rep05,94005,1030.886846392371
relu,1,depth1,1,1030.7323412065114,24,28.11537194252014,100,0.8,0.8,0.8,discrete,depth,5,0.0,0.0,0.0,full_depth_depth1_rep05,94005,1030.7323412065114
relu,1,depth1,1,1030.6153445895625,25,28.09223699569702,100,0.8,0.8,0.8,discrete,depth,5,0.0,0.0,0.0,full_depth_depth1_rep05,94005,1030.6153445895625
relu,1,depth1,1,1030.5202249410368,26,28.593713998794556,100,0.8,0.8,0.8,discrete,depth,5,0.0,0.0,0.0,full_depth_depth1_rep05,94005,1030.5202249410368
relu,1,depth1,1,1030.44929818457,27,28.3888201713562,100,0.8,0.8,0.8,discrete,depth,5,0.0,0.0,0.0,full_depth_depth1_rep05,94005,1030.44929818457
relu,1,depth1,1,1030.3928631811336,28,27.77898907661438,100,0.8,0.8,0.8,discrete,depth,5,0.0,0.0,0.0,full_depth_depth1_rep05,94005,1030.3928631811336
relu,1,depth1,1,1030.3490740353786,29,28.58912491798401,100,0.8,0.8,0.8,discrete,depth,5,0.0,0.0,0.0,full_depth_depth1_rep05,94005,1030.3490740353786
relu,1,depth1,1,1030.338019870729,30,28.94850778579712,100,0.8,0.8,0.8,discrete,depth,5,0.0,0.0,0.0,full_depth_depth1_rep05,94005,1030.338019870729
relu,1,depth1,1,1092.7857332611354,31,27.344085931777954,100,0.6,0.6,0.6,discrete,depth,5,0.0,0.0,0.0,full_depth_depth1_rep05,94005,1092.7857332611354
relu,1,depth1,1,1092.2341993894315,32,28.471648931503296,100,0.6,0.6,0.6,discrete,depth,5,0.0,0.0,0.0,full_depth_depth1_rep05,94005,1092.2341993894315
relu,1,depth1,1,1092.1870695260159,33,28.471374988555908,100,0.6,0.6,0.6,discrete,depth,5,0.0,0.0,0.0,full_depth_depth1_rep05,94005,1092.1870695260159
relu,1,depth1,1,1092.1513137747302,34,27.923672914505005,100,0.6,0.6,0.6,discrete,depth,5,0.0,0.0,0.0,full_depth_depth1_rep05,94005,1092.1513137747302
relu,1,depth1,1,1092.108587435003,35,28.379554986953735,100,0.6,0.6,0.6,discrete,depth,5,0.0,0.0,0.0,full_depth_depth1_rep05,94005,1092.108587435003
relu,1,depth1,1,1092.0763425206342,36,29.057955980300903,100,0.6,0.6,0.6,discrete,depth,5,0.0,0.0,0.0,full_depth_depth1_rep05,94005,1092.0763425206342
relu,1,depth1,1,1092.0577497040429,37,27.631940841674805,100,0.6,0.6,0.6,discrete,depth,5,0.0,0.0,0.0,full_depth_depth1_rep05,94005,1092.0577497040429
relu,1,depth1,1,1092.0449907337804,38,28.39063000679016,100,0.6,0.6,0.6,discrete,depth,5,0.0,0.0,0.0,full_depth_depth1_rep05,94005,1092.0449907337804
relu,1,depth1,1,1092.043787619593,39,28.626861095428467,100,0.6,0.6,0.6,discrete,depth,5,0.0,0.0,0.0,full_depth_depth1_rep05,94005,1092.043787619593
relu,1,depth1,1,1092.0404097421172,40,28.511134147644043,100,0.6,0.6,0.6,discrete,depth,5,0.0,0.0,0.0,full_depth_depth1_rep05,94005,1092.0404097421172
relu,1,depth1,1,1127.745998416439,41,27.770384073257446,100,0.4,0.4,0.4,discrete,depth,5,0.0,0.0,0.0,full_depth_depth1_rep05,94005,1127.745998416439
relu,1,depth1,1,1126.9898422852818,42,28.142301082611084,100,0.4,0.4,0.4,discrete,depth,5,0.0,0.0,0.0,full_depth_depth1_rep05,94005,1126.9898422852818
relu,1,depth1,1,1126.879845047054,43,28.742187976837158,100,0.4,0.4,0.4,discrete,depth,5,0.0,0.0,0.0,full_depth_depth1_rep05,94005,1126.879845047054
