activation,batch_size,candidate_name,depth,display_loss,epoch,epoch_seconds,iterations,mu,mu_in,mu_ref,mu_schedule_kind,phase,replicate,rho,rho_in,rho_ref,run_id,seed,training_loss
silu,1,warmup20_geometric,3,2005.9435629307598,1,97.66282296180725,100,1.0,1.0,1.0,warmup20_geometric,mu_schedule,2,0.0,0.0,0.0,full_mu_schedule_warmup20_geometric_rep02,94002,2005.9435629307598
silu,1,warmup20_geometric,3,998.7368923253952,2,27.37511396408081,100,1.0,1.0,1.0,warmup20_geometric,mu_schedule,2,0.0,0.0,0.0,full_mu_schedule_warmup20_geometric_rep02,94002,998.7368923253952
silu,1,warmup20_geometric,3,983.043789139596,3,30.34150195121765,100,1.0,1.0,1.0,warmup20_geometric,mu_schedule,2,0.0,0.0,0.0,full_mu_schedule_warmup20_geometric_rep02,94002,983.043789139596
silu,1,warmup20_geometric,3,979.6987434083671,4,28.22477102279663,100,1.0,1.0,1.0,warmup20_geometric,mu_schedule,2,0.0,0.0,0.0,full_mu_schedule_warmup20_geometric_rep02,94002,979.6987434083671
silu,1,warmup20_geometric,3,975.6502333111422,5,27.573253870010376,100,1.0,1.0,1.0,warmup20_geometric,mu_schedule,2,0.0,0.0,0.0,full_mu_schedule_warmup20_geometric_rep02,94002,975.6502333111422
silu,1,warmup20_geometric,3,973.132996106225,6,28.728005170822144,100,1.0,1.0,1.0,warmup20_geometric,mu_schedule,2,0.0,0.0,0.0,full_mu_schedule_warmup20_geometric_rep02,94002,973.132996106225
silu,1,warmup20_geometric,3,970.1471766907324,7,28.85229516029358,100,1.0,1.0,1.0,warmup20_geometric,mu_schedule,2,0.0,0.0,0.0,full_mu_schedule_warmup20_geometric_rep02,94002,970.1471766907324
silu,1,warmup20_geometric,3,968.3236962087674,8,27.062357902526855,100,1.0,1.0,1.0,warmup20_geometric,mu_schedule,2,0.0,0.0,0.0,full_mu_schedule_warmup20_geometric_rep02,94002,968.3236962087674
silu,1,warmup20_geometric,3,967.156223818904,9,27.959022045135498,100,1.0,1.0,1.0,warmup20_geometric,mu_schedule,2,0.0,0.0,0.0,full_mu_schedule_warmup20_geometric_rep02,94002,967.156223818904
silu,1,warmup20_geometric,3,966.3956565754087,10,27.695415019989014,100,1.0,1.0,1.0,warmup20_geometric,mu_schedule,2,0.0,0.0,0.0,full_mu_schedule_warmup20_geometric_rep02,94002,966.3956565754087
silu,1,warmup20_geometric,3,966.2592000851056,11,27.850624799728394,100,1.0,1.0,1.0,warmup20_geometric,mu_schedule,2,0.0,0.0,0.0,full_mu_schedule_warmup20_geometric_rep02,94002,966.2592000851056
silu,1,warmup20_geometric,3,965.9600994516987,12,28.109267950057983,100,1.0,1.0,1.0,warmup20_geometric,mu_schedule,2,0.0,0.0,0.0,full_mu_schedule_warmup20_geometric_rep02,94002,965.9600994516987
silu,1,warmup20_geometric,3,965.6881837986957,13,26.31888198852539,100,1.0,1.0,1.0,warmup20_geometric,mu_schedule,2,0.0,0.0,0.0,full_mu_schedule_warmup20_geometric_rep02,94002,965.6881837986957
silu,1,warmup20_geometric,3,965.4668701289321,14,28.009402990341187,100,1.0,1.0,1.0,warmup20_geometric,mu_schedule,2,0.0,0.0,0.0,full_mu_schedule_warmup20_geometric_rep02,94002,965.4668701289321
silu,1,warmup20_geometric,3,965.3023448489973,15,27.231980085372925,100,1.0,1.0,1.0,warmup20_geometric,mu_schedule,2,0.0,0.0,0.0,full_mu_schedule_warmup20_geometric_rep02,94002,965.3023448489973
silu,1,warmup20_geometric,3,965.17432001167,16,27.54427981376648,100,1.0,1.0,1.0,warmup20_geometric,mu_schedule,2,0.0,0.0,0.0,full_mu_schedule_warmup20_geometric_rep02,94002,965.17432001167
silu,1,warmup20_geometric,3,965.0559636087713,17,27.38804602622986,100,1.0,1.0,1.0,warmup20_geometric,mu_schedule,2,0.0,0.0,0.0,full_mu_schedule_warmup20_geometric_rep02,94002,965.0559636087713
silu,1,warmup20_geometric,3,964.9504585305314,18,28.371290922164917,100,1.0,1.0,1.0,warmup20_geometric,mu_schedule,2,0.0,0.0,0.0,full_mu_schedule_warmup20_geometric_rep02,94002,964.9504585305314
