version,run_id,smoke,phase,candidate_name,replicate,seed,training_contexts,epochs,final_epochs,depth,hidden_size,activation,schedule_kind,starting_mu,ending_mu,piece_length,nr_pieces,starting_phase_length,fine_tuning_phase_length,piecewise_raw_epochs,schedule_resampled,nr_scenarios,batch_size,learning_rate,reset_optimizer_each_epoch,mu_in_preview,mu_ref_preview
resource-allocation-annealing-method-sweep-v1,full_data_amount_n100_rep01,false,data_amount,n100,1,95001,100,130,10,3,128,relu,piecewise_linear,1.0,0.01,10,11,20,10,130,false,1,1,0.001,true,1.0|1.0|1.0|1.0|1.0|1.0|...|0.01,1.0|1.0|1.0|1.0|1.0|1.0|...|0.0
resource-allocation-annealing-method-sweep-v1,full_data_amount_n100_rep02,false,data_amount,n100,2,95002,100,130,10,3,128,relu,piecewise_linear,1.0,0.01,10,11,20,10,130,false,1,1,0.001,true,1.0|1.0|1.0|1.0|1.0|1.0|...|0.01,1.0|1.0|1.0|1.0|1.0|1.0|...|0.0
resource-allocation-annealing-method-sweep-v1,full_data_amount_n100_rep03,false,data_amount,n100,3,95003,100,130,10,3,128,relu,piecewise_linear,1.0,0.01,10,11,20,10,130,false,1,1,0.001,true,1.0|1.0|1.0|1.0|1.0|1.0|...|0.01,1.0|1.0|1.0|1.0|1.0|1.0|...|0.0
resource-allocation-annealing-method-sweep-v1,full_data_amount_n100_rep04,false,data_amount,n100,4,95004,100,130,10,3,128,relu,piecewise_linear,1.0,0.01,10,11,20,10,130,false,1,1,0.001,true,1.0|1.0|1.0|1.0|1.0|1.0|...|0.01,1.0|1.0|1.0|1.0|1.0|1.0|...|0.0
resource-allocation-annealing-method-sweep-v1,full_data_amount_n100_rep05,false,data_amount,n100,5,95005,100,130,10,3,128,relu,piecewise_linear,1.0,0.01,10,11,20,10,130,false,1,1,0.001,true,1.0|1.0|1.0|1.0|1.0|1.0|...|0.01,1.0|1.0|1.0|1.0|1.0|1.0|...|0.0
resource-allocation-annealing-method-sweep-v1,full_data_amount_n100_rep06,false,data_amount,n100,6,95006,100,130,10,3,128,relu,piecewise_linear,1.0,0.01,10,11,20,10,130,false,1,1,0.001,true,1.0|1.0|1.0|1.0|1.0|1.0|...|0.01,1.0|1.0|1.0|1.0|1.0|1.0|...|0.0
resource-allocation-annealing-method-sweep-v1,full_data_amount_n500_rep01,false,data_amount,n500,1,95001,500,26,2,3,128,relu,piecewise_linear,1.0,0.01,10,11,20,10,130,true,1,1,0.001,true,1.0|1.0|1.0|1.0|0.983764|0.93268|...|0.01,1.0|1.0|1.0|1.0|0.983764|0.93268|...|0.0
resource-allocation-annealing-method-sweep-v1,full_data_amount_n500_rep02,false,data_amount,n500,2,95002,500,26,2,3,128,relu,piecewise_linear,1.0,0.01,10,11,20,10,130,true,1,1,0.001,true,1.0|1.0|1.0|1.0|0.983764|0.93268|...|0.01,1.0|1.0|1.0|1.0|0.983764|0.93268|...|0.0
resource-allocation-annealing-method-sweep-v1,full_data_amount_n500_rep03,false,data_amount,n500,3,95003,500,26,2,3,128,relu,piecewise_linear,1.0,0.01,10,11,20,10,130,true,1,1,0.001,true,1.0|1.0|1.0|1.0|0.983764|0.93268|...|0.01,1.0|1.0|1.0|1.0|0.983764|0.93268|...|0.0
resource-allocation-annealing-method-sweep-v1,full_data_amount_n500_rep04,false,data_amount,n500,4,95004,500,26,2,3,128,relu,piecewise_linear,1.0,0.01,10,11,20,10,130,true,1,1,0.001,true,1.0|1.0|1.0|1.0|0.983764|0.93268|...|0.01,1.0|1.0|1.0|1.0|0.983764|0.93268|...|0.0
