version,run_id,smoke,stage,phase,candidate_name,replicate,seed,training_contexts,epochs,final_epochs,depth,hidden_size,activation,schedule_kind,starting_mu,ending_mu,piece_length,nr_pieces,starting_phase_length,fine_tuning_phase_length,piecewise_raw_epochs,schedule_resampled,nr_scenarios,batch_size,learning_rate,reset_optimizer_each_epoch,early_stop_enabled,early_stop_epoch,early_stop_training_loss_threshold,early_stop_display_loss_threshold,early_stop_quick_validation_loss_threshold,quick_validation_contexts,mu_in_preview,mu_ref_preview
resource-allocation-annealing-method-sweep-v1,full_depth_final_depth3_rep01,false,final,depth,depth3,1,95001,100,130,10,3,128,relu,piecewise_linear,1.0,0.01,10,11,20,10,130,false,1,1,0.001,true,false,25,Inf,Inf,Inf,20,1.0|1.0|1.0|1.0|1.0|1.0|...|0.01,1.0|1.0|1.0|1.0|1.0|1.0|...|0.0
resource-allocation-annealing-method-sweep-v1,full_depth_final_depth3_rep02,false,final,depth,depth3,2,95002,100,130,10,3,128,relu,piecewise_linear,1.0,0.01,10,11,20,10,130,false,1,1,0.001,true,false,25,Inf,Inf,Inf,20,1.0|1.0|1.0|1.0|1.0|1.0|...|0.01,1.0|1.0|1.0|1.0|1.0|1.0|...|0.0
resource-allocation-annealing-method-sweep-v1,full_depth_final_depth3_rep03,false,final,depth,depth3,3,95003,100,130,10,3,128,relu,piecewise_linear,1.0,0.01,10,11,20,10,130,false,1,1,0.001,true,false,25,Inf,Inf,Inf,20,1.0|1.0|1.0|1.0|1.0|1.0|...|0.01,1.0|1.0|1.0|1.0|1.0|1.0|...|0.0
resource-allocation-annealing-method-sweep-v1,full_depth_final_depth3_rep04,false,final,depth,depth3,4,95004,100,130,10,3,128,relu,piecewise_linear,1.0,0.01,10,11,20,10,130,false,1,1,0.001,true,false,25,Inf,Inf,Inf,20,1.0|1.0|1.0|1.0|1.0|1.0|...|0.01,1.0|1.0|1.0|1.0|1.0|1.0|...|0.0
resource-allocation-annealing-method-sweep-v1,full_depth_final_depth3_rep05,false,final,depth,depth3,5,95005,100,130,10,3,128,relu,piecewise_linear,1.0,0.01,10,11,20,10,130,false,1,1,0.001,true,false,25,Inf,Inf,Inf,20,1.0|1.0|1.0|1.0|1.0|1.0|...|0.01,1.0|1.0|1.0|1.0|1.0|1.0|...|0.0
resource-allocation-annealing-method-sweep-v1,full_depth_final_depth3_rep06,false,final,depth,depth3,6,95006,100,130,10,3,128,relu,piecewise_linear,1.0,0.01,10,11,20,10,130,false,1,1,0.001,true,false,25,Inf,Inf,Inf,20,1.0|1.0|1.0|1.0|1.0|1.0|...|0.01,1.0|1.0|1.0|1.0|1.0|1.0|...|0.0
resource-allocation-annealing-method-sweep-v1,full_depth_final_depth10_rep01,false,final,depth,depth10,1,95001,100,130,10,10,128,relu,piecewise_linear,1.0,0.01,10,11,20,10,130,false,1,1,0.001,true,false,25,Inf,Inf,Inf,20,1.0|1.0|1.0|1.0|1.0|1.0|...|0.01,1.0|1.0|1.0|1.0|1.0|1.0|...|0.0
resource-allocation-annealing-method-sweep-v1,full_depth_final_depth10_rep02,false,final,depth,depth10,2,95002,100,130,10,10,128,relu,piecewise_linear,1.0,0.01,10,11,20,10,130,false,1,1,0.001,true,false,25,Inf,Inf,Inf,20,1.0|1.0|1.0|1.0|1.0|1.0|...|0.01,1.0|1.0|1.0|1.0|1.0|1.0|...|0.0
resource-allocation-annealing-method-sweep-v1,full_depth_final_depth10_rep03,false,final,depth,depth10,3,95003,100,130,10,10,128,relu,piecewise_linear,1.0,0.01,10,11,20,10,130,false,1,1,0.001,true,false,25,Inf,Inf,Inf,20,1.0|1.0|1.0|1.0|1.0|1.0|...|0.01,1.0|1.0|1.0|1.0|1.0|1.0|...|0.0
resource-allocation-annealing-method-sweep-v1,full_depth_final_depth10_rep04,false,final,depth,depth10,4,95004,100,130,10,10,128,relu,piecewise_linear,1.0,0.01,10,11,20,10,130,false,1,1,0.001,true,false,25,Inf,Inf,Inf,20,1.0|1.0|1.0|1.0|1.0|1.0|...|0.01,1.0|1.0|1.0|1.0|1.0|1.0|...|0.0
resource-allocation-annealing-method-sweep-v1,full_depth_final_depth10_rep05,false,final,depth,depth10,5,95005,100,130,10,10,128,relu,piecewise_linear,1.0,0.01,10,11,20,10,130,false,1,1,0.001,true,false,25,Inf,Inf,Inf,20,1.0|1.0|1.0|1.0|1.0|1.0|...|0.01,1.0|1.0|1.0|1.0|1.0|1.0|...|0.0
resource-allocation-annealing-method-sweep-v1,full_depth_final_depth10_rep06,false,final,depth,depth10,6,95006,100,130,10,10,128,relu,piecewise_linear,1.0,0.01,10,11,20,10,130,false,1,1,0.001,true,false,25,Inf,Inf,Inf,20,1.0|1.0|1.0|1.0|1.0|1.0|...|0.01,1.0|1.0|1.0|1.0|1.0|1.0|...|0.0
