version,run_id,smoke,stage,phase,candidate_name,replicate,seed,training_contexts,epochs,final_epochs,depth,hidden_size,activation,schedule_kind,starting_mu,ending_mu,piece_length,nr_pieces,starting_phase_length,fine_tuning_phase_length,piecewise_raw_epochs,schedule_resampled,nr_scenarios,batch_size,learning_rate,reset_optimizer_each_epoch,early_stop_enabled,early_stop_epoch,early_stop_training_loss_threshold,early_stop_display_loss_threshold,early_stop_quick_validation_loss_threshold,quick_validation_contexts,mu_in_preview,mu_ref_preview
resource-allocation-annealing-method-sweep-v1,full_piecewise_linear_final_lower_end_mu_rep01,false,final,piecewise_linear,lower_end_mu,1,95001,100,130,10,3,32,relu,piecewise_linear,1.0,0.001,10,11,20,10,130,false,1,1,0.001,true,false,25,Inf,Inf,Inf,20,1.0|1.0|1.0|1.0|1.0|1.0|...|0.001,1.0|1.0|1.0|1.0|1.0|1.0|...|0.0
resource-allocation-annealing-method-sweep-v1,full_piecewise_linear_final_lower_end_mu_rep02,false,final,piecewise_linear,lower_end_mu,2,95002,100,130,10,3,32,relu,piecewise_linear,1.0,0.001,10,11,20,10,130,false,1,1,0.001,true,false,25,Inf,Inf,Inf,20,1.0|1.0|1.0|1.0|1.0|1.0|...|0.001,1.0|1.0|1.0|1.0|1.0|1.0|...|0.0
resource-allocation-annealing-method-sweep-v1,full_piecewise_linear_final_lower_end_mu_rep03,false,final,piecewise_linear,lower_end_mu,3,95003,100,130,10,3,32,relu,piecewise_linear,1.0,0.001,10,11,20,10,130,false,1,1,0.001,true,false,25,Inf,Inf,Inf,20,1.0|1.0|1.0|1.0|1.0|1.0|...|0.001,1.0|1.0|1.0|1.0|1.0|1.0|...|0.0
resource-allocation-annealing-method-sweep-v1,full_piecewise_linear_final_lower_end_mu_rep04,false,final,piecewise_linear,lower_end_mu,4,95004,100,130,10,3,32,relu,piecewise_linear,1.0,0.001,10,11,20,10,130,false,1,1,0.001,true,false,25,Inf,Inf,Inf,20,1.0|1.0|1.0|1.0|1.0|1.0|...|0.001,1.0|1.0|1.0|1.0|1.0|1.0|...|0.0
resource-allocation-annealing-method-sweep-v1,full_piecewise_linear_final_lower_end_mu_rep05,false,final,piecewise_linear,lower_end_mu,5,95005,100,130,10,3,32,relu,piecewise_linear,1.0,0.001,10,11,20,10,130,false,1,1,0.001,true,false,25,Inf,Inf,Inf,20,1.0|1.0|1.0|1.0|1.0|1.0|...|0.001,1.0|1.0|1.0|1.0|1.0|1.0|...|0.0
resource-allocation-annealing-method-sweep-v1,full_piecewise_linear_final_lower_end_mu_rep06,false,final,piecewise_linear,lower_end_mu,6,95006,100,130,10,3,32,relu,piecewise_linear,1.0,0.001,10,11,20,10,130,false,1,1,0.001,true,false,25,Inf,Inf,Inf,20,1.0|1.0|1.0|1.0|1.0|1.0|...|0.001,1.0|1.0|1.0|1.0|1.0|1.0|...|0.0
resource-allocation-annealing-method-sweep-v1,full_piecewise_linear_final_higher_end_mu_rep01,false,final,piecewise_linear,higher_end_mu,1,95001,100,130,10,3,32,relu,piecewise_linear,1.0,0.05,10,11,20,10,130,false,1,1,0.001,true,false,25,Inf,Inf,Inf,20,1.0|1.0|1.0|1.0|1.0|1.0|...|0.05,1.0|1.0|1.0|1.0|1.0|1.0|...|0.0
resource-allocation-annealing-method-sweep-v1,full_piecewise_linear_final_higher_end_mu_rep02,false,final,piecewise_linear,higher_end_mu,2,95002,100,130,10,3,32,relu,piecewise_linear,1.0,0.05,10,11,20,10,130,false,1,1,0.001,true,false,25,Inf,Inf,Inf,20,1.0|1.0|1.0|1.0|1.0|1.0|...|0.05,1.0|1.0|1.0|1.0|1.0|1.0|...|0.0
resource-allocation-annealing-method-sweep-v1,full_piecewise_linear_final_higher_end_mu_rep03,false,final,piecewise_linear,higher_end_mu,3,95003,100,130,10,3,32,relu,piecewise_linear,1.0,0.05,10,11,20,10,130,false,1,1,0.001,true,false,25,Inf,Inf,Inf,20,1.0|1.0|1.0|1.0|1.0|1.0|...|0.05,1.0|1.0|1.0|1.0|1.0|1.0|...|0.0
resource-allocation-annealing-method-sweep-v1,full_piecewise_linear_final_higher_end_mu_rep04,false,final,piecewise_linear,higher_end_mu,4,95004,100,130,10,3,32,relu,piecewise_linear,1.0,0.05,10,11,20,10,130,false,1,1,0.001,true,false,25,Inf,Inf,Inf,20,1.0|1.0|1.0|1.0|1.0|1.0|...|0.05,1.0|1.0|1.0|1.0|1.0|1.0|...|0.0
resource-allocation-annealing-method-sweep-v1,full_piecewise_linear_final_higher_end_mu_rep05,false,final,piecewise_linear,higher_end_mu,5,95005,100,130,10,3,32,relu,piecewise_linear,1.0,0.05,10,11,20,10,130,false,1,1,0.001,true,false,25,Inf,Inf,Inf,20,1.0|1.0|1.0|1.0|1.0|1.0|...|0.05,1.0|1.0|1.0|1.0|1.0|1.0|...|0.0
resource-allocation-annealing-method-sweep-v1,full_piecewise_linear_final_higher_end_mu_rep06,false,final,piecewise_linear,higher_end_mu,6,95006,100,130,10,3,32,relu,piecewise_linear,1.0,0.05,10,11,20,10,130,false,1,1,0.001,true,false,25,Inf,Inf,Inf,20,1.0|1.0|1.0|1.0|1.0|1.0|...|0.05,1.0|1.0|1.0|1.0|1.0|1.0|...|0.0
