version,run_id,smoke,stage,phase,candidate_name,replicate,seed,training_contexts,epochs,final_epochs,depth,hidden_size,activation,schedule_kind,starting_mu,ending_mu,piece_length,nr_pieces,starting_phase_length,fine_tuning_phase_length,piecewise_raw_epochs,schedule_resampled,nr_scenarios,batch_size,learning_rate,reset_optimizer_each_epoch,early_stop_enabled,early_stop_epoch,early_stop_training_loss_threshold,early_stop_display_loss_threshold,early_stop_quick_validation_loss_threshold,quick_validation_contexts,mu_in_preview,mu_ref_preview
resource-allocation-annealing-method-sweep-v1,full_piecewise_linear_screen_default_rep01,false,screen,piecewise_linear,default,1,95001,100,50,4,3,32,relu,piecewise_linear,1.0,0.01,10,11,20,10,130,true,1,1,0.001,true,false,25,Inf,Inf,Inf,20,1.0|1.0|1.0|1.0|1.0|1.0|...|0.01,1.0|1.0|1.0|1.0|1.0|1.0|...|0.0
resource-allocation-annealing-method-sweep-v1,full_piecewise_linear_screen_lower_end_mu_rep01,false,screen,piecewise_linear,lower_end_mu,1,95001,100,50,4,3,32,relu,piecewise_linear,1.0,0.001,10,11,20,10,130,true,1,1,0.001,true,false,25,Inf,Inf,Inf,20,1.0|1.0|1.0|1.0|1.0|1.0|...|0.001,1.0|1.0|1.0|1.0|1.0|1.0|...|0.0
resource-allocation-annealing-method-sweep-v1,full_piecewise_linear_screen_higher_end_mu_rep01,false,screen,piecewise_linear,higher_end_mu,1,95001,100,50,4,3,32,relu,piecewise_linear,1.0,0.05,10,11,20,10,130,true,1,1,0.001,true,false,25,Inf,Inf,Inf,20,1.0|1.0|1.0|1.0|1.0|1.0|...|0.05,1.0|1.0|1.0|1.0|1.0|1.0|...|0.0
resource-allocation-annealing-method-sweep-v1,full_piecewise_linear_screen_short_start_rep01,false,screen,piecewise_linear,short_start,1,95001,100,50,4,3,32,relu,piecewise_linear,1.0,0.01,11,11,10,10,130,true,1,1,0.001,true,false,25,Inf,Inf,Inf,20,1.0|1.0|1.0|1.0|0.986224|0.962531|...|0.01,1.0|1.0|1.0|1.0|0.986224|0.962531|...|0.0
resource-allocation-annealing-method-sweep-v1,full_piecewise_linear_screen_long_start_rep01,false,screen,piecewise_linear,long_start,1,95001,100,50,4,3,32,relu,piecewise_linear,1.0,0.01,9,11,30,10,130,true,1,1,0.001,true,false,25,Inf,Inf,Inf,20,1.0|1.0|1.0|1.0|1.0|1.0|...|0.01,1.0|1.0|1.0|1.0|1.0|1.0|...|0.0
resource-allocation-annealing-method-sweep-v1,full_piecewise_linear_screen_more_pieces_rep01,false,screen,piecewise_linear,more_pieces,1,95001,100,50,4,3,32,relu,piecewise_linear,1.0,0.01,5,21,20,10,130,true,1,1,0.001,true,false,25,Inf,Inf,Inf,20,1.0|1.0|1.0|1.0|1.0|1.0|...|0.01,1.0|1.0|1.0|1.0|1.0|1.0|...|0.0
resource-allocation-annealing-method-sweep-v1,full_piecewise_linear_screen_fewer_pieces_rep01,false,screen,piecewise_linear,fewer_pieces,1,95001,100,50,4,3,32,relu,piecewise_linear,1.0,0.01,20,6,20,10,130,true,1,1,0.001,true,false,25,Inf,Inf,Inf,20,1.0|1.0|1.0|1.0|1.0|1.0|...|0.01,1.0|1.0|1.0|1.0|1.0|1.0|...|0.0
resource-allocation-annealing-method-sweep-v1,full_piecewise_linear_screen_long_finetune_rep01,false,screen,piecewise_linear,long_finetune,1,95001,100,50,4,3,32,relu,piecewise_linear,1.0,0.01,9,11,20,20,130,true,1,1,0.001,true,false,25,Inf,Inf,Inf,20,1.0|1.0|1.0|1.0|1.0|1.0|...|0.01,1.0|1.0|1.0|1.0|1.0|1.0|...|0.0
resource-allocation-annealing-method-sweep-v1,full_piecewise_linear_screen_default_rep02,false,screen,piecewise_linear,default,2,95002,100,50,4,3,32,relu,piecewise_linear,1.0,0.01,10,11,20,10,130,true,1,1,0.001,true,false,25,Inf,Inf,Inf,20,1.0|1.0|1.0|1.0|1.0|1.0|...|0.01,1.0|1.0|1.0|1.0|1.0|1.0|...|0.0
resource-allocation-annealing-method-sweep-v1,full_piecewise_linear_screen_lower_end_mu_rep02,false,screen,piecewise_linear,lower_end_mu,2,95002,100,50,4,3,32,relu,piecewise_linear,1.0,0.001,10,11,20,10,130,true,1,1,0.001,true,false,25,Inf,Inf,Inf,20,1.0|1.0|1.0|1.0|1.0|1.0|...|0.001,1.0|1.0|1.0|1.0|1.0|1.0|...|0.0
