version,run_id,smoke,stage,phase,candidate_name,replicate,seed,training_contexts,epochs,final_epochs,depth,hidden_size,activation,schedule_kind,starting_mu,ending_mu,piece_length,nr_pieces,starting_phase_length,fine_tuning_phase_length,piecewise_raw_epochs,schedule_resampled,nr_scenarios,batch_size,learning_rate,reset_optimizer_each_epoch,early_stop_enabled,early_stop_epoch,early_stop_training_loss_threshold,early_stop_display_loss_threshold,early_stop_quick_validation_loss_threshold,quick_validation_contexts,mu_in_preview,mu_ref_preview
resource-allocation-annealing-method-sweep-v1,full_schedule_shape_final_geometric_rep01,false,final,schedule_shape,geometric,1,95001,100,130,10,3,32,relu,geometric,1.0,0.01,10,11,20,10,,false,1,1,0.001,true,false,25,Inf,Inf,Inf,20,1.0|0.96204|0.925522|0.890389|0.85659|0.824074|...|0.01,1.0|0.96204|0.925522|0.890389|0.85659|0.824074|...|0.0
resource-allocation-annealing-method-sweep-v1,full_schedule_shape_final_geometric_rep02,false,final,schedule_shape,geometric,2,95002,100,130,10,3,32,relu,geometric,1.0,0.01,10,11,20,10,,false,1,1,0.001,true,false,25,Inf,Inf,Inf,20,1.0|0.96204|0.925522|0.890389|0.85659|0.824074|...|0.01,1.0|0.96204|0.925522|0.890389|0.85659|0.824074|...|0.0
resource-allocation-annealing-method-sweep-v1,full_schedule_shape_final_geometric_rep03,false,final,schedule_shape,geometric,3,95003,100,130,10,3,32,relu,geometric,1.0,0.01,10,11,20,10,,false,1,1,0.001,true,false,25,Inf,Inf,Inf,20,1.0|0.96204|0.925522|0.890389|0.85659|0.824074|...|0.01,1.0|0.96204|0.925522|0.890389|0.85659|0.824074|...|0.0
resource-allocation-annealing-method-sweep-v1,full_schedule_shape_final_geometric_rep04,false,final,schedule_shape,geometric,4,95004,100,130,10,3,32,relu,geometric,1.0,0.01,10,11,20,10,,false,1,1,0.001,true,false,25,Inf,Inf,Inf,20,1.0|0.96204|0.925522|0.890389|0.85659|0.824074|...|0.01,1.0|0.96204|0.925522|0.890389|0.85659|0.824074|...|0.0
resource-allocation-annealing-method-sweep-v1,full_schedule_shape_final_geometric_rep05,false,final,schedule_shape,geometric,5,95005,100,130,10,3,32,relu,geometric,1.0,0.01,10,11,20,10,,false,1,1,0.001,true,false,25,Inf,Inf,Inf,20,1.0|0.96204|0.925522|0.890389|0.85659|0.824074|...|0.01,1.0|0.96204|0.925522|0.890389|0.85659|0.824074|...|0.0
resource-allocation-annealing-method-sweep-v1,full_schedule_shape_final_geometric_rep06,false,final,schedule_shape,geometric,6,95006,100,130,10,3,32,relu,geometric,1.0,0.01,10,11,20,10,,false,1,1,0.001,true,false,25,Inf,Inf,Inf,20,1.0|0.96204|0.925522|0.890389|0.85659|0.824074|...|0.01,1.0|0.96204|0.925522|0.890389|0.85659|0.824074|...|0.0
resource-allocation-annealing-method-sweep-v1,full_schedule_shape_final_cosine_rep01,false,final,schedule_shape,cosine,1,95001,100,130,10,3,32,relu,cosine,1.0,0.01,10,11,20,10,,false,1,1,0.001,true,false,25,Inf,Inf,Inf,20,1.0|0.999828|0.99931|0.998448|0.997243|0.995694|...|0.01,1.0|0.999828|0.99931|0.998448|0.997243|0.995694|...|0.0
resource-allocation-annealing-method-sweep-v1,full_schedule_shape_final_cosine_rep02,false,final,schedule_shape,cosine,2,95002,100,130,10,3,32,relu,cosine,1.0,0.01,10,11,20,10,,false,1,1,0.001,true,false,25,Inf,Inf,Inf,20,1.0|0.999828|0.99931|0.998448|0.997243|0.995694|...|0.01,1.0|0.999828|0.99931|0.998448|0.997243|0.995694|...|0.0
resource-allocation-annealing-method-sweep-v1,full_schedule_shape_final_cosine_rep03,false,final,schedule_shape,cosine,3,95003,100,130,10,3,32,relu,cosine,1.0,0.01,10,11,20,10,,false,1,1,0.001,true,false,25,Inf,Inf,Inf,20,1.0|0.999828|0.99931|0.998448|0.997243|0.995694|...|0.01,1.0|0.999828|0.99931|0.998448|0.997243|0.995694|...|0.0
resource-allocation-annealing-method-sweep-v1,full_schedule_shape_final_cosine_rep04,false,final,schedule_shape,cosine,4,95004,100,130,10,3,32,relu,cosine,1.0,0.01,10,11,20,10,,false,1,1,0.001,true,false,25,Inf,Inf,Inf,20,1.0|0.999828|0.99931|0.998448|0.997243|0.995694|...|0.01,1.0|0.999828|0.99931|0.998448|0.997243|0.995694|...|0.0
resource-allocation-annealing-method-sweep-v1,full_schedule_shape_final_cosine_rep05,false,final,schedule_shape,cosine,5,95005,100,130,10,3,32,relu,cosine,1.0,0.01,10,11,20,10,,false,1,1,0.001,true,false,25,Inf,Inf,Inf,20,1.0|0.999828|0.99931|0.998448|0.997243|0.995694|...|0.01,1.0|0.999828|0.99931|0.998448|0.997243|0.995694|...|0.0
resource-allocation-annealing-method-sweep-v1,full_schedule_shape_final_cosine_rep06,false,final,schedule_shape,cosine,6,95006,100,130,10,3,32,relu,cosine,1.0,0.01,10,11,20,10,,false,1,1,0.001,true,false,25,Inf,Inf,Inf,20,1.0|0.999828|0.99931|0.998448|0.997243|0.995694|...|0.01,1.0|0.999828|0.99931|0.998448|0.997243|0.995694|...|0.0
