version,run_id,smoke,stage,phase,candidate_name,replicate,seed,training_contexts,epochs,final_epochs,depth,hidden_size,activation,schedule_kind,starting_mu,ending_mu,piece_length,nr_pieces,starting_phase_length,fine_tuning_phase_length,piecewise_raw_epochs,schedule_resampled,nr_scenarios,batch_size,learning_rate,reset_optimizer_each_epoch,early_stop_enabled,early_stop_epoch,early_stop_training_loss_threshold,early_stop_display_loss_threshold,early_stop_quick_validation_loss_threshold,quick_validation_contexts,mu_in_preview,mu_ref_preview
resource-allocation-annealing-method-sweep-v1,full_width_final_width32_rep01,false,final,width,width32,1,95001,100,130,10,3,32,relu,piecewise_linear,1.0,0.01,10,11,20,10,130,false,1,1,0.001,true,false,25,Inf,Inf,Inf,20,1.0|1.0|1.0|1.0|1.0|1.0|...|0.01,1.0|1.0|1.0|1.0|1.0|1.0|...|0.0
resource-allocation-annealing-method-sweep-v1,full_width_final_width32_rep02,false,final,width,width32,2,95002,100,130,10,3,32,relu,piecewise_linear,1.0,0.01,10,11,20,10,130,false,1,1,0.001,true,false,25,Inf,Inf,Inf,20,1.0|1.0|1.0|1.0|1.0|1.0|...|0.01,1.0|1.0|1.0|1.0|1.0|1.0|...|0.0
resource-allocation-annealing-method-sweep-v1,full_width_final_width32_rep03,false,final,width,width32,3,95003,100,130,10,3,32,relu,piecewise_linear,1.0,0.01,10,11,20,10,130,false,1,1,0.001,true,false,25,Inf,Inf,Inf,20,1.0|1.0|1.0|1.0|1.0|1.0|...|0.01,1.0|1.0|1.0|1.0|1.0|1.0|...|0.0
resource-allocation-annealing-method-sweep-v1,full_width_final_width32_rep04,false,final,width,width32,4,95004,100,130,10,3,32,relu,piecewise_linear,1.0,0.01,10,11,20,10,130,false,1,1,0.001,true,false,25,Inf,Inf,Inf,20,1.0|1.0|1.0|1.0|1.0|1.0|...|0.01,1.0|1.0|1.0|1.0|1.0|1.0|...|0.0
resource-allocation-annealing-method-sweep-v1,full_width_final_width32_rep05,false,final,width,width32,5,95005,100,130,10,3,32,relu,piecewise_linear,1.0,0.01,10,11,20,10,130,false,1,1,0.001,true,false,25,Inf,Inf,Inf,20,1.0|1.0|1.0|1.0|1.0|1.0|...|0.01,1.0|1.0|1.0|1.0|1.0|1.0|...|0.0
resource-allocation-annealing-method-sweep-v1,full_width_final_width32_rep06,false,final,width,width32,6,95006,100,130,10,3,32,relu,piecewise_linear,1.0,0.01,10,11,20,10,130,false,1,1,0.001,true,false,25,Inf,Inf,Inf,20,1.0|1.0|1.0|1.0|1.0|1.0|...|0.01,1.0|1.0|1.0|1.0|1.0|1.0|...|0.0
resource-allocation-annealing-method-sweep-v1,full_width_final_width512_rep01,false,final,width,width512,1,95001,100,130,10,3,512,relu,piecewise_linear,1.0,0.01,10,11,20,10,130,false,1,1,0.001,true,false,25,Inf,Inf,Inf,20,1.0|1.0|1.0|1.0|1.0|1.0|...|0.01,1.0|1.0|1.0|1.0|1.0|1.0|...|0.0
resource-allocation-annealing-method-sweep-v1,full_width_final_width512_rep02,false,final,width,width512,2,95002,100,130,10,3,512,relu,piecewise_linear,1.0,0.01,10,11,20,10,130,false,1,1,0.001,true,false,25,Inf,Inf,Inf,20,1.0|1.0|1.0|1.0|1.0|1.0|...|0.01,1.0|1.0|1.0|1.0|1.0|1.0|...|0.0
resource-allocation-annealing-method-sweep-v1,full_width_final_width512_rep03,false,final,width,width512,3,95003,100,130,10,3,512,relu,piecewise_linear,1.0,0.01,10,11,20,10,130,false,1,1,0.001,true,false,25,Inf,Inf,Inf,20,1.0|1.0|1.0|1.0|1.0|1.0|...|0.01,1.0|1.0|1.0|1.0|1.0|1.0|...|0.0
resource-allocation-annealing-method-sweep-v1,full_width_final_width512_rep04,false,final,width,width512,4,95004,100,130,10,3,512,relu,piecewise_linear,1.0,0.01,10,11,20,10,130,false,1,1,0.001,true,false,25,Inf,Inf,Inf,20,1.0|1.0|1.0|1.0|1.0|1.0|...|0.01,1.0|1.0|1.0|1.0|1.0|1.0|...|0.0
resource-allocation-annealing-method-sweep-v1,full_width_final_width512_rep05,false,final,width,width512,5,95005,100,130,10,3,512,relu,piecewise_linear,1.0,0.01,10,11,20,10,130,false,1,1,0.001,true,false,25,Inf,Inf,Inf,20,1.0|1.0|1.0|1.0|1.0|1.0|...|0.01,1.0|1.0|1.0|1.0|1.0|1.0|...|0.0
resource-allocation-annealing-method-sweep-v1,full_width_final_width512_rep06,false,final,width,width512,6,95006,100,130,10,3,512,relu,piecewise_linear,1.0,0.01,10,11,20,10,130,false,1,1,0.001,true,false,25,Inf,Inf,Inf,20,1.0|1.0|1.0|1.0|1.0|1.0|...|0.01,1.0|1.0|1.0|1.0|1.0|1.0|...|0.0
