version,run_id,smoke,stage,phase,candidate_name,replicate,seed,training_contexts,epochs,final_epochs,depth,hidden_size,activation,schedule_kind,starting_mu,ending_mu,piece_length,nr_pieces,starting_phase_length,fine_tuning_phase_length,piecewise_raw_epochs,schedule_resampled,nr_scenarios,batch_size,learning_rate,reset_optimizer_each_epoch,early_stop_enabled,early_stop_epoch,early_stop_training_loss_threshold,early_stop_display_loss_threshold,early_stop_quick_validation_loss_threshold,quick_validation_contexts,mu_in_preview,mu_ref_preview
resource-allocation-annealing-method-sweep-v1,full_width_screen_width32_rep01,false,screen,width,width32,1,95001,100,50,4,3,32,relu,piecewise_linear,1.0,0.01,10,11,20,10,130,true,1,1,0.001,true,false,25,Inf,Inf,Inf,20,1.0|1.0|1.0|1.0|1.0|1.0|...|0.01,1.0|1.0|1.0|1.0|1.0|1.0|...|0.0
resource-allocation-annealing-method-sweep-v1,full_width_screen_width64_rep01,false,screen,width,width64,1,95001,100,50,4,3,64,relu,piecewise_linear,1.0,0.01,10,11,20,10,130,true,1,1,0.001,true,false,25,Inf,Inf,Inf,20,1.0|1.0|1.0|1.0|1.0|1.0|...|0.01,1.0|1.0|1.0|1.0|1.0|1.0|...|0.0
resource-allocation-annealing-method-sweep-v1,full_width_screen_width128_rep01,false,screen,width,width128,1,95001,100,50,4,3,128,relu,piecewise_linear,1.0,0.01,10,11,20,10,130,true,1,1,0.001,true,false,25,Inf,Inf,Inf,20,1.0|1.0|1.0|1.0|1.0|1.0|...|0.01,1.0|1.0|1.0|1.0|1.0|1.0|...|0.0
resource-allocation-annealing-method-sweep-v1,full_width_screen_width256_rep01,false,screen,width,width256,1,95001,100,50,4,3,256,relu,piecewise_linear,1.0,0.01,10,11,20,10,130,true,1,1,0.001,true,false,25,Inf,Inf,Inf,20,1.0|1.0|1.0|1.0|1.0|1.0|...|0.01,1.0|1.0|1.0|1.0|1.0|1.0|...|0.0
resource-allocation-annealing-method-sweep-v1,full_width_screen_width512_rep01,false,screen,width,width512,1,95001,100,50,4,3,512,relu,piecewise_linear,1.0,0.01,10,11,20,10,130,true,1,1,0.001,true,false,25,Inf,Inf,Inf,20,1.0|1.0|1.0|1.0|1.0|1.0|...|0.01,1.0|1.0|1.0|1.0|1.0|1.0|...|0.0
resource-allocation-annealing-method-sweep-v1,full_width_screen_width32_rep02,false,screen,width,width32,2,95002,100,50,4,3,32,relu,piecewise_linear,1.0,0.01,10,11,20,10,130,true,1,1,0.001,true,false,25,Inf,Inf,Inf,20,1.0|1.0|1.0|1.0|1.0|1.0|...|0.01,1.0|1.0|1.0|1.0|1.0|1.0|...|0.0
resource-allocation-annealing-method-sweep-v1,full_width_screen_width64_rep02,false,screen,width,width64,2,95002,100,50,4,3,64,relu,piecewise_linear,1.0,0.01,10,11,20,10,130,true,1,1,0.001,true,false,25,Inf,Inf,Inf,20,1.0|1.0|1.0|1.0|1.0|1.0|...|0.01,1.0|1.0|1.0|1.0|1.0|1.0|...|0.0
resource-allocation-annealing-method-sweep-v1,full_width_screen_width128_rep02,false,screen,width,width128,2,95002,100,50,4,3,128,relu,piecewise_linear,1.0,0.01,10,11,20,10,130,true,1,1,0.001,true,false,25,Inf,Inf,Inf,20,1.0|1.0|1.0|1.0|1.0|1.0|...|0.01,1.0|1.0|1.0|1.0|1.0|1.0|...|0.0
resource-allocation-annealing-method-sweep-v1,full_width_screen_width256_rep02,false,screen,width,width256,2,95002,100,50,4,3,256,relu,piecewise_linear,1.0,0.01,10,11,20,10,130,true,1,1,0.001,true,false,25,Inf,Inf,Inf,20,1.0|1.0|1.0|1.0|1.0|1.0|...|0.01,1.0|1.0|1.0|1.0|1.0|1.0|...|0.0
resource-allocation-annealing-method-sweep-v1,full_width_screen_width512_rep02,false,screen,width,width512,2,95002,100,50,4,3,512,relu,piecewise_linear,1.0,0.01,10,11,20,10,130,true,1,1,0.001,true,false,25,Inf,Inf,Inf,20,1.0|1.0|1.0|1.0|1.0|1.0|...|0.01,1.0|1.0|1.0|1.0|1.0|1.0|...|0.0
