attempt_id,run_id,phase,candidate_name,replicate,worker_id,hostname,pid,started_at
full_data_amount_n100_rep01_attempt1777993799672_w3,full_data_amount_n100_rep01,data_amount,n100,1,3,instance-20260504-202505,706302,1777993799672
full_data_amount_n100_rep02_attempt1777993800929_w5,full_data_amount_n100_rep02,data_amount,n100,2,5,instance-20260505-111334,35030,1777993800929
full_data_amount_n100_rep04_attempt1777993802585_w7,full_data_amount_n100_rep04,data_amount,n100,4,7,instance-20260504-201725,13728,1777993802585
full_data_amount_n100_rep03_attempt1777993803163_w6,full_data_amount_n100_rep03,data_amount,n100,3,6,instance-20260501-084214,704469,1777993803163
full_data_amount_n500_rep02_attempt1777993804330_w11,full_data_amount_n500_rep02,data_amount,n500,2,11,instance-20260501-133020,1722992,1777993804330
full_data_amount_n100_rep06_attempt1777993804334_w9,full_data_amount_n100_rep06,data_amount,n100,6,9,instance-20260501-133020,1722990,1777993804334
full_data_amount_n500_rep01_attempt1777993804350_w10,full_data_amount_n500_rep01,data_amount,n500,1,10,instance-20260501-133020,1722991,1777993804350
full_data_amount_n100_rep05_attempt1777993804359_w8,full_data_amount_n100_rep05,data_amount,n100,5,8,instance-20260501-133020,1722980,1777993804359
full_data_amount_n500_rep04_attempt1777993808056_w16,full_data_amount_n500_rep04,data_amount,n500,4,16,instance-20260504-202505,706313,1777993808056
full_data_amount_n500_rep05_attempt1777993808184_w17,full_data_amount_n500_rep05,data_amount,n500,5,17,instance-20260504-202505,706314,1777993808184
full_data_amount_n500_rep03_attempt1777993808841_w15,full_data_amount_n500_rep03,data_amount,n500,3,15,instance-20260504-202505,706312,1777993808841
full_data_amount_n500_rep06_attempt1777994852148_w5,full_data_amount_n500_rep06,data_amount,n500,6,5,instance-20260505-111334,35030,1777994852148
full_data_amount_n1000_rep01_attempt1777995355851_w7,full_data_amount_n1000_rep01,data_amount,n1000,1,7,instance-20260504-201725,13728,1777995355851
full_data_amount_n1000_rep02_attempt1777995555979_w9,full_data_amount_n1000_rep02,data_amount,n1000,2,9,instance-20260501-133020,1722990,1777995555979
full_data_amount_n1000_rep03_attempt1777995558580_w8,full_data_amount_n1000_rep03,data_amount,n1000,3,8,instance-20260501-133020,1722980,1777995558580
full_data_amount_n1000_rep04_attempt1777995565316_w11,full_data_amount_n1000_rep04,data_amount,n1000,4,11,instance-20260501-133020,1722992,1777995565316
full_data_amount_n1000_rep05_attempt1777995573451_w10,full_data_amount_n1000_rep05,data_amount,n1000,5,10,instance-20260501-133020,1722991,1777995573451
full_data_amount_n1000_rep06_attempt1777995608465_w6,full_data_amount_n1000_rep06,data_amount,n1000,6,6,instance-20260501-084214,704469,1777995608465
full_depth_depth3_rep03_attempt1777997392107_w6,full_depth_depth3_rep03,depth,depth3,3,6,instance-20260501-084214,704469,1777997392107
full_depth_depth3_rep04_attempt1777997392110_w7,full_depth_depth3_rep04,depth,depth3,4,7,instance-20260504-201725,13728,1777997392110
full_depth_depth4_rep01_attempt1777997392109_w10,full_depth_depth4_rep01,depth,depth4,1,10,instance-20260501-133020,1722991,1777997392109
full_depth_depth3_rep06_attempt1777997392110_w9,full_depth_depth3_rep06,depth,depth3,6,9,instance-20260501-133020,1722990,1777997392110
full_depth_depth4_rep02_attempt1777997392110_w11,full_depth_depth4_rep02,depth,depth4,2,11,instance-20260501-133020,1722992,1777997392110
full_depth_depth3_rep05_attempt1777997392112_w8,full_depth_depth3_rep05,depth,depth3,5,8,instance-20260501-133020,1722980,1777997392112
full_depth_depth3_rep01_attempt1777997392130_w3,full_depth_depth3_rep01,depth,depth3,1,3,instance-20260504-202505,706302,1777997392130
full_depth_depth4_rep03_attempt1777997392130_w15,full_depth_depth4_rep03,depth,depth4,3,15,instance-20260504-202505,706312,1777997392130
full_depth_depth4_rep04_attempt1777997392130_w16,full_depth_depth4_rep04,depth,depth4,4,16,instance-20260504-202505,706313,1777997392130
full_depth_depth4_rep05_attempt1777997392130_w17,full_depth_depth4_rep05,depth,depth4,5,17,instance-20260504-202505,706314,1777997392130
full_depth_depth3_rep02_attempt1777997392154_w5,full_depth_depth3_rep02,depth,depth3,2,5,instance-20260505-111334,35030,1777997392154
full_depth_depth4_rep06_attempt1777998397003_w5,full_depth_depth4_rep06,depth,depth4,6,5,instance-20260505-111334,35030,1777998397003
full_depth_depth5_rep01_attempt1777998983618_w7,full_depth_depth5_rep01,depth,depth5,1,7,instance-20260504-201725,13728,1777998983618
full_depth_depth5_rep02_attempt1777999059856_w9,full_depth_depth5_rep02,depth,depth5,2,9,instance-20260501-133020,1722990,1777999059856
full_depth_depth5_rep03_attempt1777999076038_w8,full_depth_depth5_rep03,depth,depth5,3,8,instance-20260501-133020,1722980,1777999076038
full_depth_depth5_rep04_attempt1777999081489_w11,full_depth_depth5_rep04,depth,depth5,4,11,instance-20260501-133020,1722992,1777999081489
full_depth_depth5_rep05_attempt1777999091413_w10,full_depth_depth5_rep05,depth,depth5,5,10,instance-20260501-133020,1722991,1777999091413
full_depth_depth5_rep06_attempt1777999191640_w6,full_depth_depth5_rep06,depth,depth5,6,6,instance-20260501-084214,704469,1777999191640
full_depth_depth10_rep01_attempt1777999407678_w5,full_depth_depth10_rep01,depth,depth10,1,5,instance-20260505-111334,35030,1777999407678
full_depth_screen_depth10_rep01_attempt1778002596348_w5,full_depth_screen_depth10_rep01,depth,depth10,1,5,instance-20260501-133020,1867437,1778002596348
full_depth_screen_depth3_rep01_attempt1778002596564_w2,full_depth_screen_depth3_rep01,depth,depth3,1,2,instance-20260505-143121,21636,1778002596564
full_depth_screen_depth5_rep01_attempt1778002598403_w4,full_depth_screen_depth5_rep01,depth,depth5,1,4,instance-20260505-114317,27636,1778002598403
full_depth_screen_depth4_rep01_attempt1778002599021_w3,full_depth_screen_depth4_rep01,depth,depth4,1,3,instance-20260504-202505,771644,1778002599021
full_depth_screen_depth20_rep01_attempt1778002601339_w6,full_depth_screen_depth20_rep01,depth,depth20,1,6,instance-20260501-084214,879477,1778002601339
full_depth_screen_depth20_rep01_attempt1778006573486_w2,full_depth_screen_depth20_rep01,depth,depth20,1,2,instance-20260505-143121,37151,1778006573486
full_depth_screen_depth20_rep01_attempt1778007482691_w2,full_depth_screen_depth20_rep01,depth,depth20,1,2,instance-20260505-143121,38098,1778007482691
full_depth_screen_depth20_rep01_attempt1778007893409_w2,full_depth_screen_depth20_rep01,depth,depth20,1,2,instance-20260501-084214,953792,1778007893409
full_depth_screen_depth20_rep01_attempt1778008188828_w2,full_depth_screen_depth20_rep01,depth,depth20,1,2,instance-20260501-084214,956127,1778008188828
