attempt_id,run_id,status,phase,candidate_name,replicate,seed,training_contexts,epochs,final_epochs,depth,hidden_size,activation,schedule_kind,starting_mu,ending_mu,piece_length,nr_pieces,starting_phase_length,fine_tuning_phase_length,average_test_loss,mean_test_relative_regret,mean_test_regret,mean_test_policy_value,mean_test_optimal_value,test_sample_count,training_seconds,evaluation_seconds,total_seconds,worker_id,hostname,pid,started_at,finished_at,error
full_data_amount_n100_rep02_attempt1777993800929_w5,full_data_amount_n100_rep02,ok,data_amount,n100,2,95002,100,130,10,3,128,relu,piecewise_linear,1.0,0.01,10,11,20,10,0.11056416707751927,0.11056416707751927,99.89769431737835,933.1971552060792,833.2994608887009,100.0,949.920342067,85.731858526,1049.925,5,instance-20260505-111334,35030,1777993800929,1777994850854,
full_data_amount_n100_rep04_attempt1777993802585_w7,full_data_amount_n100_rep04,ok,data_amount,n100,4,95004,100,130,10,3,128,relu,piecewise_linear,1.0,0.01,10,11,20,10,0.04690168701317386,0.04690168701317386,39.42389748947037,872.7233583781712,833.2994608887007,100.0,1430.495695146,119.05317298,1553.042,7,instance-20260504-201725,13728,1777993802585,1777995355627,
full_data_amount_n100_rep06_attempt1777993804334_w9,full_data_amount_n100_rep06,ok,data_amount,n100,6,95006,100,130,10,3,128,relu,piecewise_linear,1.0,0.01,10,11,20,10,0.0720308351726825,0.0720308351726825,66.70614078271086,900.0056016714117,833.2994608887007,100.0,1592.722162316,155.063833645,1751.393,9,instance-20260501-133020,1722990,1777993804334,1777995555727,
full_data_amount_n100_rep05_attempt1777993804359_w8,full_data_amount_n100_rep05,ok,data_amount,n100,5,95005,100,130,10,3,128,relu,piecewise_linear,1.0,0.01,10,11,20,10,0.028413442344822765,0.028413442344822765,26.90736115722398,860.2068220459248,833.2994608887007,100.0,1595.650871902,154.171240485,1753.979,8,instance-20260501-133020,1722980,1777993804359,1777995558338,
full_data_amount_n500_rep02_attempt1777993804330_w11,full_data_amount_n500_rep02,ok,data_amount,n500,2,95002,500,26,2,3,128,relu,piecewise_linear,1.0,0.01,10,11,20,10,0.03182701078052627,0.03182701078052627,26.81850694865925,860.1179678373599,833.2994608887007,100.0,1604.419788818,152.162145864,1760.721,11,instance-20260501-133020,1722992,1777993804330,1777995565051,
full_data_amount_n500_rep01_attempt1777993804350_w10,full_data_amount_n500_rep01,ok,data_amount,n500,1,95001,500,26,2,3,128,relu,piecewise_linear,1.0,0.01,10,11,20,10,0.13545286161710923,0.13545286161710923,111.24662301790228,944.546083906603,833.2994608887007,100.0,1609.971689445,154.691887969,1768.828,10,instance-20260501-133020,1722991,1777993804350,1777995573178,
full_data_amount_n100_rep03_attempt1777993803163_w6,full_data_amount_n100_rep03,ok,data_amount,n100,3,95003,100,130,10,3,128,relu,piecewise_linear,1.0,0.01,10,11,20,10,0.029335467354479755,0.029335467354479755,25.134483791092727,858.4339446797935,833.2994608887007,100.0,1658.396439934,140.074541822,1805.029,6,instance-20260501-084214,704469,1777993803163,1777995608192,
full_data_amount_n500_rep06_attempt1777994852148_w5,full_data_amount_n500_rep06,ok,data_amount,n500,6,95006,500,26,2,3,128,relu,piecewise_linear,1.0,0.01,10,11,20,10,0.11873915866475013,0.11873915866475013,99.35587034785412,932.6553312365547,833.2994608887009,100.0,898.135866291,82.07179823,991.764,5,instance-20260505-111334,35030,1777994852148,1777995843912,
full_data_amount_n100_rep01_attempt1777993799672_w3,full_data_amount_n100_rep01,ok,data_amount,n100,1,95001,100,130,10,3,128,relu,piecewise_linear,1.0,0.01,10,11,20,10,0.058932376916946326,0.058932376916946326,50.84831966738533,884.1477805560861,833.2994608887007,100.0,2473.595496347,234.833600747,2712.815,3,instance-20260504-202505,706302,1777993799672,1777996512487,
full_data_amount_n500_rep05_attempt1777993808184_w17,full_data_amount_n500_rep05,ok,data_amount,n500,5,95005,500,26,2,3,128,relu,piecewise_linear,1.0,0.01,10,11,20,10,0.028548093968610043,0.028548093968610043,26.892745095808532,860.1922059845093,833.2994608887007,100.0,2577.069378367,205.856410163,2787.587,17,instance-20260504-202505,706314,1777993808184,1777996595771,
full_data_amount_n500_rep03_attempt1777993808841_w15,full_data_amount_n500_rep03,ok,data_amount,n500,3,95003,500,26,2,3,128,relu,piecewise_linear,1.0,0.01,10,11,20,10,0.12048284426827095,0.12048284426827095,99.79640331635805,933.0958642050588,833.2994608887007,100.0,2586.886612182,198.306729752,2789.9,15,instance-20260504-202505,706312,1777993808841,1777996598741,
full_data_amount_n500_rep04_attempt1777993808056_w16,full_data_amount_n500_rep04,ok,data_amount,n500,4,95004,500,26,2,3,128,relu,piecewise_linear,1.0,0.01,10,11,20,10,0.04665771118254123,0.04665771118254123,41.50961622590464,874.8090771146054,833.2994608887007,100.0,2618.063677805,188.329201927,2811.022,16,instance-20260504-202505,706313,1777993808056,1777996619078,
full_data_amount_n1000_rep01_attempt1777995355851_w7,full_data_amount_n1000_rep01,ok,data_amount,n1000,1,95001,1000,13,1,3,128,relu,piecewise_linear,1.0,0.01,10,11,20,10,0.05862737340904484,0.05862737340904484,51.16098598671027,884.4604468754113,833.2994608887007,100.0,1399.768427903,115.737948771,1517.913,7,instance-20260504-201725,13728,1777995355851,1777996873764,
full_data_amount_n1000_rep04_attempt1777995565316_w11,full_data_amount_n1000_rep04,ok,data_amount,n1000,4,95004,1000,13,1,3,128,relu,piecewise_linear,1.0,0.01,10,11,20,10,0.09224413816733609,0.09224413816733609,78.62097667588414,911.9204375645852,833.2994608887007,100.0,1553.972893182,176.841706508,1733.307,11,instance-20260501-133020,1722992,1777995565316,1777997298623,
