attempt_id,run_id,phase,candidate_name,replicate,worker_id,hostname,pid,started_at
smoke_data_amount_n2_rep01_attempt1777991978850_w2,smoke_data_amount_n2_rep01,data_amount,n2,1,2,instance-20260504-202505,703479,1777991978850
smoke_data_amount_n3_rep01_attempt1777991982131_w4,smoke_data_amount_n3_rep01,data_amount,n3,1,4,instance-20260505-111334,31574,1777991982131
smoke_data_amount_n4_rep01_attempt1777991985599_w5,smoke_data_amount_n4_rep01,data_amount,n4,1,5,instance-20260501-084214,689528,1777991985599
smoke_depth_depth3_rep01_attempt1777992047378_w2,smoke_depth_depth3_rep01,depth,depth3,1,2,instance-20260504-202505,703479,1777992047378
smoke_depth_depth5_rep01_attempt1777992047382_w5,smoke_depth_depth5_rep01,depth,depth5,1,5,instance-20260501-084214,689528,1777992047382
smoke_depth_depth4_rep01_attempt1777992047420_w4,smoke_depth_depth4_rep01,depth,depth4,1,4,instance-20260505-111334,31574,1777992047420
smoke_depth_depth20_rep01_attempt1777992054856_w7,smoke_depth_depth20_rep01,depth,depth20,1,7,instance-20260501-133020,1720439,1777992054856
smoke_depth_depth10_rep01_attempt1777992057013_w6,smoke_depth_depth10_rep01,depth,depth10,1,6,instance-20260504-201725,11502,1777992057013
smoke_width_width128_rep01_attempt1777992114156_w5,smoke_width_width128_rep01,width,width128,1,5,instance-20260501-084214,689528,1777992114156
smoke_width_width32_rep01_attempt1777992114159_w2,smoke_width_width32_rep01,width,width32,1,2,instance-20260504-202505,703479,1777992114159
smoke_width_width512_rep01_attempt1777992114176_w7,smoke_width_width512_rep01,width,width512,1,7,instance-20260501-133020,1720439,1777992114176
smoke_width_width256_rep01_attempt1777992114189_w6,smoke_width_width256_rep01,width,width256,1,6,instance-20260504-201725,11502,1777992114189
smoke_width_width64_rep01_attempt1777992114206_w4,smoke_width_width64_rep01,width,width64,1,4,instance-20260505-111334,31574,1777992114206
smoke_schedule_shape_geometric_rep01_attempt1777992119798_w5,smoke_schedule_shape_geometric_rep01,schedule_shape,geometric,1,5,instance-20260501-084214,689528,1777992119798
