config_batch_size,config_context_terms,config_demand_power,config_depth,config_dropout,config_epochs,config_hidden_size,config_learning_rate,config_loss,config_mu,config_n_samples,config_rho,config_run_id,config_seed,config_sigma,config_solver,config_test_fraction,config_tolerance_absolute_floor,config_tolerance_relative,config_validation_fraction
32,3,1.0,2,0.0,100,64,0.0001,mse_scen,0.0,2000,0.0,run_0001_seed1,1,5.0,highs,0.15,1.0,0.1,0.15
32,3,1.0,2,0.0,100,64,0.0001,mse_scen,0.0,2000,0.0,run_0002_seed2,2,5.0,highs,0.15,1.0,0.1,0.15
32,3,1.0,2,0.0,100,64,0.0001,mse_scen,0.0,2000,0.0,run_0003_seed3,3,5.0,highs,0.15,1.0,0.1,0.15
32,3,1.0,2,0.1,100,64,0.0001,mse_scen,0.0,2000,0.0,run_0004_seed1,1,5.0,highs,0.15,1.0,0.1,0.15
32,3,1.0,2,0.1,100,64,0.0001,mse_scen,0.0,2000,0.0,run_0005_seed2,2,5.0,highs,0.15,1.0,0.1,0.15
32,3,1.0,2,0.1,100,64,0.0001,mse_scen,0.0,2000,0.0,run_0006_seed3,3,5.0,highs,0.15,1.0,0.1,0.15
64,3,1.0,2,0.0,100,64,0.0001,mse_scen,0.0,2000,0.0,run_0007_seed1,1,5.0,highs,0.15,1.0,0.1,0.15
64,3,1.0,2,0.0,100,64,0.0001,mse_scen,0.0,2000,0.0,run_0008_seed2,2,5.0,highs,0.15,1.0,0.1,0.15
64,3,1.0,2,0.0,100,64,0.0001,mse_scen,0.0,2000,0.0,run_0009_seed3,3,5.0,highs,0.15,1.0,0.1,0.15
64,3,1.0,2,0.1,100,64,0.0001,mse_scen,0.0,2000,0.0,run_0010_seed1,1,5.0,highs,0.15,1.0,0.1,0.15
64,3,1.0,2,0.1,100,64,0.0001,mse_scen,0.0,2000,0.0,run_0011_seed2,2,5.0,highs,0.15,1.0,0.1,0.15
64,3,1.0,2,0.1,100,64,0.0001,mse_scen,0.0,2000,0.0,run_0012_seed3,3,5.0,highs,0.15,1.0,0.1,0.15
32,3,1.0,3,0.0,100,64,0.0001,mse_scen,0.0,2000,0.0,run_0013_seed1,1,5.0,highs,0.15,1.0,0.1,0.15
32,3,1.0,3,0.0,100,64,0.0001,mse_scen,0.0,2000,0.0,run_0014_seed2,2,5.0,highs,0.15,1.0,0.1,0.15
32,3,1.0,3,0.0,100,64,0.0001,mse_scen,0.0,2000,0.0,run_0015_seed3,3,5.0,highs,0.15,1.0,0.1,0.15
32,3,1.0,3,0.1,100,64,0.0001,mse_scen,0.0,2000,0.0,run_0016_seed1,1,5.0,highs,0.15,1.0,0.1,0.15
32,3,1.0,3,0.1,100,64,0.0001,mse_scen,0.0,2000,0.0,run_0017_seed2,2,5.0,highs,0.15,1.0,0.1,0.15
32,3,1.0,3,0.1,100,64,0.0001,mse_scen,0.0,2000,0.0,run_0018_seed3,3,5.0,highs,0.15,1.0,0.1,0.15
64,3,1.0,3,0.0,100,64,0.0001,mse_scen,0.0,2000,0.0,run_0019_seed1,1,5.0,highs,0.15,1.0,0.1,0.15
64,3,1.0,3,0.0,100,64,0.0001,mse_scen,0.0,2000,0.0,run_0020_seed2,2,5.0,highs,0.15,1.0,0.1,0.15
64,3,1.0,3,0.0,100,64,0.0001,mse_scen,0.0,2000,0.0,run_0021_seed3,3,5.0,highs,0.15,1.0,0.1,0.15
64,3,1.0,3,0.1,100,64,0.0001,mse_scen,0.0,2000,0.0,run_0022_seed1,1,5.0,highs,0.15,1.0,0.1,0.15
64,3,1.0,3,0.1,100,64,0.0001,mse_scen,0.0,2000,0.0,run_0023_seed2,2,5.0,highs,0.15,1.0,0.1,0.15
64,3,1.0,3,0.1,100,64,0.0001,mse_scen,0.0,2000,0.0,run_0024_seed3,3,5.0,highs,0.15,1.0,0.1,0.15
32,3,1.0,2,0.0,100,128,0.0001,mse_scen,0.0,2000,0.0,run_0025_seed1,1,5.0,highs,0.15,1.0,0.1,0.15
