config_batch_size,config_context_terms,config_demand_power,config_depth,config_dropout,config_epochs,config_hidden_size,config_learning_rate,config_loss,config_mu,config_n_samples,config_rho,config_run_id,config_seed,config_sigma,config_solver,config_test_fraction,config_tolerance_absolute_floor,config_tolerance_relative,config_validation_fraction,epoch,minibatch_mse,run_id,status,test_mse,train_mse,validation_mse
32,3,1.0,2,0.0,100,64,0.0001,mse_scen,0.0,2000,0.0,run_0001_seed1,1,5.0,highs,0.15,1.0,0.1,0.15,1,4168.983898331939,run_0001_seed1,ok,4177.466357270755,4167.109951496344,4268.939023557549
32,3,1.0,2,0.0,100,64,0.0001,mse_scen,0.0,2000,0.0,run_0001_seed1,1,5.0,highs,0.15,1.0,0.1,0.15,2,4166.464613053816,run_0001_seed1,ok,4171.492870850923,4161.223502012901,4262.680879890545
32,3,1.0,2,0.0,100,64,0.0001,mse_scen,0.0,2000,0.0,run_0001_seed1,1,5.0,highs,0.15,1.0,0.1,0.15,3,4157.2976768223025,run_0001_seed1,ok,4162.072822407572,4151.933944019754,4252.81382203222
32,3,1.0,2,0.0,100,64,0.0001,mse_scen,0.0,2000,0.0,run_0001_seed1,1,5.0,highs,0.15,1.0,0.1,0.15,4,4145.386348133369,run_0001_seed1,ok,4146.974372455291,4137.042801932958,4236.970415583851
32,3,1.0,2,0.0,100,64,0.0001,mse_scen,0.0,2000,0.0,run_0001_seed1,1,5.0,highs,0.15,1.0,0.1,0.15,5,4125.534298761352,run_0001_seed1,ok,4122.1494881247445,4112.612720758457,4210.907550367239
32,3,1.0,2,0.0,100,64,0.0001,mse_scen,0.0,2000,0.0,run_0001_seed1,1,5.0,highs,0.15,1.0,0.1,0.15,6,4096.239392369573,run_0001_seed1,ok,4081.6229310306444,4072.824732914139,4168.396611172328
32,3,1.0,2,0.0,100,64,0.0001,mse_scen,0.0,2000,0.0,run_0001_seed1,1,5.0,highs,0.15,1.0,0.1,0.15,7,4044.131673145892,run_0001_seed1,ok,4016.9797420713694,4009.3758898868646,4100.749037158095
32,3,1.0,2,0.0,100,64,0.0001,mse_scen,0.0,2000,0.0,run_0001_seed1,1,5.0,highs,0.15,1.0,0.1,0.15,8,3968.1756588359162,run_0001_seed1,ok,3921.426819586052,3915.4537258071164,4000.8818946634515
32,3,1.0,2,0.0,100,64,0.0001,mse_scen,0.0,2000,0.0,run_0001_seed1,1,5.0,highs,0.15,1.0,0.1,0.15,9,3854.1128992470926,run_0001_seed1,ok,3789.2819403736175,3785.412107300148,3863.2245357786715
32,3,1.0,2,0.0,100,64,0.0001,mse_scen,0.0,2000,0.0,run_0001_seed1,1,5.0,highs,0.15,1.0,0.1,0.15,10,3709.263770801989,run_0001_seed1,ok,3624.134407136072,3622.7883945756503,3691.6002005446285
