config_batch_size,config_context_terms,config_demand_power,config_depth,config_dropout,config_epochs,config_hidden_size,config_learning_rate,config_loss,config_mu,config_n_samples,config_rho,config_run_id,config_seed,config_sigma,config_solver,config_test_fraction,config_tolerance_absolute_floor,config_tolerance_relative,config_validation_fraction,elapsed_seconds,error,fallback_reason,finished_at,hostname,julia_version,pid,run_id,started_at,status,test_mae,test_mse,test_relative_mae,test_rmse,test_sample_count,test_tolerance_accuracy,train_mae,train_mse,train_relative_mae,train_rmse,train_sample_count,train_tolerance_accuracy,training_backend,validation_mae,validation_mse,validation_relative_mae,validation_rmse,validation_sample_count,validation_tolerance_accuracy,worker_id
32,3,1.0,2,0.0,100,64,0.0001,mse_scen,0.0,2000,0.0,run_0001_seed1,1,5.0,highs,0.15,1.0,0.1,0.15,36.818187781,,Training has not been implemented yet.,2026-05-01T16:35:51.086,instance-20260501-084214,1.12.6,14139,run_0001_seed1,2026-05-01T16:35:12.790,ok,5.777280221463638,53.00748777268037,0.0915490230040251,7.280624133457266,300,0.6197777777777778,5.606928046440312,50.00679929368202,0.08873171559770696,7.071548578188658,1400,0.6349047619047619,ContextualDFLTraining.supervised_mse_fallback,5.7203539381241715,52.84026371426016,0.08931930362701918,7.2691308775024925,300,0.6336666666666667,2
32,3,1.0,2,0.0,100,64,0.0001,mse_scen,0.0,2000,0.0,run_0002_seed2,2,5.0,highs,0.15,1.0,0.1,0.15,36.159971335,,Training has not been implemented yet.,2026-05-01T16:35:50.343,instance-20260501-084214,1.12.6,14163,run_0002_seed2,2026-05-01T16:35:12.778,ok,7.29862080000612,81.50717910969165,0.12248101946446174,9.028132647989375,300,0.4771111111111111,7.261206847136297,82.29648725025292,0.11912112440541815,9.071741136642565,1400,0.4856666666666667,ContextualDFLTraining.supervised_mse_fallback,7.474834822090026,86.59572995899582,0.12258373260137698,9.305682670228757,300,0.4713333333333333,3
32,3,1.0,2,0.0,100,64,0.0001,mse_scen,0.0,2000,0.0,run_0003_seed3,3,5.0,highs,0.15,1.0,0.1,0.15,37.060522371,,Training has not been implemented yet.,2026-05-01T16:35:51.146,instance-20260501-084214,1.12.6,14164,run_0003_seed3,2026-05-01T16:35:12.665,ok,6.615760894876557,68.08054636742463,0.10600641263725323,8.251093646749178,300,0.5447777777777778,6.63218472271434,70.1072903067542,0.10501344788061873,8.373009632548753,1400,0.5540714285714285,ContextualDFLTraining.supervised_mse_fallback,6.402865152963795,65.34894965927634,0.10135447522170427,8.083869720577908,300,0.5816666666666667,4
32,3,1.0,2,0.1,100,64,0.0001,mse_scen,0.0,2000,0.0,run_0004_seed1,1,5.0,highs,0.15,1.0,0.1,0.15,41.534826607,,Training has not been implemented yet.,2026-05-01T16:35:55.872,instance-20260501-084214,1.12.6,14165,run_0004_seed1,2026-05-01T16:35:12.671,ok,6.3486422903752,63.074941934417026,0.10036565918784113,7.941973428211469,300,0.5695555555555556,6.208872360830264,60.732043341515094,0.09804938657590355,7.793076628746512,1400,0.5835952380952381,ContextualDFLTraining.supervised_mse_fallback,6.343687958210382,64.57410553685341,0.09880983852479176,8.035801486899325,300,0.5797777777777777,5
32,3,1.0,2,0.1,100,64,0.0001,mse_scen,0.0,2000,0.0,run_0005_seed2,2,5.0,highs,0.15,1.0,0.1,0.15,41.990800078,,Training has not been implemented yet.,2026-05-01T16:35:56.027,instance-20260501-084214,1.12.6,14166,run_0005_seed2,2026-05-01T16:35:12.618,ok,5.891262926092192,54.02122454257046,0.09871554873168682,7.349913233676331,300,0.5735555555555556,5.840257392338191,53.73968793556125,0.09578644434988946,7.330735838615469,1400,0.5917380952380953,ContextualDFLTraining.supervised_mse_fallback,5.979372677053246,56.0762028508869,0.09806146209837968,7.488404559776862,300,0.5797777777777777,6
32,3,1.0,2,0.1,100,64,0.0001,mse_scen,0.0,2000,0.0,run_0006_seed3,3,5.0,highs,0.15,1.0,0.1,0.15,42.341098859,,Training has not been implemented yet.,2026-05-01T16:35:56.371,instance-20260501-084214,1.12.6,14167,run_0006_seed3,2026-05-01T16:35:12.610,ok,6.097514733717274,57.93869917088335,0.09770386679126564,7.6117474452902965,300,0.5851111111111111,6.091946387650797,58.94841415437668,0.09645159901125255,7.677787061020687,1400,0.5937142857142857,ContextualDFLTraining.supervised_mse_fallback,5.8845985396524885,55.28049521902556,0.09307112496004566,7.435085421098103,300,0.6213333333333333,7
64,3,1.0,2,0.0,100,64,0.0001,mse_scen,0.0,2000,0.0,run_0007_seed1,1,5.0,highs,0.15,1.0,0.1,0.15,36.547138917,,Training has not been implemented yet.,2026-05-01T16:35:50.569,instance-20260501-084214,1.12.6,14168,run_0007_seed1,2026-05-01T16:35:12.627,ok,12.302669483978729,222.53502299690976,0.19561254943716175,14.917607817505786,300,0.28933333333333333,12.04403223787239,219.70617515646293,0.1916148202144526,14.822488831382634,1400,0.3125476190476191,ContextualDFLTraining.supervised_mse_fallback,12.067739176950584,229.01782105462456,0.18874055211515056,15.133334763185031,300,0.3323333333333333,8
64,3,1.0,2,0.0,100,64,0.0001,mse_scen,0.0,2000,0.0,run_0008_seed2,2,5.0,highs,0.15,1.0,0.1,0.15,36.204152329,,Training has not been implemented yet.,2026-05-01T16:35:50.371,instance-20260501-084214,1.12.6,14169,run_0008_seed2,2026-05-01T16:35:12.604,ok,11.481528151811741,193.91378993830023,0.19360973124355305,13.925293172436271,300,0.29344444444444445,11.437513237124307,195.76793453446527,0.1888888715783628,13.991709492927063,1400,0.30316666666666664,ContextualDFLTraining.supervised_mse_fallback,11.757051354706356,203.7821635713896,0.19422304788481654,14.275229019927828,300,0.2941111111111111,9
64,3,1.0,2,0.0,100,64,0.0001,mse_scen,0.0,2000,0.0,run_0009_seed3,3,5.0,highs,0.15,1.0,0.1,0.15,25.388114095,,Training has not been implemented yet.,2026-05-01T16:35:36.618,instance-20260501-133020,1.12.6,17399,run_0009_seed3,2026-05-01T16:35:10.287,ok,10.167239165273182,155.7695815707518,0.1637152203045603,12.480768468758315,300,0.36,10.164323239297895,160.34798800675216,0.1617622004291906,12.662858603283548,1400,0.3705952380952381,ContextualDFLTraining.supervised_mse_fallback,9.74702908233374,146.32244137880562,0.1552124320508447,12.096381334052165,300,0.394,10
64,3,1.0,2,0.1,100,64,0.0001,mse_scen,0.0,2000,0.0,run_0010_seed1,1,5.0,highs,0.15,1.0,0.1,0.15,28.488212506,,Training has not been implemented yet.,2026-05-01T16:35:39.786,instance-20260501-133020,1.12.6,17419,run_0010_seed1,2026-05-01T16:35:10.334,ok,11.818416088112192,205.80609203491966,0.18815668072166394,14.345943399962223,300,0.30244444444444446,11.503206883102386,200.29878346428114,0.1832325142096261,14.15269527207737,1400,0.32454761904761903,ContextualDFLTraining.supervised_mse_fallback,11.595163760859652,211.65247465404673,0.1815860450702278,14.54828081437964,300,0.3418888888888889,11
