activation,batch_size,candidate_name,data_seed,depth,display_loss,epoch,epoch_seconds,group,hidden_size,iterations,knn_k,loss_kind,model_seed,mu,mu_in,mu_ref,nr_scenarios,replicate,reset_optimizer_each_epoch,rho,rho_in,rho_ref,run_id,schedule_kind,training_loss,training_seed
silu,1,mse,202665051,4,2194.970435743733,1,31.102792024612427,01_ablations,128,100,0,mse,202665052,1.0,1.0,1.0,1,6,true,0.0,0.0,0.0,full_01_ablations_mse_rep06,baseline,2194.970435743733,202665053
silu,1,mse,202665051,4,131.58080809445948,2,0.13182806968688965,01_ablations,128,100,0,mse,202665052,1.0,1.0,1.0,1,6,true,0.0,0.0,0.0,full_01_ablations_mse_rep06,baseline,131.58080809445948,202665053
silu,1,mse,202665051,4,103.2306449979382,3,0.049250125885009766,01_ablations,128,100,0,mse,202665052,1.0,1.0,1.0,1,6,true,0.0,0.0,0.0,full_01_ablations_mse_rep06,baseline,103.2306449979382,202665053
silu,1,mse,202665051,4,90.84799614380582,4,0.2021028995513916,01_ablations,128,100,0,mse,202665052,1.0,1.0,1.0,1,6,true,0.0,0.0,0.0,full_01_ablations_mse_rep06,baseline,90.84799614380582,202665053
silu,1,mse,202665051,4,82.25209962926347,5,0.06818580627441406,01_ablations,128,100,0,mse,202665052,1.0,1.0,1.0,1,6,true,0.0,0.0,0.0,full_01_ablations_mse_rep06,baseline,82.25209962926347,202665053
silu,1,mse,202665051,4,76.45600315138051,6,0.09621095657348633,01_ablations,128,100,0,mse,202665052,1.0,1.0,1.0,1,6,true,0.0,0.0,0.0,full_01_ablations_mse_rep06,baseline,76.45600315138051,202665053
silu,1,mse,202665051,4,71.85960812585472,7,0.09698700904846191,01_ablations,128,100,0,mse,202665052,1.0,1.0,1.0,1,6,true,0.0,0.0,0.0,full_01_ablations_mse_rep06,baseline,71.85960812585472,202665053
silu,1,mse,202665051,4,68.09143992383389,8,0.0717308521270752,01_ablations,128,100,0,mse,202665052,1.0,1.0,1.0,1,6,true,0.0,0.0,0.0,full_01_ablations_mse_rep06,baseline,68.09143992383389,202665053
silu,1,mse,202665051,4,65.85975530282508,9,0.1081550121307373,01_ablations,128,100,0,mse,202665052,1.0,1.0,1.0,1,6,true,0.0,0.0,0.0,full_01_ablations_mse_rep06,baseline,65.85975530282508,202665053
silu,1,mse,202665051,4,64.47631629702713,10,0.09890198707580566,01_ablations,128,100,0,mse,202665052,1.0,1.0,1.0,1,6,true,0.0,0.0,0.0,full_01_ablations_mse_rep06,baseline,64.47631629702713,202665053
silu,1,mse,202665051,4,63.038073349987634,11,0.0650029182434082,01_ablations,128,100,0,mse,202665052,1.0,1.0,1.0,1,6,true,0.0,0.0,0.0,full_01_ablations_mse_rep06,baseline,63.038073349987634,202665053
silu,1,mse,202665051,4,62.706302462982975,12,0.09632682800292969,01_ablations,128,100,0,mse,202665052,1.0,1.0,1.0,1,6,true,0.0,0.0,0.0,full_01_ablations_mse_rep06,baseline,62.706302462982975,202665053
silu,1,mse,202665051,4,61.19947165580416,13,0.0755929946899414,01_ablations,128,100,0,mse,202665052,1.0,1.0,1.0,1,6,true,0.0,0.0,0.0,full_01_ablations_mse_rep06,baseline,61.19947165580416,202665053
silu,1,mse,202665051,4,62.13917704332661,14,0.08623504638671875,01_ablations,128,100,0,mse,202665052,1.0,1.0,1.0,1,6,true,0.0,0.0,0.0,full_01_ablations_mse_rep06,baseline,62.13917704332661,202665053
silu,1,mse,202665051,4,59.41012131947073,15,0.08227992057800293,01_ablations,128,100,0,mse,202665052,1.0,1.0,1.0,1,6,true,0.0,0.0,0.0,full_01_ablations_mse_rep06,baseline,59.41012131947073,202665053
silu,1,mse,202665051,4,60.61220078185816,16,0.06613802909851074,01_ablations,128,100,0,mse,202665052,1.0,1.0,1.0,1,6,true,0.0,0.0,0.0,full_01_ablations_mse_rep06,baseline,60.61220078185816,202665053
silu,1,mse,202665051,4,58.77003132187361,17,0.09728288650512695,01_ablations,128,100,0,mse,202665052,1.0,1.0,1.0,1,6,true,0.0,0.0,0.0,full_01_ablations_mse_rep06,baseline,58.77003132187361,202665053
silu,1,mse,202665051,4,59.14485198124312,18,0.03914308547973633,01_ablations,128,100,0,mse,202665052,1.0,1.0,1.0,1,6,true,0.0,0.0,0.0,full_01_ablations_mse_rep06,baseline,59.14485198124312,202665053
silu,1,mse,202665051,4,57.892555835997285,19,0.1852099895477295,01_ablations,128,100,0,mse,202665052,1.0,1.0,1.0,1,6,true,0.0,0.0,0.0,full_01_ablations_mse_rep06,baseline,57.892555835997285,202665053
silu,1,mse,202665051,4,57.42475675974389,20,0.08944821357727051,01_ablations,128,100,0,mse,202665052,1.0,1.0,1.0,1,6,true,0.0,0.0,0.0,full_01_ablations_mse_rep06,baseline,57.42475675974389,202665053
silu,1,mse,202665051,4,56.2855845022805,21,0.12294697761535645,01_ablations,128,100,0,mse,202665052,0.8,0.8,0.8,1,6,true,0.0,0.0,0.0,full_01_ablations_mse_rep06,baseline,56.2855845022805,202665053
silu,1,mse,202665051,4,55.80263855208469,22,0.1010599136352539,01_ablations,128,100,0,mse,202665052,0.8,0.8,0.8,1,6,true,0.0,0.0,0.0,full_01_ablations_mse_rep06,baseline,55.80263855208469,202665053
silu,1,mse,202665051,4,54.76688380342069,23,0.10031008720397949,01_ablations,128,100,0,mse,202665052,0.8,0.8,0.8,1,6,true,0.0,0.0,0.0,full_01_ablations_mse_rep06,baseline,54.76688380342069,202665053
silu,1,mse,202665051,4,54.16471699809034,24,0.11964297294616699,01_ablations,128,100,0,mse,202665052,0.8,0.8,0.8,1,6,true,0.0,0.0,0.0,full_01_ablations_mse_rep06,baseline,54.16471699809034,202665053
silu,1,mse,202665051,4,52.96741117978013,25,0.05256080627441406,01_ablations,128,100,0,mse,202665052,0.8,0.8,0.8,1,6,true,0.0,0.0,0.0,full_01_ablations_mse_rep06,baseline,52.96741117978013,202665053
silu,1,mse,202665051,4,51.3834416783929,26,0.13373494148254395,01_ablations,128,100,0,mse,202665052,0.8,0.8,0.8,1,6,true,0.0,0.0,0.0,full_01_ablations_mse_rep06,baseline,51.3834416783929,202665053
silu,1,mse,202665051,4,49.65428078326925,27,0.0630791187286377,01_ablations,128,100,0,mse,202665052,0.8,0.8,0.8,1,6,true,0.0,0.0,0.0,full_01_ablations_mse_rep06,baseline,49.65428078326925,202665053
silu,1,mse,202665051,4,47.46223231404858,28,0.06873393058776855,01_ablations,128,100,0,mse,202665052,0.8,0.8,0.8,1,6,true,0.0,0.0,0.0,full_01_ablations_mse_rep06,baseline,47.46223231404858,202665053
silu,1,mse,202665051,4,45.71892334935208,29,0.159498929977417,01_ablations,128,100,0,mse,202665052,0.8,0.8,0.8,1,6,true,0.0,0.0,0.0,full_01_ablations_mse_rep06,baseline,45.71892334935208,202665053
silu,1,mse,202665051,4,44.14802995669671,30,0.045961856842041016,01_ablations,128,100,0,mse,202665052,0.8,0.8,0.8,1,6,true,0.0,0.0,0.0,full_01_ablations_mse_rep06,baseline,44.14802995669671,202665053
silu,1,mse,202665051,4,43.28054946583481,31,0.1461629867553711,01_ablations,128,100,0,mse,202665052,0.6,0.6,0.6,1,6,true,0.0,0.0,0.0,full_01_ablations_mse_rep06,baseline,43.28054946583481,202665053
silu,1,mse,202665051,4,42.558194163174896,32,0.06791305541992188,01_ablations,128,100,0,mse,202665052,0.6,0.6,0.6,1,6,true,0.0,0.0,0.0,full_01_ablations_mse_rep06,baseline,42.558194163174896,202665053
silu,1,mse,202665051,4,41.68194025209054,33,0.13991212844848633,01_ablations,128,100,0,mse,202665052,0.6,0.6,0.6,1,6,true,0.0,0.0,0.0,full_01_ablations_mse_rep06,baseline,41.68194025209054,202665053
silu,1,mse,202665051,4,40.93942107870814,34,0.11292386054992676,01_ablations,128,100,0,mse,202665052,0.6,0.6,0.6,1,6,true,0.0,0.0,0.0,full_01_ablations_mse_rep06,baseline,40.93942107870814,202665053
silu,1,mse,202665051,4,40.15594171695891,35,0.056236982345581055,01_ablations,128,100,0,mse,202665052,0.6,0.6,0.6,1,6,true,0.0,0.0,0.0,full_01_ablations_mse_rep06,baseline,40.15594171695891,202665053
silu,1,mse,202665051,4,39.43834564408388,36,0.08779001235961914,01_ablations,128,100,0,mse,202665052,0.6,0.6,0.6,1,6,true,0.0,0.0,0.0,full_01_ablations_mse_rep06,baseline,39.43834564408388,202665053
silu,1,mse,202665051,4,38.909016866967015,37,0.046441078186035156,01_ablations,128,100,0,mse,202665052,0.6,0.6,0.6,1,6,true,0.0,0.0,0.0,full_01_ablations_mse_rep06,baseline,38.909016866967015,202665053
silu,1,mse,202665051,4,38.4863548842872,38,0.0849909782409668,01_ablations,128,100,0,mse,202665052,0.6,0.6,0.6,1,6,true,0.0,0.0,0.0,full_01_ablations_mse_rep06,baseline,38.4863548842872,202665053
silu,1,mse,202665051,4,38.34290035688587,39,0.047463178634643555,01_ablations,128,100,0,mse,202665052,0.6,0.6,0.6,1,6,true,0.0,0.0,0.0,full_01_ablations_mse_rep06,baseline,38.34290035688587,202665053
silu,1,mse,202665051,4,38.667170393445296,40,0.07153201103210449,01_ablations,128,100,0,mse,202665052,0.6,0.6,0.6,1,6,true,0.0,0.0,0.0,full_01_ablations_mse_rep06,baseline,38.667170393445296,202665053
silu,1,mse,202665051,4,38.09579378609151,41,0.043881893157958984,01_ablations,128,100,0,mse,202665052,0.4,0.4,0.4,1,6,true,0.0,0.0,0.0,full_01_ablations_mse_rep06,baseline,38.09579378609151,202665053
silu,1,mse,202665051,4,40.198790884642385,42,0.07871413230895996,01_ablations,128,100,0,mse,202665052,0.4,0.4,0.4,1,6,true,0.0,0.0,0.0,full_01_ablations_mse_rep06,baseline,40.198790884642385,202665053
silu,1,mse,202665051,4,37.413511725028904,43,0.07476186752319336,01_ablations,128,100,0,mse,202665052,0.4,0.4,0.4,1,6,true,0.0,0.0,0.0,full_01_ablations_mse_rep06,baseline,37.413511725028904,202665053
silu,1,mse,202665051,4,39.3955765159061,44,0.04580211639404297,01_ablations,128,100,0,mse,202665052,0.4,0.4,0.4,1,6,true,0.0,0.0,0.0,full_01_ablations_mse_rep06,baseline,39.3955765159061,202665053
silu,1,mse,202665051,4,37.082367518375584,45,0.15390801429748535,01_ablations,128,100,0,mse,202665052,0.4,0.4,0.4,1,6,true,0.0,0.0,0.0,full_01_ablations_mse_rep06,baseline,37.082367518375584,202665053
silu,1,mse,202665051,4,38.889820160869206,46,0.08672308921813965,01_ablations,128,100,0,mse,202665052,0.4,0.4,0.4,1,6,true,0.0,0.0,0.0,full_01_ablations_mse_rep06,baseline,38.889820160869206,202665053
silu,1,mse,202665051,4,36.857625624000185,47,0.10890984535217285,01_ablations,128,100,0,mse,202665052,0.4,0.4,0.4,1,6,true,0.0,0.0,0.0,full_01_ablations_mse_rep06,baseline,36.857625624000185,202665053
silu,1,mse,202665051,4,38.32288315256552,48,0.1021418571472168,01_ablations,128,100,0,mse,202665052,0.4,0.4,0.4,1,6,true,0.0,0.0,0.0,full_01_ablations_mse_rep06,baseline,38.32288315256552,202665053
silu,1,mse,202665051,4,36.70546516018596,49,0.0427858829498291,01_ablations,128,100,0,mse,202665052,0.4,0.4,0.4,1,6,true,0.0,0.0,0.0,full_01_ablations_mse_rep06,baseline,36.70546516018596,202665053
silu,1,mse,202665051,4,37.976186362141945,50,0.18898296356201172,01_ablations,128,100,0,mse,202665052,0.4,0.4,0.4,1,6,true,0.0,0.0,0.0,full_01_ablations_mse_rep06,baseline,37.976186362141945,202665053
silu,1,mse,202665051,4,36.643168986923456,51,0.10725212097167969,01_ablations,128,100,0,mse,202665052,0.2,0.2,0.2,1,6,true,0.0,0.0,0.0,full_01_ablations_mse_rep06,baseline,36.643168986923456,202665053
silu,1,mse,202665051,4,37.48313667205491,52,0.37560510635375977,01_ablations,128,100,0,mse,202665052,0.2,0.2,0.2,1,6,true,0.0,0.0,0.0,full_01_ablations_mse_rep06,baseline,37.48313667205491,202665053
silu,1,mse,202665051,4,36.85770409151719,53,0.8636629581451416,01_ablations,128,100,0,mse,202665052,0.2,0.2,0.2,1,6,true,0.0,0.0,0.0,full_01_ablations_mse_rep06,baseline,36.85770409151719,202665053
silu,1,mse,202665051,4,36.79435321274311,54,0.06438899040222168,01_ablations,128,100,0,mse,202665052,0.2,0.2,0.2,1,6,true,0.0,0.0,0.0,full_01_ablations_mse_rep06,baseline,36.79435321274311,202665053
silu,1,mse,202665051,4,36.48917934850954,55,0.17705297470092773,01_ablations,128,100,0,mse,202665052,0.2,0.2,0.2,1,6,true,0.0,0.0,0.0,full_01_ablations_mse_rep06,baseline,36.48917934850954,202665053
silu,1,mse,202665051,4,36.44620867564875,56,0.1165320873260498,01_ablations,128,100,0,mse,202665052,0.2,0.2,0.2,1,6,true,0.0,0.0,0.0,full_01_ablations_mse_rep06,baseline,36.44620867564875,202665053
silu,1,mse,202665051,4,35.99042186173629,57,0.05122685432434082,01_ablations,128,100,0,mse,202665052,0.2,0.2,0.2,1,6,true,0.0,0.0,0.0,full_01_ablations_mse_rep06,baseline,35.99042186173629,202665053
silu,1,mse,202665051,4,35.99119674516705,58,0.09134101867675781,01_ablations,128,100,0,mse,202665052,0.2,0.2,0.2,1,6,true,0.0,0.0,0.0,full_01_ablations_mse_rep06,baseline,35.99119674516705,202665053
silu,1,mse,202665051,4,35.484324119417366,59,0.07046198844909668,01_ablations,128,100,0,mse,202665052,0.2,0.2,0.2,1,6,true,0.0,0.0,0.0,full_01_ablations_mse_rep06,baseline,35.484324119417366,202665053
silu,1,mse,202665051,4,35.60833351612089,60,0.029323101043701172,01_ablations,128,100,0,mse,202665052,0.2,0.2,0.2,1,6,true,0.0,0.0,0.0,full_01_ablations_mse_rep06,baseline,35.60833351612089,202665053
silu,1,mse,202665051,4,34.84942670119708,61,0.05701613426208496,01_ablations,128,100,0,mse,202665052,0.1,0.1,0.1,1,6,true,0.0,0.0,0.0,full_01_ablations_mse_rep06,baseline,34.84942670119708,202665053
silu,1,mse,202665051,4,35.53455389450804,62,0.04899191856384277,01_ablations,128,100,0,mse,202665052,0.1,0.1,0.1,1,6,true,0.0,0.0,0.0,full_01_ablations_mse_rep06,baseline,35.53455389450804,202665053
silu,1,mse,202665051,4,34.61464222092589,63,0.14752411842346191,01_ablations,128,100,0,mse,202665052,0.1,0.1,0.1,1,6,true,0.0,0.0,0.0,full_01_ablations_mse_rep06,baseline,34.61464222092589,202665053
silu,1,mse,202665051,4,35.35472238212385,64,0.10072112083435059,01_ablations,128,100,0,mse,202665052,0.1,0.1,0.1,1,6,true,0.0,0.0,0.0,full_01_ablations_mse_rep06,baseline,35.35472238212385,202665053
silu,1,mse,202665051,4,34.62480317550229,65,0.1280360221862793,01_ablations,128,100,0,mse,202665052,0.1,0.1,0.1,1,6,true,0.0,0.0,0.0,full_01_ablations_mse_rep06,baseline,34.62480317550229,202665053
silu,1,mse,202665051,4,34.39683949112769,66,0.08676815032958984,01_ablations,128,100,0,mse,202665052,0.1,0.1,0.1,1,6,true,0.0,0.0,0.0,full_01_ablations_mse_rep06,baseline,34.39683949112769,202665053
