activation,batch_size,candidate_name,data_seed,depth,display_loss,epoch,epoch_seconds,group,hidden_size,iterations,knn_k,loss_kind,model_seed,mu,mu_in,mu_ref,nr_scenarios,replicate,reset_optimizer_each_epoch,rho,rho_in,rho_ref,run_id,schedule_kind,training_loss,training_seed
silu,1,no_finetune,202695051,4,1666.8059539363314,1,73.44308114051819,01_ablations,128,100,0,dfl,202695052,1.0,1.0,1.0,1,9,true,0.0,0.0,0.0,full_01_ablations_no_finetune_rep09,no_finetune,1666.8059539363314,202695053
silu,1,no_finetune,202695051,4,998.341992856367,2,17.99415898323059,01_ablations,128,100,0,dfl,202695052,1.0,1.0,1.0,1,9,true,0.0,0.0,0.0,full_01_ablations_no_finetune_rep09,no_finetune,998.341992856367,202695053
silu,1,no_finetune,202695051,4,982.3055363472604,3,17.39203190803528,01_ablations,128,100,0,dfl,202695052,1.0,1.0,1.0,1,9,true,0.0,0.0,0.0,full_01_ablations_no_finetune_rep09,no_finetune,982.3055363472604,202695053
silu,1,no_finetune,202695051,4,979.80299470916,4,17.086002826690674,01_ablations,128,100,0,dfl,202695052,1.0,1.0,1.0,1,9,true,0.0,0.0,0.0,full_01_ablations_no_finetune_rep09,no_finetune,979.80299470916,202695053
silu,1,no_finetune,202695051,4,980.5046888815184,5,17.034927129745483,01_ablations,128,100,0,dfl,202695052,1.0,1.0,1.0,1,9,true,0.0,0.0,0.0,full_01_ablations_no_finetune_rep09,no_finetune,980.5046888815184,202695053
silu,1,no_finetune,202695051,4,975.7811237306851,6,16.830078125,01_ablations,128,100,0,dfl,202695052,1.0,1.0,1.0,1,9,true,0.0,0.0,0.0,full_01_ablations_no_finetune_rep09,no_finetune,975.7811237306851,202695053
silu,1,no_finetune,202695051,4,975.007625860782,7,17.831195831298828,01_ablations,128,100,0,dfl,202695052,1.0,1.0,1.0,1,9,true,0.0,0.0,0.0,full_01_ablations_no_finetune_rep09,no_finetune,975.007625860782,202695053
silu,1,no_finetune,202695051,4,974.5227411432596,8,16.792135000228882,01_ablations,128,100,0,dfl,202695052,1.0,1.0,1.0,1,9,true,0.0,0.0,0.0,full_01_ablations_no_finetune_rep09,no_finetune,974.5227411432596,202695053
silu,1,no_finetune,202695051,4,974.4495806414627,9,17.031776189804077,01_ablations,128,100,0,dfl,202695052,1.0,1.0,1.0,1,9,true,0.0,0.0,0.0,full_01_ablations_no_finetune_rep09,no_finetune,974.4495806414627,202695053
silu,1,no_finetune,202695051,4,974.8464295336108,10,17.152043104171753,01_ablations,128,100,0,dfl,202695052,1.0,1.0,1.0,1,9,true,0.0,0.0,0.0,full_01_ablations_no_finetune_rep09,no_finetune,974.8464295336108,202695053
silu,1,no_finetune,202695051,4,975.2132754254408,11,16.951645135879517,01_ablations,128,100,0,dfl,202695052,1.0,1.0,1.0,1,9,true,0.0,0.0,0.0,full_01_ablations_no_finetune_rep09,no_finetune,975.2132754254408,202695053
silu,1,no_finetune,202695051,4,975.2289066648175,12,16.864638090133667,01_ablations,128,100,0,dfl,202695052,1.0,1.0,1.0,1,9,true,0.0,0.0,0.0,full_01_ablations_no_finetune_rep09,no_finetune,975.2289066648175,202695053
silu,1,no_finetune,202695051,4,974.3676377380018,13,17.551289081573486,01_ablations,128,100,0,dfl,202695052,1.0,1.0,1.0,1,9,true,0.0,0.0,0.0,full_01_ablations_no_finetune_rep09,no_finetune,974.3676377380018,202695053
silu,1,no_finetune,202695051,4,973.5648390548122,14,17.697829008102417,01_ablations,128,100,0,dfl,202695052,1.0,1.0,1.0,1,9,true,0.0,0.0,0.0,full_01_ablations_no_finetune_rep09,no_finetune,973.5648390548122,202695053
silu,1,no_finetune,202695051,4,972.9138848045093,15,17.23336911201477,01_ablations,128,100,0,dfl,202695052,1.0,1.0,1.0,1,9,true,0.0,0.0,0.0,full_01_ablations_no_finetune_rep09,no_finetune,972.9138848045093,202695053
silu,1,no_finetune,202695051,4,972.3017965281973,16,17.203089952468872,01_ablations,128,100,0,dfl,202695052,1.0,1.0,1.0,1,9,true,0.0,0.0,0.0,full_01_ablations_no_finetune_rep09,no_finetune,972.3017965281973,202695053
silu,1,no_finetune,202695051,4,971.6160161848751,17,17.75618815422058,01_ablations,128,100,0,dfl,202695052,1.0,1.0,1.0,1,9,true,0.0,0.0,0.0,full_01_ablations_no_finetune_rep09,no_finetune,971.6160161848751,202695053
silu,1,no_finetune,202695051,4,971.0016222926382,18,17.321614980697632,01_ablations,128,100,0,dfl,202695052,1.0,1.0,1.0,1,9,true,0.0,0.0,0.0,full_01_ablations_no_finetune_rep09,no_finetune,971.0016222926382,202695053
silu,1,no_finetune,202695051,4,970.4891446241686,19,17.243000030517578,01_ablations,128,100,0,dfl,202695052,1.0,1.0,1.0,1,9,true,0.0,0.0,0.0,full_01_ablations_no_finetune_rep09,no_finetune,970.4891446241686,202695053
silu,1,no_finetune,202695051,4,970.246473304835,20,17.268028020858765,01_ablations,128,100,0,dfl,202695052,1.0,1.0,1.0,1,9,true,0.0,0.0,0.0,full_01_ablations_no_finetune_rep09,no_finetune,970.246473304835,202695053
silu,1,no_finetune,202695051,4,1047.0913887049942,21,16.828011989593506,01_ablations,128,100,0,dfl,202695052,0.8,0.8,0.8,1,9,true,0.0,0.0,0.0,full_01_ablations_no_finetune_rep09,no_finetune,1047.0913887049942,202695053
silu,1,no_finetune,202695051,4,1045.7483480645662,22,16.58638095855713,01_ablations,128,100,0,dfl,202695052,0.8,0.8,0.8,1,9,true,0.0,0.0,0.0,full_01_ablations_no_finetune_rep09,no_finetune,1045.7483480645662,202695053
silu,1,no_finetune,202695051,4,1039.984918567354,23,16.461354970932007,01_ablations,128,100,0,dfl,202695052,0.8,0.8,0.8,1,9,true,0.0,0.0,0.0,full_01_ablations_no_finetune_rep09,no_finetune,1039.984918567354,202695053
silu,1,no_finetune,202695051,4,1037.112186048374,24,16.59292197227478,01_ablations,128,100,0,dfl,202695052,0.8,0.8,0.8,1,9,true,0.0,0.0,0.0,full_01_ablations_no_finetune_rep09,no_finetune,1037.112186048374,202695053
silu,1,no_finetune,202695051,4,1044.275636608228,25,17.165052890777588,01_ablations,128,100,0,dfl,202695052,0.8,0.8,0.8,1,9,true,0.0,0.0,0.0,full_01_ablations_no_finetune_rep09,no_finetune,1044.275636608228,202695053
silu,1,no_finetune,202695051,4,1033.1523312359536,26,16.803330183029175,01_ablations,128,100,0,dfl,202695052,0.8,0.8,0.8,1,9,true,0.0,0.0,0.0,full_01_ablations_no_finetune_rep09,no_finetune,1033.1523312359536,202695053
silu,1,no_finetune,202695051,4,1031.2406477746565,27,17.348047018051147,01_ablations,128,100,0,dfl,202695052,0.8,0.8,0.8,1,9,true,0.0,0.0,0.0,full_01_ablations_no_finetune_rep09,no_finetune,1031.2406477746565,202695053
silu,1,no_finetune,202695051,4,1041.6202582630824,28,17.210368871688843,01_ablations,128,100,0,dfl,202695052,0.8,0.8,0.8,1,9,true,0.0,0.0,0.0,full_01_ablations_no_finetune_rep09,no_finetune,1041.6202582630824,202695053
silu,1,no_finetune,202695051,4,1035.0165348237422,29,16.837359189987183,01_ablations,128,100,0,dfl,202695052,0.8,0.8,0.8,1,9,true,0.0,0.0,0.0,full_01_ablations_no_finetune_rep09,no_finetune,1035.0165348237422,202695053
silu,1,no_finetune,202695051,4,1039.1614504709287,30,16.753461837768555,01_ablations,128,100,0,dfl,202695052,0.8,0.8,0.8,1,9,true,0.0,0.0,0.0,full_01_ablations_no_finetune_rep09,no_finetune,1039.1614504709287,202695053
silu,1,no_finetune,202695051,4,1085.0148769440043,31,16.64732003211975,01_ablations,128,100,0,dfl,202695052,0.6,0.6,0.6,1,9,true,0.0,0.0,0.0,full_01_ablations_no_finetune_rep09,no_finetune,1085.0148769440043,202695053
silu,1,no_finetune,202695051,4,1088.9305070845244,32,16.579426050186157,01_ablations,128,100,0,dfl,202695052,0.6,0.6,0.6,1,9,true,0.0,0.0,0.0,full_01_ablations_no_finetune_rep09,no_finetune,1088.9305070845244,202695053
silu,1,no_finetune,202695051,4,1087.2942944436543,33,16.32421898841858,01_ablations,128,100,0,dfl,202695052,0.6,0.6,0.6,1,9,true,0.0,0.0,0.0,full_01_ablations_no_finetune_rep09,no_finetune,1087.2942944436543,202695053
silu,1,no_finetune,202695051,4,1091.1853883509314,34,16.350705862045288,01_ablations,128,100,0,dfl,202695052,0.6,0.6,0.6,1,9,true,0.0,0.0,0.0,full_01_ablations_no_finetune_rep09,no_finetune,1091.1853883509314,202695053
silu,1,no_finetune,202695051,4,1096.0680622622413,35,16.48254084587097,01_ablations,128,100,0,dfl,202695052,0.6,0.6,0.6,1,9,true,0.0,0.0,0.0,full_01_ablations_no_finetune_rep09,no_finetune,1096.0680622622413,202695053
silu,1,no_finetune,202695051,4,1093.10453109347,36,16.250062942504883,01_ablations,128,100,0,dfl,202695052,0.6,0.6,0.6,1,9,true,0.0,0.0,0.0,full_01_ablations_no_finetune_rep09,no_finetune,1093.10453109347,202695053
silu,1,no_finetune,202695051,4,1095.357987250406,37,16.625575065612793,01_ablations,128,100,0,dfl,202695052,0.6,0.6,0.6,1,9,true,0.0,0.0,0.0,full_01_ablations_no_finetune_rep09,no_finetune,1095.357987250406,202695053
silu,1,no_finetune,202695051,4,1092.4557255083496,38,16.733572006225586,01_ablations,128,100,0,dfl,202695052,0.6,0.6,0.6,1,9,true,0.0,0.0,0.0,full_01_ablations_no_finetune_rep09,no_finetune,1092.4557255083496,202695053
silu,1,no_finetune,202695051,4,1090.5341393957785,39,16.493448972702026,01_ablations,128,100,0,dfl,202695052,0.6,0.6,0.6,1,9,true,0.0,0.0,0.0,full_01_ablations_no_finetune_rep09,no_finetune,1090.5341393957785,202695053
