activation,batch_size,candidate_name,data_seed,depth,display_loss,epoch,epoch_seconds,group,hidden_size,iterations,knn_k,loss_kind,model_seed,mu,mu_in,mu_ref,nr_scenarios,replicate,reset_optimizer_each_epoch,rho,rho_in,rho_ref,run_id,schedule_kind,training_loss,training_seed
silu,1,scenarios4,202655051,4,1798.206179248648,1,109.59627294540405,02_multi_scenario,128,100,0,dfl,202655052,1.0,1.0,1.0,4,5,true,0.0,0.0,0.0,full_02_multi_scenario_scenarios4_rep05,baseline,1798.206179248648,202655053
silu,1,scenarios4,202655051,4,979.0611441888196,2,42.80033206939697,02_multi_scenario,128,100,0,dfl,202655052,1.0,1.0,1.0,4,5,true,0.0,0.0,0.0,full_02_multi_scenario_scenarios4_rep05,baseline,979.0611441888196,202655053
silu,1,scenarios4,202655051,4,961.1044941787665,3,40.58895015716553,02_multi_scenario,128,100,0,dfl,202655052,1.0,1.0,1.0,4,5,true,0.0,0.0,0.0,full_02_multi_scenario_scenarios4_rep05,baseline,961.1044941787665,202655053
silu,1,scenarios4,202655051,4,955.7621402797065,4,43.0255401134491,02_multi_scenario,128,100,0,dfl,202655052,1.0,1.0,1.0,4,5,true,0.0,0.0,0.0,full_02_multi_scenario_scenarios4_rep05,baseline,955.7621402797065,202655053
silu,1,scenarios4,202655051,4,954.5169068366362,5,42.17973780632019,02_multi_scenario,128,100,0,dfl,202655052,1.0,1.0,1.0,4,5,true,0.0,0.0,0.0,full_02_multi_scenario_scenarios4_rep05,baseline,954.5169068366362,202655053
silu,1,scenarios4,202655051,4,952.5285123108915,6,42.698161125183105,02_multi_scenario,128,100,0,dfl,202655052,1.0,1.0,1.0,4,5,true,0.0,0.0,0.0,full_02_multi_scenario_scenarios4_rep05,baseline,952.5285123108915,202655053
silu,1,scenarios4,202655051,4,952.9415804607671,7,43.17476296424866,02_multi_scenario,128,100,0,dfl,202655052,1.0,1.0,1.0,4,5,true,0.0,0.0,0.0,full_02_multi_scenario_scenarios4_rep05,baseline,952.9415804607671,202655053
silu,1,scenarios4,202655051,4,955.5985162589606,8,43.173020124435425,02_multi_scenario,128,100,0,dfl,202655052,1.0,1.0,1.0,4,5,true,0.0,0.0,0.0,full_02_multi_scenario_scenarios4_rep05,baseline,955.5985162589606,202655053
silu,1,scenarios4,202655051,4,954.8676462658009,9,44.25304293632507,02_multi_scenario,128,100,0,dfl,202655052,1.0,1.0,1.0,4,5,true,0.0,0.0,0.0,full_02_multi_scenario_scenarios4_rep05,baseline,954.8676462658009,202655053
silu,1,scenarios4,202655051,4,955.7272716754405,10,43.41933989524841,02_multi_scenario,128,100,0,dfl,202655052,1.0,1.0,1.0,4,5,true,0.0,0.0,0.0,full_02_multi_scenario_scenarios4_rep05,baseline,955.7272716754405,202655053
silu,1,scenarios4,202655051,4,950.8846105290129,11,44.048182010650635,02_multi_scenario,128,100,0,dfl,202655052,1.0,1.0,1.0,4,5,true,0.0,0.0,0.0,full_02_multi_scenario_scenarios4_rep05,baseline,950.8846105290129,202655053
silu,1,scenarios4,202655051,4,955.1899882246964,12,44.96409893035889,02_multi_scenario,128,100,0,dfl,202655052,1.0,1.0,1.0,4,5,true,0.0,0.0,0.0,full_02_multi_scenario_scenarios4_rep05,baseline,955.1899882246964,202655053
silu,1,scenarios4,202655051,4,953.2293709543005,13,45.413097858428955,02_multi_scenario,128,100,0,dfl,202655052,1.0,1.0,1.0,4,5,true,0.0,0.0,0.0,full_02_multi_scenario_scenarios4_rep05,baseline,953.2293709543005,202655053
silu,1,scenarios4,202655051,4,952.8855027268685,14,47.29927396774292,02_multi_scenario,128,100,0,dfl,202655052,1.0,1.0,1.0,4,5,true,0.0,0.0,0.0,full_02_multi_scenario_scenarios4_rep05,baseline,952.8855027268685,202655053
silu,1,scenarios4,202655051,4,950.7936209466739,15,44.899343967437744,02_multi_scenario,128,100,0,dfl,202655052,1.0,1.0,1.0,4,5,true,0.0,0.0,0.0,full_02_multi_scenario_scenarios4_rep05,baseline,950.7936209466739,202655053
silu,1,scenarios4,202655051,4,953.603969608747,16,40.54195809364319,02_multi_scenario,128,100,0,dfl,202655052,1.0,1.0,1.0,4,5,true,0.0,0.0,0.0,full_02_multi_scenario_scenarios4_rep05,baseline,953.603969608747,202655053
silu,1,scenarios4,202655051,4,950.5523761127038,17,42.23390507698059,02_multi_scenario,128,100,0,dfl,202655052,1.0,1.0,1.0,4,5,true,0.0,0.0,0.0,full_02_multi_scenario_scenarios4_rep05,baseline,950.5523761127038,202655053
silu,1,scenarios4,202655051,4,951.9661405176704,18,43.32252311706543,02_multi_scenario,128,100,0,dfl,202655052,1.0,1.0,1.0,4,5,true,0.0,0.0,0.0,full_02_multi_scenario_scenarios4_rep05,baseline,951.9661405176704,202655053
silu,1,scenarios4,202655051,4,950.3795768471966,19,43.23180603981018,02_multi_scenario,128,100,0,dfl,202655052,1.0,1.0,1.0,4,5,true,0.0,0.0,0.0,full_02_multi_scenario_scenarios4_rep05,baseline,950.3795768471966,202655053
silu,1,scenarios4,202655051,4,952.866551835878,20,43.76087498664856,02_multi_scenario,128,100,0,dfl,202655052,1.0,1.0,1.0,4,5,true,0.0,0.0,0.0,full_02_multi_scenario_scenarios4_rep05,baseline,952.866551835878,202655053
silu,1,scenarios4,202655051,4,1028.9273011017215,21,42.81301808357239,02_multi_scenario,128,100,0,dfl,202655052,0.8,0.8,0.8,4,5,true,0.0,0.0,0.0,full_02_multi_scenario_scenarios4_rep05,baseline,1028.9273011017215,202655053
silu,1,scenarios4,202655051,4,1028.2319699251611,22,43.36744523048401,02_multi_scenario,128,100,0,dfl,202655052,0.8,0.8,0.8,4,5,true,0.0,0.0,0.0,full_02_multi_scenario_scenarios4_rep05,baseline,1028.2319699251611,202655053
silu,1,scenarios4,202655051,4,1029.9582791621572,23,44.24937391281128,02_multi_scenario,128,100,0,dfl,202655052,0.8,0.8,0.8,4,5,true,0.0,0.0,0.0,full_02_multi_scenario_scenarios4_rep05,baseline,1029.9582791621572,202655053
silu,1,scenarios4,202655051,4,1027.0262635971055,24,42.721500873565674,02_multi_scenario,128,100,0,dfl,202655052,0.8,0.8,0.8,4,5,true,0.0,0.0,0.0,full_02_multi_scenario_scenarios4_rep05,baseline,1027.0262635971055,202655053
silu,1,scenarios4,202655051,4,1029.8044422948374,25,44.79723286628723,02_multi_scenario,128,100,0,dfl,202655052,0.8,0.8,0.8,4,5,true,0.0,0.0,0.0,full_02_multi_scenario_scenarios4_rep05,baseline,1029.8044422948374,202655053
silu,1,scenarios4,202655051,4,1026.155760102564,26,43.5267231464386,02_multi_scenario,128,100,0,dfl,202655052,0.8,0.8,0.8,4,5,true,0.0,0.0,0.0,full_02_multi_scenario_scenarios4_rep05,baseline,1026.155760102564,202655053
silu,1,scenarios4,202655051,4,1028.0539043812328,27,44.084073066711426,02_multi_scenario,128,100,0,dfl,202655052,0.8,0.8,0.8,4,5,true,0.0,0.0,0.0,full_02_multi_scenario_scenarios4_rep05,baseline,1028.0539043812328,202655053
silu,1,scenarios4,202655051,4,1027.6873547653636,28,39.78257489204407,02_multi_scenario,128,100,0,dfl,202655052,0.8,0.8,0.8,4,5,true,0.0,0.0,0.0,full_02_multi_scenario_scenarios4_rep05,baseline,1027.6873547653636,202655053
silu,1,scenarios4,202655051,4,1027.2883447596387,29,41.01419997215271,02_multi_scenario,128,100,0,dfl,202655052,0.8,0.8,0.8,4,5,true,0.0,0.0,0.0,full_02_multi_scenario_scenarios4_rep05,baseline,1027.2883447596387,202655053
silu,1,scenarios4,202655051,4,1026.3442498202755,30,42.6446590423584,02_multi_scenario,128,100,0,dfl,202655052,0.8,0.8,0.8,4,5,true,0.0,0.0,0.0,full_02_multi_scenario_scenarios4_rep05,baseline,1026.3442498202755,202655053
silu,1,scenarios4,202655051,4,1084.7294172916033,31,41.55924201011658,02_multi_scenario,128,100,0,dfl,202655052,0.6,0.6,0.6,4,5,true,0.0,0.0,0.0,full_02_multi_scenario_scenarios4_rep05,baseline,1084.7294172916033,202655053
silu,1,scenarios4,202655051,4,1082.081840855759,32,43.90984916687012,02_multi_scenario,128,100,0,dfl,202655052,0.6,0.6,0.6,4,5,true,0.0,0.0,0.0,full_02_multi_scenario_scenarios4_rep05,baseline,1082.081840855759,202655053
silu,1,scenarios4,202655051,4,1083.1561004718365,33,43.65019702911377,02_multi_scenario,128,100,0,dfl,202655052,0.6,0.6,0.6,4,5,true,0.0,0.0,0.0,full_02_multi_scenario_scenarios4_rep05,baseline,1083.1561004718365,202655053
silu,1,scenarios4,202655051,4,1083.330157808751,34,42.61819005012512,02_multi_scenario,128,100,0,dfl,202655052,0.6,0.6,0.6,4,5,true,0.0,0.0,0.0,full_02_multi_scenario_scenarios4_rep05,baseline,1083.330157808751,202655053
silu,1,scenarios4,202655051,4,1080.5882709445486,35,44.26664614677429,02_multi_scenario,128,100,0,dfl,202655052,0.6,0.6,0.6,4,5,true,0.0,0.0,0.0,full_02_multi_scenario_scenarios4_rep05,baseline,1080.5882709445486,202655053
silu,1,scenarios4,202655051,4,1080.1697227028053,36,50.46279501914978,02_multi_scenario,128,100,0,dfl,202655052,0.6,0.6,0.6,4,5,true,0.0,0.0,0.0,full_02_multi_scenario_scenarios4_rep05,baseline,1080.1697227028053,202655053
silu,1,scenarios4,202655051,4,1081.5596112359483,37,47.415700912475586,02_multi_scenario,128,100,0,dfl,202655052,0.6,0.6,0.6,4,5,true,0.0,0.0,0.0,full_02_multi_scenario_scenarios4_rep05,baseline,1081.5596112359483,202655053
silu,1,scenarios4,202655051,4,1078.5922979889035,38,49.463690996170044,02_multi_scenario,128,100,0,dfl,202655052,0.6,0.6,0.6,4,5,true,0.0,0.0,0.0,full_02_multi_scenario_scenarios4_rep05,baseline,1078.5922979889035,202655053
silu,1,scenarios4,202655051,4,1079.3341583815895,39,51.43513488769531,02_multi_scenario,128,100,0,dfl,202655052,0.6,0.6,0.6,4,5,true,0.0,0.0,0.0,full_02_multi_scenario_scenarios4_rep05,baseline,1079.3341583815895,202655053
silu,1,scenarios4,202655051,4,1079.1031364590478,40,50.37456202507019,02_multi_scenario,128,100,0,dfl,202655052,0.6,0.6,0.6,4,5,true,0.0,0.0,0.0,full_02_multi_scenario_scenarios4_rep05,baseline,1079.1031364590478,202655053
silu,1,scenarios4,202655051,4,1108.0703866360375,41,49.3008770942688,02_multi_scenario,128,100,0,dfl,202655052,0.4,0.4,0.4,4,5,true,0.0,0.0,0.0,full_02_multi_scenario_scenarios4_rep05,baseline,1108.0703866360375,202655053
