activation,batch_size,candidate_name,data_seed,depth,display_loss,epoch,epoch_seconds,group,hidden_size,iterations,knn_k,loss_kind,model_seed,mu,mu_in,mu_ref,nr_scenarios,replicate,reset_optimizer_each_epoch,rho,rho_in,rho_ref,run_id,schedule_kind,training_loss,training_seed
silu,1,rho_0p001,202645051,4,1882.3339626557845,1,87.92371106147766,03_quadratic_smoothing,128,100,0,dfl,202645052,1.0,1.0,1.0,1,4,true,0.001,0.001,0.001,full_03_quadratic_smoothing_rho_0p001_rep04,baseline,1882.3339626557845,202645053
silu,1,rho_0p001,202645051,4,1055.840951760162,2,18.306769132614136,03_quadratic_smoothing,128,100,0,dfl,202645052,1.0,1.0,1.0,1,4,true,0.001,0.001,0.001,full_03_quadratic_smoothing_rho_0p001_rep04,baseline,1055.840951760162,202645053
silu,1,rho_0p001,202645051,4,1042.8443859958136,3,20.517098903656006,03_quadratic_smoothing,128,100,0,dfl,202645052,1.0,1.0,1.0,1,4,true,0.001,0.001,0.001,full_03_quadratic_smoothing_rho_0p001_rep04,baseline,1042.8443859958136,202645053
silu,1,rho_0p001,202645051,4,1037.80785186131,4,20.31933093070984,03_quadratic_smoothing,128,100,0,dfl,202645052,1.0,1.0,1.0,1,4,true,0.001,0.001,0.001,full_03_quadratic_smoothing_rho_0p001_rep04,baseline,1037.80785186131,202645053
silu,1,rho_0p001,202645051,4,1047.6212117450611,5,20.432281970977783,03_quadratic_smoothing,128,100,0,dfl,202645052,1.0,1.0,1.0,1,4,true,0.001,0.001,0.001,full_03_quadratic_smoothing_rho_0p001_rep04,baseline,1047.6212117450611,202645053
silu,1,rho_0p001,202645051,4,1046.0409154563035,6,28.680436849594116,03_quadratic_smoothing,128,100,0,dfl,202645052,1.0,1.0,1.0,1,4,true,0.001,0.001,0.001,full_03_quadratic_smoothing_rho_0p001_rep04,baseline,1046.0409154563035,202645053
silu,1,rho_0p001,202645051,4,1045.1263230572843,7,31.609199047088623,03_quadratic_smoothing,128,100,0,dfl,202645052,1.0,1.0,1.0,1,4,true,0.001,0.001,0.001,full_03_quadratic_smoothing_rho_0p001_rep04,baseline,1045.1263230572843,202645053
silu,1,rho_0p001,202645051,4,1044.229949732237,8,32.01917600631714,03_quadratic_smoothing,128,100,0,dfl,202645052,1.0,1.0,1.0,1,4,true,0.001,0.001,0.001,full_03_quadratic_smoothing_rho_0p001_rep04,baseline,1044.229949732237,202645053
silu,1,rho_0p001,202645051,4,1043.4702422875216,9,31.06387996673584,03_quadratic_smoothing,128,100,0,dfl,202645052,1.0,1.0,1.0,1,4,true,0.001,0.001,0.001,full_03_quadratic_smoothing_rho_0p001_rep04,baseline,1043.4702422875216,202645053
silu,1,rho_0p001,202645051,4,1042.9235731079614,10,31.76150107383728,03_quadratic_smoothing,128,100,0,dfl,202645052,1.0,1.0,1.0,1,4,true,0.001,0.001,0.001,full_03_quadratic_smoothing_rho_0p001_rep04,baseline,1042.9235731079614,202645053
