activation,batch_size,candidate_name,data_seed,depth,display_loss,epoch,epoch_seconds,group,hidden_size,iterations,knn_k,loss_kind,model_seed,mu,mu_in,mu_ref,nr_scenarios,replicate,reset_optimizer_each_epoch,rho,rho_in,rho_ref,run_id,schedule_kind,training_loss,training_seed
silu,1,k10,202655051,4,1678.768755546373,1,156.0420160293579,05_knn_equilibration,128,100,10,dfl,202655052,1.0,1.0,1.0,1,5,true,0.0,0.0,0.0,full_05_knn_equilibration_k10_rep05,baseline,1678.768755546373,202655053
silu,1,k10,202655051,4,950.0623470043664,2,102.45121884346008,05_knn_equilibration,128,100,10,dfl,202655052,1.0,1.0,1.0,1,5,true,0.0,0.0,0.0,full_05_knn_equilibration_k10_rep05,baseline,950.0623470043664,202655053
silu,1,k10,202655051,4,948.9296175757173,3,99.36135697364807,05_knn_equilibration,128,100,10,dfl,202655052,1.0,1.0,1.0,1,5,true,0.0,0.0,0.0,full_05_knn_equilibration_k10_rep05,baseline,948.9296175757173,202655053
silu,1,k10,202655051,4,949.6674282350407,4,100.02025699615479,05_knn_equilibration,128,100,10,dfl,202655052,1.0,1.0,1.0,1,5,true,0.0,0.0,0.0,full_05_knn_equilibration_k10_rep05,baseline,949.6674282350407,202655053
silu,1,k10,202655051,4,950.1817462282596,5,99.81149196624756,05_knn_equilibration,128,100,10,dfl,202655052,1.0,1.0,1.0,1,5,true,0.0,0.0,0.0,full_05_knn_equilibration_k10_rep05,baseline,950.1817462282596,202655053
silu,1,k10,202655051,4,949.0921805268017,6,101.81550192832947,05_knn_equilibration,128,100,10,dfl,202655052,1.0,1.0,1.0,1,5,true,0.0,0.0,0.0,full_05_knn_equilibration_k10_rep05,baseline,949.0921805268017,202655053
silu,1,k10,202655051,4,949.4964771248165,7,104.48028707504272,05_knn_equilibration,128,100,10,dfl,202655052,1.0,1.0,1.0,1,5,true,0.0,0.0,0.0,full_05_knn_equilibration_k10_rep05,baseline,949.4964771248165,202655053
silu,1,k10,202655051,4,948.4576924723889,8,102.21275496482849,05_knn_equilibration,128,100,10,dfl,202655052,1.0,1.0,1.0,1,5,true,0.0,0.0,0.0,full_05_knn_equilibration_k10_rep05,baseline,948.4576924723889,202655053
silu,1,k10,202655051,4,948.9324762930129,9,100.87652897834778,05_knn_equilibration,128,100,10,dfl,202655052,1.0,1.0,1.0,1,5,true,0.0,0.0,0.0,full_05_knn_equilibration_k10_rep05,baseline,948.9324762930129,202655053
silu,1,k10,202655051,4,948.024602874035,10,102.8943600654602,05_knn_equilibration,128,100,10,dfl,202655052,1.0,1.0,1.0,1,5,true,0.0,0.0,0.0,full_05_knn_equilibration_k10_rep05,baseline,948.024602874035,202655053
