activation,batch_size,candidate_name,data_seed,depth,error,final_training_loss,finished_at,group,hidden_size,knn_k,learning_rate,loss_kind,mean_test_optimal_value,mean_test_policy_value,mean_test_regret,mean_test_relative_regret,model_seed,nr_scenarios,optimality_gap_percent,replicate,reset_optimizer_each_epoch,rho,run_id,schedule_kind,started_at,status,test_policy_eval_seconds,test_sample_count,test_seed,total_epochs,training_seed
silu,1,rho_0p0001,202615051,4,,950.3122950357877,1777962567241,03_quadratic_smoothing,128,0,0.001,dfl,805.7162362224146,853.6985063689303,47.98227014651592,0.056917998033448554,202615052,1,5.691799803344855,1,true,0.0001,full_03_quadratic_smoothing_rho_0p0001_rep01,baseline,1777959399159,ok,93.505442,30.0,1,130,202615053
silu,1,rho_0p0001,202625051,4,,879.6237452036886,1777962742904,03_quadratic_smoothing,128,0,0.001,dfl,805.7162362224146,889.7250413465814,84.00880512416688,0.09747871606429581,202625052,1,9.74787160642958,2,true,0.0001,full_03_quadratic_smoothing_rho_0p0001_rep02,baseline,1777959499396,ok,95.925262125,30.0,1,130,202625053
silu,1,rho_0p0001,202635051,4,,912.2348353081156,1777963365040,03_quadratic_smoothing,128,0,0.001,dfl,805.7162362224146,884.9518460904225,79.235609868008,0.09566623942852927,202635052,1,9.566623942852926,3,true,0.0001,full_03_quadratic_smoothing_rho_0p0001_rep03,baseline,1777960112893,ok,94.366593042,30.0,1,130,202635053
silu,1,rho_0p0001,202645051,4,,937.2046577832998,1777964027578,03_quadratic_smoothing,128,0,0.001,dfl,805.7162362224146,848.5193268773271,42.80309065491269,0.04916169255586663,202645052,1,4.916169255586663,4,true,0.0001,full_03_quadratic_smoothing_rho_0p0001_rep04,baseline,1777960148442,ok,92.836339333,30.0,1,130,202645053
silu,1,rho_0p0001,202655051,4,,897.9818919436397,1777964548755,03_quadratic_smoothing,128,0,0.001,dfl,805.7162362224146,841.0959863578045,35.37975013538986,0.042792717754272167,202655052,1,4.279271775427216,5,true,0.0001,full_03_quadratic_smoothing_rho_0p0001_rep05,baseline,1777960635087,ok,89.615359625,30.0,1,130,202655053
silu,1,rho_0p0003,202615051,4,,972.9647619805478,1777964305053,03_quadratic_smoothing,128,0,0.001,dfl,805.7162362224146,864.954562900037,59.23832667762254,0.0687758447885665,202615052,1,6.877584478856651,1,true,0.0003,full_03_quadratic_smoothing_rho_0p0003_rep01,baseline,1777961184813,ok,93.709065833,30.0,1,130,202615053
silu,1,rho_0p0003,202625051,4,,898.6549343712752,1777966584734,03_quadratic_smoothing,128,0,0.001,dfl,805.7162362224146,845.3461617270644,39.629925504649904,0.04659830967880145,202625052,1,4.659830967880145,2,true,0.0003,full_03_quadratic_smoothing_rho_0p0003_rep02,baseline,1777962610906,ok,79.897906292,30.0,1,130,202625053
silu,1,rho_0p0003,202635051,4,,942.2663105379117,1777966438770,03_quadratic_smoothing,128,0,0.001,dfl,805.7162362224146,863.2671440933132,57.550907870898556,0.06968021641063894,202635052,1,6.968021641063895,3,true,0.0003,full_03_quadratic_smoothing_rho_0p0003_rep03,baseline,1777962788861,ok,79.317432375,30.0,1,130,202635053
silu,1,rho_0p0003,202645051,4,,964.9282364576579,1777966063109,03_quadratic_smoothing,128,0,0.001,dfl,805.7162362224146,848.6141864535549,42.897950231140406,0.050749569095405525,202645052,1,5.0749569095405525,4,true,0.0003,full_03_quadratic_smoothing_rho_0p0003_rep04,baseline,1777962982625,ok,84.061157667,30.0,1,130,202645053
silu,1,rho_0p0003,202655051,4,,930.9896596468712,1777966779861,03_quadratic_smoothing,128,0,0.001,dfl,805.7162362224146,859.5457787854333,53.82954256301878,0.06754439418330113,202655052,1,6.754439418330113,5,true,0.0003,full_03_quadratic_smoothing_rho_0p0003_rep05,baseline,1777963408687,ok,79.867502416,30.0,1,130,202655053
silu,1,rho_0p001,202615051,4,,1054.5543200115765,1777966961538,03_quadratic_smoothing,128,0,0.001,dfl,805.7162362224146,923.0079718852473,117.29173566283302,0.14307521045629648,202615052,1,14.307521045629649,1,true,0.001,full_03_quadratic_smoothing_rho_0p001_rep01,baseline,1777963536488,ok,80.839693083,30.0,1,130,202615053
silu,1,rho_0p001,202625051,4,,973.7486412533865,1777966932672,03_quadratic_smoothing,128,0,0.001,dfl,805.7162362224146,954.0977044390269,148.38146821661226,0.17837431023100994,202625052,1,17.837431023100994,2,true,0.001,full_03_quadratic_smoothing_rho_0p001_rep02,baseline,1777963589949,ok,79.750100916,30.0,1,130,202625053
