activation,batch_size,candidate_name,checkpoint_interval,data_seed,depth,group,hidden_size,knn_k,learning_rate,loss_kind,model_seed,mu_in_preview,mu_ref_preview,nr_scenarios,replicate,reset_optimizer_each_epoch,rho,rho_in_preview,rho_ref_preview,run_id,run_rel_dir,schedule_kind,stage_epochs,test_seed,total_epochs,training_contexts,training_seed
silu,1,pure_rho_0p0003,10,202615051,4,04_pure_quadratic,128,0,0.001,dfl,202615052,0.0|0.0|0.0|0.0|0.0|...|0.0,0.0|0.0|0.0|0.0|0.0|...|0.0,1,1,true,0.0003,0.0003|0.0003|0.0003|0.0003|0.0003|...|0.0003,0.0003|0.0003|0.0003|0.0003|0.0003|...|0.0003,full_04_pure_quadratic_pure_rho_0p0003_rep01,full/04_pure_quadratic/pure_rho_0p0003/rep01,pure_rho,20|10|10|10|10|10|10|10|10|10|10|10,1,130,100,202615053
silu,1,pure_rho_0p0003,10,202625051,4,04_pure_quadratic,128,0,0.001,dfl,202625052,0.0|0.0|0.0|0.0|0.0|...|0.0,0.0|0.0|0.0|0.0|0.0|...|0.0,1,2,true,0.0003,0.0003|0.0003|0.0003|0.0003|0.0003|...|0.0003,0.0003|0.0003|0.0003|0.0003|0.0003|...|0.0003,full_04_pure_quadratic_pure_rho_0p0003_rep02,full/04_pure_quadratic/pure_rho_0p0003/rep02,pure_rho,20|10|10|10|10|10|10|10|10|10|10|10,1,130,100,202625053
silu,1,pure_rho_0p0003,10,202635051,4,04_pure_quadratic,128,0,0.001,dfl,202635052,0.0|0.0|0.0|0.0|0.0|...|0.0,0.0|0.0|0.0|0.0|0.0|...|0.0,1,3,true,0.0003,0.0003|0.0003|0.0003|0.0003|0.0003|...|0.0003,0.0003|0.0003|0.0003|0.0003|0.0003|...|0.0003,full_04_pure_quadratic_pure_rho_0p0003_rep03,full/04_pure_quadratic/pure_rho_0p0003/rep03,pure_rho,20|10|10|10|10|10|10|10|10|10|10|10,1,130,100,202635053
silu,1,pure_rho_0p0003,10,202645051,4,04_pure_quadratic,128,0,0.001,dfl,202645052,0.0|0.0|0.0|0.0|0.0|...|0.0,0.0|0.0|0.0|0.0|0.0|...|0.0,1,4,true,0.0003,0.0003|0.0003|0.0003|0.0003|0.0003|...|0.0003,0.0003|0.0003|0.0003|0.0003|0.0003|...|0.0003,full_04_pure_quadratic_pure_rho_0p0003_rep04,full/04_pure_quadratic/pure_rho_0p0003/rep04,pure_rho,20|10|10|10|10|10|10|10|10|10|10|10,1,130,100,202645053
silu,1,pure_rho_0p0003,10,202655051,4,04_pure_quadratic,128,0,0.001,dfl,202655052,0.0|0.0|0.0|0.0|0.0|...|0.0,0.0|0.0|0.0|0.0|0.0|...|0.0,1,5,true,0.0003,0.0003|0.0003|0.0003|0.0003|0.0003|...|0.0003,0.0003|0.0003|0.0003|0.0003|0.0003|...|0.0003,full_04_pure_quadratic_pure_rho_0p0003_rep05,full/04_pure_quadratic/pure_rho_0p0003/rep05,pure_rho,20|10|10|10|10|10|10|10|10|10|10|10,1,130,100,202655053
silu,1,pure_rho_0p001,10,202615051,4,04_pure_quadratic,128,0,0.001,dfl,202615052,0.0|0.0|0.0|0.0|0.0|...|0.0,0.0|0.0|0.0|0.0|0.0|...|0.0,1,1,true,0.001,0.001|0.001|0.001|0.001|0.001|...|0.001,0.001|0.001|0.001|0.001|0.001|...|0.001,full_04_pure_quadratic_pure_rho_0p001_rep01,full/04_pure_quadratic/pure_rho_0p001/rep01,pure_rho,20|10|10|10|10|10|10|10|10|10|10|10,1,130,100,202615053
silu,1,pure_rho_0p001,10,202625051,4,04_pure_quadratic,128,0,0.001,dfl,202625052,0.0|0.0|0.0|0.0|0.0|...|0.0,0.0|0.0|0.0|0.0|0.0|...|0.0,1,2,true,0.001,0.001|0.001|0.001|0.001|0.001|...|0.001,0.001|0.001|0.001|0.001|0.001|...|0.001,full_04_pure_quadratic_pure_rho_0p001_rep02,full/04_pure_quadratic/pure_rho_0p001/rep02,pure_rho,20|10|10|10|10|10|10|10|10|10|10|10,1,130,100,202625053
silu,1,pure_rho_0p001,10,202635051,4,04_pure_quadratic,128,0,0.001,dfl,202635052,0.0|0.0|0.0|0.0|0.0|...|0.0,0.0|0.0|0.0|0.0|0.0|...|0.0,1,3,true,0.001,0.001|0.001|0.001|0.001|0.001|...|0.001,0.001|0.001|0.001|0.001|0.001|...|0.001,full_04_pure_quadratic_pure_rho_0p001_rep03,full/04_pure_quadratic/pure_rho_0p001/rep03,pure_rho,20|10|10|10|10|10|10|10|10|10|10|10,1,130,100,202635053
silu,1,pure_rho_0p001,10,202645051,4,04_pure_quadratic,128,0,0.001,dfl,202645052,0.0|0.0|0.0|0.0|0.0|...|0.0,0.0|0.0|0.0|0.0|0.0|...|0.0,1,4,true,0.001,0.001|0.001|0.001|0.001|0.001|...|0.001,0.001|0.001|0.001|0.001|0.001|...|0.001,full_04_pure_quadratic_pure_rho_0p001_rep04,full/04_pure_quadratic/pure_rho_0p001/rep04,pure_rho,20|10|10|10|10|10|10|10|10|10|10|10,1,130,100,202645053
silu,1,pure_rho_0p001,10,202655051,4,04_pure_quadratic,128,0,0.001,dfl,202655052,0.0|0.0|0.0|0.0|0.0|...|0.0,0.0|0.0|0.0|0.0|0.0|...|0.0,1,5,true,0.001,0.001|0.001|0.001|0.001|0.001|...|0.001,0.001|0.001|0.001|0.001|0.001|...|0.001,full_04_pure_quadratic_pure_rho_0p001_rep05,full/04_pure_quadratic/pure_rho_0p001/rep05,pure_rho,20|10|10|10|10|10|10|10|10|10|10|10,1,130,100,202655053
silu,1,pure_rho_0p003,10,202615051,4,04_pure_quadratic,128,0,0.001,dfl,202615052,0.0|0.0|0.0|0.0|0.0|...|0.0,0.0|0.0|0.0|0.0|0.0|...|0.0,1,1,true,0.003,0.003|0.003|0.003|0.003|0.003|...|0.003,0.003|0.003|0.003|0.003|0.003|...|0.003,full_04_pure_quadratic_pure_rho_0p003_rep01,full/04_pure_quadratic/pure_rho_0p003/rep01,pure_rho,20|10|10|10|10|10|10|10|10|10|10|10,1,130,100,202615053
silu,1,pure_rho_0p003,10,202625051,4,04_pure_quadratic,128,0,0.001,dfl,202625052,0.0|0.0|0.0|0.0|0.0|...|0.0,0.0|0.0|0.0|0.0|0.0|...|0.0,1,2,true,0.003,0.003|0.003|0.003|0.003|0.003|...|0.003,0.003|0.003|0.003|0.003|0.003|...|0.003,full_04_pure_quadratic_pure_rho_0p003_rep02,full/04_pure_quadratic/pure_rho_0p003/rep02,pure_rho,20|10|10|10|10|10|10|10|10|10|10|10,1,130,100,202625053
silu,1,pure_rho_0p003,10,202635051,4,04_pure_quadratic,128,0,0.001,dfl,202635052,0.0|0.0|0.0|0.0|0.0|...|0.0,0.0|0.0|0.0|0.0|0.0|...|0.0,1,3,true,0.003,0.003|0.003|0.003|0.003|0.003|...|0.003,0.003|0.003|0.003|0.003|0.003|...|0.003,full_04_pure_quadratic_pure_rho_0p003_rep03,full/04_pure_quadratic/pure_rho_0p003/rep03,pure_rho,20|10|10|10|10|10|10|10|10|10|10|10,1,130,100,202635053
silu,1,pure_rho_0p003,10,202645051,4,04_pure_quadratic,128,0,0.001,dfl,202645052,0.0|0.0|0.0|0.0|0.0|...|0.0,0.0|0.0|0.0|0.0|0.0|...|0.0,1,4,true,0.003,0.003|0.003|0.003|0.003|0.003|...|0.003,0.003|0.003|0.003|0.003|0.003|...|0.003,full_04_pure_quadratic_pure_rho_0p003_rep04,full/04_pure_quadratic/pure_rho_0p003/rep04,pure_rho,20|10|10|10|10|10|10|10|10|10|10|10,1,130,100,202645053
silu,1,pure_rho_0p003,10,202655051,4,04_pure_quadratic,128,0,0.001,dfl,202655052,0.0|0.0|0.0|0.0|0.0|...|0.0,0.0|0.0|0.0|0.0|0.0|...|0.0,1,5,true,0.003,0.003|0.003|0.003|0.003|0.003|...|0.003,0.003|0.003|0.003|0.003|0.003|...|0.003,full_04_pure_quadratic_pure_rho_0p003_rep05,full/04_pure_quadratic/pure_rho_0p003/rep05,pure_rho,20|10|10|10|10|10|10|10|10|10|10|10,1,130,100,202655053
silu,1,pure_rho_0p01,10,202615051,4,04_pure_quadratic,128,0,0.001,dfl,202615052,0.0|0.0|0.0|0.0|0.0|...|0.0,0.0|0.0|0.0|0.0|0.0|...|0.0,1,1,true,0.01,0.01|0.01|0.01|0.01|0.01|...|0.01,0.01|0.01|0.01|0.01|0.01|...|0.01,full_04_pure_quadratic_pure_rho_0p01_rep01,full/04_pure_quadratic/pure_rho_0p01/rep01,pure_rho,20|10|10|10|10|10|10|10|10|10|10|10,1,130,100,202615053
silu,1,pure_rho_0p01,10,202625051,4,04_pure_quadratic,128,0,0.001,dfl,202625052,0.0|0.0|0.0|0.0|0.0|...|0.0,0.0|0.0|0.0|0.0|0.0|...|0.0,1,2,true,0.01,0.01|0.01|0.01|0.01|0.01|...|0.01,0.01|0.01|0.01|0.01|0.01|...|0.01,full_04_pure_quadratic_pure_rho_0p01_rep02,full/04_pure_quadratic/pure_rho_0p01/rep02,pure_rho,20|10|10|10|10|10|10|10|10|10|10|10,1,130,100,202625053
silu,1,pure_rho_0p01,10,202635051,4,04_pure_quadratic,128,0,0.001,dfl,202635052,0.0|0.0|0.0|0.0|0.0|...|0.0,0.0|0.0|0.0|0.0|0.0|...|0.0,1,3,true,0.01,0.01|0.01|0.01|0.01|0.01|...|0.01,0.01|0.01|0.01|0.01|0.01|...|0.01,full_04_pure_quadratic_pure_rho_0p01_rep03,full/04_pure_quadratic/pure_rho_0p01/rep03,pure_rho,20|10|10|10|10|10|10|10|10|10|10|10,1,130,100,202635053
silu,1,pure_rho_0p01,10,202645051,4,04_pure_quadratic,128,0,0.001,dfl,202645052,0.0|0.0|0.0|0.0|0.0|...|0.0,0.0|0.0|0.0|0.0|0.0|...|0.0,1,4,true,0.01,0.01|0.01|0.01|0.01|0.01|...|0.01,0.01|0.01|0.01|0.01|0.01|...|0.01,full_04_pure_quadratic_pure_rho_0p01_rep04,full/04_pure_quadratic/pure_rho_0p01/rep04,pure_rho,20|10|10|10|10|10|10|10|10|10|10|10,1,130,100,202645053
silu,1,pure_rho_0p01,10,202655051,4,04_pure_quadratic,128,0,0.001,dfl,202655052,0.0|0.0|0.0|0.0|0.0|...|0.0,0.0|0.0|0.0|0.0|0.0|...|0.0,1,5,true,0.01,0.01|0.01|0.01|0.01|0.01|...|0.01,0.01|0.01|0.01|0.01|0.01|...|0.01,full_04_pure_quadratic_pure_rho_0p01_rep05,full/04_pure_quadratic/pure_rho_0p01/rep05,pure_rho,20|10|10|10|10|10|10|10|10|10|10|10,1,130,100,202655053
silu,1,pure_rho_0p03,10,202615051,4,04_pure_quadratic,128,0,0.001,dfl,202615052,0.0|0.0|0.0|0.0|0.0|...|0.0,0.0|0.0|0.0|0.0|0.0|...|0.0,1,1,true,0.03,0.03|0.03|0.03|0.03|0.03|...|0.03,0.03|0.03|0.03|0.03|0.03|...|0.03,full_04_pure_quadratic_pure_rho_0p03_rep01,full/04_pure_quadratic/pure_rho_0p03/rep01,pure_rho,20|10|10|10|10|10|10|10|10|10|10|10,1,130,100,202615053
silu,1,pure_rho_0p03,10,202625051,4,04_pure_quadratic,128,0,0.001,dfl,202625052,0.0|0.0|0.0|0.0|0.0|...|0.0,0.0|0.0|0.0|0.0|0.0|...|0.0,1,2,true,0.03,0.03|0.03|0.03|0.03|0.03|...|0.03,0.03|0.03|0.03|0.03|0.03|...|0.03,full_04_pure_quadratic_pure_rho_0p03_rep02,full/04_pure_quadratic/pure_rho_0p03/rep02,pure_rho,20|10|10|10|10|10|10|10|10|10|10|10,1,130,100,202625053
silu,1,pure_rho_0p03,10,202635051,4,04_pure_quadratic,128,0,0.001,dfl,202635052,0.0|0.0|0.0|0.0|0.0|...|0.0,0.0|0.0|0.0|0.0|0.0|...|0.0,1,3,true,0.03,0.03|0.03|0.03|0.03|0.03|...|0.03,0.03|0.03|0.03|0.03|0.03|...|0.03,full_04_pure_quadratic_pure_rho_0p03_rep03,full/04_pure_quadratic/pure_rho_0p03/rep03,pure_rho,20|10|10|10|10|10|10|10|10|10|10|10,1,130,100,202635053
silu,1,pure_rho_0p03,10,202645051,4,04_pure_quadratic,128,0,0.001,dfl,202645052,0.0|0.0|0.0|0.0|0.0|...|0.0,0.0|0.0|0.0|0.0|0.0|...|0.0,1,4,true,0.03,0.03|0.03|0.03|0.03|0.03|...|0.03,0.03|0.03|0.03|0.03|0.03|...|0.03,full_04_pure_quadratic_pure_rho_0p03_rep04,full/04_pure_quadratic/pure_rho_0p03/rep04,pure_rho,20|10|10|10|10|10|10|10|10|10|10|10,1,130,100,202645053
silu,1,pure_rho_0p03,10,202655051,4,04_pure_quadratic,128,0,0.001,dfl,202655052,0.0|0.0|0.0|0.0|0.0|...|0.0,0.0|0.0|0.0|0.0|0.0|...|0.0,1,5,true,0.03,0.03|0.03|0.03|0.03|0.03|...|0.03,0.03|0.03|0.03|0.03|0.03|...|0.03,full_04_pure_quadratic_pure_rho_0p03_rep05,full/04_pure_quadratic/pure_rho_0p03/rep05,pure_rho,20|10|10|10|10|10|10|10|10|10|10|10,1,130,100,202655053
