activation,batch_size,candidate_name,checkpoint_interval,data_seed,depth,group,hidden_size,knn_k,learning_rate,loss_kind,model_seed,mu_in_preview,mu_ref_preview,nr_scenarios,replicate,reset_optimizer_each_epoch,rho,rho_in_preview,rho_ref_preview,run_id,run_rel_dir,schedule_kind,stage_epochs,test_seed,total_epochs,training_contexts,training_seed
silu,1,k2,10,202615051,4,05_knn_equilibration,128,2,0.001,dfl,202615052,1.0|1.0|1.0|1.0|1.0|...|0.01,1.0|1.0|1.0|1.0|1.0|...|0.0,1,1,true,0.0,0.0|0.0|0.0|0.0|0.0|...|0.0,0.0|0.0|0.0|0.0|0.0|...|0.0,full_05_knn_equilibration_k2_rep01,full/05_knn_equilibration/k2/rep01,baseline,20|10|10|10|10|10|10|10|10|10|10|10,1,130,100,202615053
silu,1,k2,10,202625051,4,05_knn_equilibration,128,2,0.001,dfl,202625052,1.0|1.0|1.0|1.0|1.0|...|0.01,1.0|1.0|1.0|1.0|1.0|...|0.0,1,2,true,0.0,0.0|0.0|0.0|0.0|0.0|...|0.0,0.0|0.0|0.0|0.0|0.0|...|0.0,full_05_knn_equilibration_k2_rep02,full/05_knn_equilibration/k2/rep02,baseline,20|10|10|10|10|10|10|10|10|10|10|10,1,130,100,202625053
silu,1,k2,10,202635051,4,05_knn_equilibration,128,2,0.001,dfl,202635052,1.0|1.0|1.0|1.0|1.0|...|0.01,1.0|1.0|1.0|1.0|1.0|...|0.0,1,3,true,0.0,0.0|0.0|0.0|0.0|0.0|...|0.0,0.0|0.0|0.0|0.0|0.0|...|0.0,full_05_knn_equilibration_k2_rep03,full/05_knn_equilibration/k2/rep03,baseline,20|10|10|10|10|10|10|10|10|10|10|10,1,130,100,202635053
silu,1,k2,10,202645051,4,05_knn_equilibration,128,2,0.001,dfl,202645052,1.0|1.0|1.0|1.0|1.0|...|0.01,1.0|1.0|1.0|1.0|1.0|...|0.0,1,4,true,0.0,0.0|0.0|0.0|0.0|0.0|...|0.0,0.0|0.0|0.0|0.0|0.0|...|0.0,full_05_knn_equilibration_k2_rep04,full/05_knn_equilibration/k2/rep04,baseline,20|10|10|10|10|10|10|10|10|10|10|10,1,130,100,202645053
silu,1,k2,10,202655051,4,05_knn_equilibration,128,2,0.001,dfl,202655052,1.0|1.0|1.0|1.0|1.0|...|0.01,1.0|1.0|1.0|1.0|1.0|...|0.0,1,5,true,0.0,0.0|0.0|0.0|0.0|0.0|...|0.0,0.0|0.0|0.0|0.0|0.0|...|0.0,full_05_knn_equilibration_k2_rep05,full/05_knn_equilibration/k2/rep05,baseline,20|10|10|10|10|10|10|10|10|10|10|10,1,130,100,202655053
silu,1,k3,10,202615051,4,05_knn_equilibration,128,3,0.001,dfl,202615052,1.0|1.0|1.0|1.0|1.0|...|0.01,1.0|1.0|1.0|1.0|1.0|...|0.0,1,1,true,0.0,0.0|0.0|0.0|0.0|0.0|...|0.0,0.0|0.0|0.0|0.0|0.0|...|0.0,full_05_knn_equilibration_k3_rep01,full/05_knn_equilibration/k3/rep01,baseline,20|10|10|10|10|10|10|10|10|10|10|10,1,130,100,202615053
silu,1,k3,10,202625051,4,05_knn_equilibration,128,3,0.001,dfl,202625052,1.0|1.0|1.0|1.0|1.0|...|0.01,1.0|1.0|1.0|1.0|1.0|...|0.0,1,2,true,0.0,0.0|0.0|0.0|0.0|0.0|...|0.0,0.0|0.0|0.0|0.0|0.0|...|0.0,full_05_knn_equilibration_k3_rep02,full/05_knn_equilibration/k3/rep02,baseline,20|10|10|10|10|10|10|10|10|10|10|10,1,130,100,202625053
silu,1,k3,10,202635051,4,05_knn_equilibration,128,3,0.001,dfl,202635052,1.0|1.0|1.0|1.0|1.0|...|0.01,1.0|1.0|1.0|1.0|1.0|...|0.0,1,3,true,0.0,0.0|0.0|0.0|0.0|0.0|...|0.0,0.0|0.0|0.0|0.0|0.0|...|0.0,full_05_knn_equilibration_k3_rep03,full/05_knn_equilibration/k3/rep03,baseline,20|10|10|10|10|10|10|10|10|10|10|10,1,130,100,202635053
silu,1,k3,10,202645051,4,05_knn_equilibration,128,3,0.001,dfl,202645052,1.0|1.0|1.0|1.0|1.0|...|0.01,1.0|1.0|1.0|1.0|1.0|...|0.0,1,4,true,0.0,0.0|0.0|0.0|0.0|0.0|...|0.0,0.0|0.0|0.0|0.0|0.0|...|0.0,full_05_knn_equilibration_k3_rep04,full/05_knn_equilibration/k3/rep04,baseline,20|10|10|10|10|10|10|10|10|10|10|10,1,130,100,202645053
silu,1,k3,10,202655051,4,05_knn_equilibration,128,3,0.001,dfl,202655052,1.0|1.0|1.0|1.0|1.0|...|0.01,1.0|1.0|1.0|1.0|1.0|...|0.0,1,5,true,0.0,0.0|0.0|0.0|0.0|0.0|...|0.0,0.0|0.0|0.0|0.0|0.0|...|0.0,full_05_knn_equilibration_k3_rep05,full/05_knn_equilibration/k3/rep05,baseline,20|10|10|10|10|10|10|10|10|10|10|10,1,130,100,202655053
silu,1,k5,10,202615051,4,05_knn_equilibration,128,5,0.001,dfl,202615052,1.0|1.0|1.0|1.0|1.0|...|0.01,1.0|1.0|1.0|1.0|1.0|...|0.0,1,1,true,0.0,0.0|0.0|0.0|0.0|0.0|...|0.0,0.0|0.0|0.0|0.0|0.0|...|0.0,full_05_knn_equilibration_k5_rep01,full/05_knn_equilibration/k5/rep01,baseline,20|10|10|10|10|10|10|10|10|10|10|10,1,130,100,202615053
silu,1,k5,10,202625051,4,05_knn_equilibration,128,5,0.001,dfl,202625052,1.0|1.0|1.0|1.0|1.0|...|0.01,1.0|1.0|1.0|1.0|1.0|...|0.0,1,2,true,0.0,0.0|0.0|0.0|0.0|0.0|...|0.0,0.0|0.0|0.0|0.0|0.0|...|0.0,full_05_knn_equilibration_k5_rep02,full/05_knn_equilibration/k5/rep02,baseline,20|10|10|10|10|10|10|10|10|10|10|10,1,130,100,202625053
silu,1,k5,10,202635051,4,05_knn_equilibration,128,5,0.001,dfl,202635052,1.0|1.0|1.0|1.0|1.0|...|0.01,1.0|1.0|1.0|1.0|1.0|...|0.0,1,3,true,0.0,0.0|0.0|0.0|0.0|0.0|...|0.0,0.0|0.0|0.0|0.0|0.0|...|0.0,full_05_knn_equilibration_k5_rep03,full/05_knn_equilibration/k5/rep03,baseline,20|10|10|10|10|10|10|10|10|10|10|10,1,130,100,202635053
silu,1,k5,10,202645051,4,05_knn_equilibration,128,5,0.001,dfl,202645052,1.0|1.0|1.0|1.0|1.0|...|0.01,1.0|1.0|1.0|1.0|1.0|...|0.0,1,4,true,0.0,0.0|0.0|0.0|0.0|0.0|...|0.0,0.0|0.0|0.0|0.0|0.0|...|0.0,full_05_knn_equilibration_k5_rep04,full/05_knn_equilibration/k5/rep04,baseline,20|10|10|10|10|10|10|10|10|10|10|10,1,130,100,202645053
silu,1,k5,10,202655051,4,05_knn_equilibration,128,5,0.001,dfl,202655052,1.0|1.0|1.0|1.0|1.0|...|0.01,1.0|1.0|1.0|1.0|1.0|...|0.0,1,5,true,0.0,0.0|0.0|0.0|0.0|0.0|...|0.0,0.0|0.0|0.0|0.0|0.0|...|0.0,full_05_knn_equilibration_k5_rep05,full/05_knn_equilibration/k5/rep05,baseline,20|10|10|10|10|10|10|10|10|10|10|10,1,130,100,202655053
silu,1,k10,10,202615051,4,05_knn_equilibration,128,10,0.001,dfl,202615052,1.0|1.0|1.0|1.0|1.0|...|0.01,1.0|1.0|1.0|1.0|1.0|...|0.0,1,1,true,0.0,0.0|0.0|0.0|0.0|0.0|...|0.0,0.0|0.0|0.0|0.0|0.0|...|0.0,full_05_knn_equilibration_k10_rep01,full/05_knn_equilibration/k10/rep01,baseline,20|10|10|10|10|10|10|10|10|10|10|10,1,130,100,202615053
silu,1,k10,10,202625051,4,05_knn_equilibration,128,10,0.001,dfl,202625052,1.0|1.0|1.0|1.0|1.0|...|0.01,1.0|1.0|1.0|1.0|1.0|...|0.0,1,2,true,0.0,0.0|0.0|0.0|0.0|0.0|...|0.0,0.0|0.0|0.0|0.0|0.0|...|0.0,full_05_knn_equilibration_k10_rep02,full/05_knn_equilibration/k10/rep02,baseline,20|10|10|10|10|10|10|10|10|10|10|10,1,130,100,202625053
silu,1,k10,10,202635051,4,05_knn_equilibration,128,10,0.001,dfl,202635052,1.0|1.0|1.0|1.0|1.0|...|0.01,1.0|1.0|1.0|1.0|1.0|...|0.0,1,3,true,0.0,0.0|0.0|0.0|0.0|0.0|...|0.0,0.0|0.0|0.0|0.0|0.0|...|0.0,full_05_knn_equilibration_k10_rep03,full/05_knn_equilibration/k10/rep03,baseline,20|10|10|10|10|10|10|10|10|10|10|10,1,130,100,202635053
silu,1,k10,10,202645051,4,05_knn_equilibration,128,10,0.001,dfl,202645052,1.0|1.0|1.0|1.0|1.0|...|0.01,1.0|1.0|1.0|1.0|1.0|...|0.0,1,4,true,0.0,0.0|0.0|0.0|0.0|0.0|...|0.0,0.0|0.0|0.0|0.0|0.0|...|0.0,full_05_knn_equilibration_k10_rep04,full/05_knn_equilibration/k10/rep04,baseline,20|10|10|10|10|10|10|10|10|10|10|10,1,130,100,202645053
silu,1,k10,10,202655051,4,05_knn_equilibration,128,10,0.001,dfl,202655052,1.0|1.0|1.0|1.0|1.0|...|0.01,1.0|1.0|1.0|1.0|1.0|...|0.0,1,5,true,0.0,0.0|0.0|0.0|0.0|0.0|...|0.0,0.0|0.0|0.0|0.0|0.0|...|0.0,full_05_knn_equilibration_k10_rep05,full/05_knn_equilibration/k10/rep05,baseline,20|10|10|10|10|10|10|10|10|10|10|10,1,130,100,202655053
