activation,batch_size,candidate_name,data_seed,depth,error,final_training_loss,finished_at,group,hidden_size,knn_k,learning_rate,loss_kind,mean_test_optimal_value,mean_test_policy_value,mean_test_regret,mean_test_relative_regret,model_seed,nr_scenarios,optimality_gap_percent,replicate,reset_optimizer_each_epoch,rho,run_id,schedule_kind,started_at,status,test_policy_eval_seconds,test_sample_count,test_seed,total_epochs,training_seed
silu,1,k2,202615051,4,,958.7453464616061,1777980207877,05_knn_equilibration,128,2,0.001,dfl,805.7162362224146,857.6795836888665,51.963347466452014,0.06109094748682809,202615052,1,6.109094748682809,1,true,0.0,full_05_knn_equilibration_k2_rep01,baseline,1777973678093,ok,81.395452833,30.0,1,130,202615053
silu,1,k2,202625051,4,,895.424770570741,1777981080663,05_knn_equilibration,128,2,0.001,dfl,805.7162362224146,851.5662412750395,45.85000505262496,0.0547150304488146,202625052,1,5.4715030448814606,2,true,0.0,full_05_knn_equilibration_k2_rep02,baseline,1777973825353,ok,85.146932458,30.0,1,130,202625053
silu,1,k2,202635051,4,,906.6597458631026,1777981975817,05_knn_equilibration,128,2,0.001,dfl,805.7162362224146,891.5279876314125,85.81175140899798,0.10224800893009936,202635052,1,10.224800893009936,3,true,0.0,full_05_knn_equilibration_k2_rep03,baseline,1777974021593,ok,94.69620375,30.0,1,130,202635053
silu,1,k2,202645051,4,,958.6742960501614,1777984250930,05_knn_equilibration,128,2,0.001,dfl,805.7162362224146,874.9566550843966,69.24041886198202,0.08448306326346675,202645052,1,8.448306326346675,4,true,0.0,full_05_knn_equilibration_k2_rep04,baseline,1777976622041,ok,97.715633333,30.0,1,130,202645053
silu,1,k2,202655051,4,,927.6529613998249,1777984247841,05_knn_equilibration,128,2,0.001,dfl,805.7162362224146,840.3389227190321,34.622686496617625,0.04270149950505037,202655052,1,4.270149950505037,5,true,0.0,full_05_knn_equilibration_k2_rep05,baseline,1777976668285,ok,97.312272375,30.0,1,130,202655053
silu,1,k3,202615051,4,,960.8062715386815,1777986184205,05_knn_equilibration,128,3,0.001,dfl,805.7162362224146,864.5635356170122,58.84729939459782,0.07071582668372738,202615052,1,7.071582668372738,1,true,0.0,full_05_knn_equilibration_k3_rep01,baseline,1777976848986,ok,83.54849425,30.0,1,130,202615053
silu,1,k3,202625051,4,,887.2079526049482,1777985256363,05_knn_equilibration,128,3,0.001,dfl,805.7162362224146,845.6861766735941,39.96994045117966,0.042917077779604296,202625052,1,4.291707777960429,2,true,0.0,full_05_knn_equilibration_k3_rep02,baseline,1777977228912,ok,85.842696292,30.0,1,130,202625053
silu,1,k3,202635051,4,,911.2690006449186,1777984953655,05_knn_equilibration,128,3,0.001,dfl,805.7162362224146,889.9165126047646,84.20027638235005,0.09884502005866676,202635052,1,9.884502005866675,3,true,0.0,full_05_knn_equilibration_k3_rep03,baseline,1777977489744,ok,90.764952709,30.0,1,130,202635053
silu,1,k3,202645051,4,,964.8148814726004,1777985029172,05_knn_equilibration,128,3,0.001,dfl,805.7162362224146,840.1473870554177,34.431150833003066,0.04215419765831791,202645052,1,4.215419765831792,4,true,0.0,full_05_knn_equilibration_k3_rep04,baseline,1777977585999,ok,83.373702834,30.0,1,130,202645053
silu,1,k3,202655051,4,,940.093144176096,1777986552164,05_knn_equilibration,128,3,0.001,dfl,805.7162362224146,840.53055818913,34.814321966715546,0.04306878960240046,202655052,1,4.306878960240046,5,true,0.0,full_05_knn_equilibration_k3_rep05,baseline,1777977756862,ok,80.4756055,30.0,1,130,202655053
,,k5,,,missing run_result.jls,Inf,,05_knn_equilibration,,,,,,,,Inf,,,Inf,1,,,full_05_knn_equilibration_k5_rep01,,,missing,,,,,
,,k5,,,missing run_result.jls,Inf,,05_knn_equilibration,,,,,,,,Inf,,,Inf,2,,,full_05_knn_equilibration_k5_rep02,,,missing,,,,,
,,k5,,,missing run_result.jls,Inf,,05_knn_equilibration,,,,,,,,Inf,,,Inf,3,,,full_05_knn_equilibration_k5_rep03,,,missing,,,,,
,,k5,,,missing run_result.jls,Inf,,05_knn_equilibration,,,,,,,,Inf,,,Inf,4,,,full_05_knn_equilibration_k5_rep04,,,missing,,,,,
,,k5,,,missing run_result.jls,Inf,,05_knn_equilibration,,,,,,,,Inf,,,Inf,5,,,full_05_knn_equilibration_k5_rep05,,,missing,,,,,
,,k10,,,missing run_result.jls,Inf,,05_knn_equilibration,,,,,,,,Inf,,,Inf,1,,,full_05_knn_equilibration_k10_rep01,,,missing,,,,,
,,k10,,,missing run_result.jls,Inf,,05_knn_equilibration,,,,,,,,Inf,,,Inf,2,,,full_05_knn_equilibration_k10_rep02,,,missing,,,,,
,,k10,,,missing run_result.jls,Inf,,05_knn_equilibration,,,,,,,,Inf,,,Inf,3,,,full_05_knn_equilibration_k10_rep03,,,missing,,,,,
,,k10,,,missing run_result.jls,Inf,,05_knn_equilibration,,,,,,,,Inf,,,Inf,4,,,full_05_knn_equilibration_k10_rep04,,,missing,,,,,
,,k10,,,missing run_result.jls,Inf,,05_knn_equilibration,,,,,,,,Inf,,,Inf,5,,,full_05_knn_equilibration_k10_rep05,,,missing,,,,,
