activation,batch_size,candidate_name,checkpoint_interval,data_seed,depth,group,hidden_size,knn_k,learning_rate,loss_kind,model_seed,mu_in_preview,mu_ref_preview,nr_scenarios,replicate,reset_optimizer_each_epoch,rho,rho_in_preview,rho_ref_preview,run_id,run_rel_dir,schedule_kind,stage_epochs,test_seed,total_epochs,training_contexts,training_seed
silu,4,batch4,10,202615051,4,06_batch_size,128,0,0.001,dfl,202615052,1.0|1.0|1.0|1.0|1.0|...|0.01,1.0|1.0|1.0|1.0|1.0|...|0.0,1,1,true,0.0,0.0|0.0|0.0|0.0|0.0|...|0.0,0.0|0.0|0.0|0.0|0.0|...|0.0,full_06_batch_size_batch4_rep01,full/06_batch_size/batch4/rep01,baseline,40|20|20|20|20|20|20|20|20|20|20|20,1,260,100,202615053
silu,4,batch4,10,202625051,4,06_batch_size,128,0,0.001,dfl,202625052,1.0|1.0|1.0|1.0|1.0|...|0.01,1.0|1.0|1.0|1.0|1.0|...|0.0,1,2,true,0.0,0.0|0.0|0.0|0.0|0.0|...|0.0,0.0|0.0|0.0|0.0|0.0|...|0.0,full_06_batch_size_batch4_rep02,full/06_batch_size/batch4/rep02,baseline,40|20|20|20|20|20|20|20|20|20|20|20,1,260,100,202625053
silu,4,batch4,10,202635051,4,06_batch_size,128,0,0.001,dfl,202635052,1.0|1.0|1.0|1.0|1.0|...|0.01,1.0|1.0|1.0|1.0|1.0|...|0.0,1,3,true,0.0,0.0|0.0|0.0|0.0|0.0|...|0.0,0.0|0.0|0.0|0.0|0.0|...|0.0,full_06_batch_size_batch4_rep03,full/06_batch_size/batch4/rep03,baseline,40|20|20|20|20|20|20|20|20|20|20|20,1,260,100,202635053
silu,4,batch4,10,202645051,4,06_batch_size,128,0,0.001,dfl,202645052,1.0|1.0|1.0|1.0|1.0|...|0.01,1.0|1.0|1.0|1.0|1.0|...|0.0,1,4,true,0.0,0.0|0.0|0.0|0.0|0.0|...|0.0,0.0|0.0|0.0|0.0|0.0|...|0.0,full_06_batch_size_batch4_rep04,full/06_batch_size/batch4/rep04,baseline,40|20|20|20|20|20|20|20|20|20|20|20,1,260,100,202645053
silu,8,batch8,10,202615051,4,06_batch_size,128,0,0.001,dfl,202615052,1.0|1.0|1.0|1.0|1.0|...|0.01,1.0|1.0|1.0|1.0|1.0|...|0.0,1,1,true,0.0,0.0|0.0|0.0|0.0|0.0|...|0.0,0.0|0.0|0.0|0.0|0.0|...|0.0,full_06_batch_size_batch8_rep01,full/06_batch_size/batch8/rep01,baseline,57|28|28|28|28|28|28|28|28|28|28|28,1,365,100,202615053
silu,8,batch8,10,202625051,4,06_batch_size,128,0,0.001,dfl,202625052,1.0|1.0|1.0|1.0|1.0|...|0.01,1.0|1.0|1.0|1.0|1.0|...|0.0,1,2,true,0.0,0.0|0.0|0.0|0.0|0.0|...|0.0,0.0|0.0|0.0|0.0|0.0|...|0.0,full_06_batch_size_batch8_rep02,full/06_batch_size/batch8/rep02,baseline,57|28|28|28|28|28|28|28|28|28|28|28,1,365,100,202625053
silu,8,batch8,10,202635051,4,06_batch_size,128,0,0.001,dfl,202635052,1.0|1.0|1.0|1.0|1.0|...|0.01,1.0|1.0|1.0|1.0|1.0|...|0.0,1,3,true,0.0,0.0|0.0|0.0|0.0|0.0|...|0.0,0.0|0.0|0.0|0.0|0.0|...|0.0,full_06_batch_size_batch8_rep03,full/06_batch_size/batch8/rep03,baseline,57|28|28|28|28|28|28|28|28|28|28|28,1,365,100,202635053
silu,8,batch8,10,202645051,4,06_batch_size,128,0,0.001,dfl,202645052,1.0|1.0|1.0|1.0|1.0|...|0.01,1.0|1.0|1.0|1.0|1.0|...|0.0,1,4,true,0.0,0.0|0.0|0.0|0.0|0.0|...|0.0,0.0|0.0|0.0|0.0|0.0|...|0.0,full_06_batch_size_batch8_rep04,full/06_batch_size/batch8/rep04,baseline,57|28|28|28|28|28|28|28|28|28|28|28,1,365,100,202645053
silu,16,batch16,10,202615051,4,06_batch_size,128,0,0.001,dfl,202615052,1.0|1.0|1.0|1.0|1.0|...|0.01,1.0|1.0|1.0|1.0|1.0|...|0.0,1,1,true,0.0,0.0|0.0|0.0|0.0|0.0|...|0.0,0.0|0.0|0.0|0.0|0.0|...|0.0,full_06_batch_size_batch16_rep01,full/06_batch_size/batch16/rep01,baseline,80|40|40|40|40|40|40|40|40|40|40|40,1,520,100,202615053
silu,16,batch16,10,202625051,4,06_batch_size,128,0,0.001,dfl,202625052,1.0|1.0|1.0|1.0|1.0|...|0.01,1.0|1.0|1.0|1.0|1.0|...|0.0,1,2,true,0.0,0.0|0.0|0.0|0.0|0.0|...|0.0,0.0|0.0|0.0|0.0|0.0|...|0.0,full_06_batch_size_batch16_rep02,full/06_batch_size/batch16/rep02,baseline,80|40|40|40|40|40|40|40|40|40|40|40,1,520,100,202625053
