activation,batch_size,candidate_name,checkpoint_interval,data_seed,depth,group,hidden_size,knn_k,learning_rate,loss_kind,model_seed,mu_in_preview,mu_ref_preview,nr_scenarios,replicate,reset_optimizer_each_epoch,rho,rho_in_preview,rho_ref_preview,run_id,run_rel_dir,schedule_kind,stage_epochs,test_seed,total_epochs,training_contexts,training_seed
silu,1,width64,10,202615051,4,08_wide_network,64,0,0.001,dfl,202615052,1.0|1.0|1.0|1.0|1.0|...|0.01,1.0|1.0|1.0|1.0|1.0|...|0.0,1,1,true,0.0,0.0|0.0|0.0|0.0|0.0|...|0.0,0.0|0.0|0.0|0.0|0.0|...|0.0,full_08_wide_network_width64_rep01,full/08_wide_network/width64/rep01,baseline,20|10|10|10|10|10|10|10|10|10|10|10,1,130,100,202615053
silu,1,width64,10,202625051,4,08_wide_network,64,0,0.001,dfl,202625052,1.0|1.0|1.0|1.0|1.0|...|0.01,1.0|1.0|1.0|1.0|1.0|...|0.0,1,2,true,0.0,0.0|0.0|0.0|0.0|0.0|...|0.0,0.0|0.0|0.0|0.0|0.0|...|0.0,full_08_wide_network_width64_rep02,full/08_wide_network/width64/rep02,baseline,20|10|10|10|10|10|10|10|10|10|10|10,1,130,100,202625053
silu,1,width64,10,202635051,4,08_wide_network,64,0,0.001,dfl,202635052,1.0|1.0|1.0|1.0|1.0|...|0.01,1.0|1.0|1.0|1.0|1.0|...|0.0,1,3,true,0.0,0.0|0.0|0.0|0.0|0.0|...|0.0,0.0|0.0|0.0|0.0|0.0|...|0.0,full_08_wide_network_width64_rep03,full/08_wide_network/width64/rep03,baseline,20|10|10|10|10|10|10|10|10|10|10|10,1,130,100,202635053
silu,1,width64,10,202645051,4,08_wide_network,64,0,0.001,dfl,202645052,1.0|1.0|1.0|1.0|1.0|...|0.01,1.0|1.0|1.0|1.0|1.0|...|0.0,1,4,true,0.0,0.0|0.0|0.0|0.0|0.0|...|0.0,0.0|0.0|0.0|0.0|0.0|...|0.0,full_08_wide_network_width64_rep04,full/08_wide_network/width64/rep04,baseline,20|10|10|10|10|10|10|10|10|10|10|10,1,130,100,202645053
silu,1,width64,10,202655051,4,08_wide_network,64,0,0.001,dfl,202655052,1.0|1.0|1.0|1.0|1.0|...|0.01,1.0|1.0|1.0|1.0|1.0|...|0.0,1,5,true,0.0,0.0|0.0|0.0|0.0|0.0|...|0.0,0.0|0.0|0.0|0.0|0.0|...|0.0,full_08_wide_network_width64_rep05,full/08_wide_network/width64/rep05,baseline,20|10|10|10|10|10|10|10|10|10|10|10,1,130,100,202655053
silu,1,width256,10,202615051,4,08_wide_network,256,0,0.001,dfl,202615052,1.0|1.0|1.0|1.0|1.0|...|0.01,1.0|1.0|1.0|1.0|1.0|...|0.0,1,1,true,0.0,0.0|0.0|0.0|0.0|0.0|...|0.0,0.0|0.0|0.0|0.0|0.0|...|0.0,full_08_wide_network_width256_rep01,full/08_wide_network/width256/rep01,baseline,20|10|10|10|10|10|10|10|10|10|10|10,1,130,100,202615053
silu,1,width256,10,202625051,4,08_wide_network,256,0,0.001,dfl,202625052,1.0|1.0|1.0|1.0|1.0|...|0.01,1.0|1.0|1.0|1.0|1.0|...|0.0,1,2,true,0.0,0.0|0.0|0.0|0.0|0.0|...|0.0,0.0|0.0|0.0|0.0|0.0|...|0.0,full_08_wide_network_width256_rep02,full/08_wide_network/width256/rep02,baseline,20|10|10|10|10|10|10|10|10|10|10|10,1,130,100,202625053
silu,1,width256,10,202635051,4,08_wide_network,256,0,0.001,dfl,202635052,1.0|1.0|1.0|1.0|1.0|...|0.01,1.0|1.0|1.0|1.0|1.0|...|0.0,1,3,true,0.0,0.0|0.0|0.0|0.0|0.0|...|0.0,0.0|0.0|0.0|0.0|0.0|...|0.0,full_08_wide_network_width256_rep03,full/08_wide_network/width256/rep03,baseline,20|10|10|10|10|10|10|10|10|10|10|10,1,130,100,202635053
silu,1,width256,10,202645051,4,08_wide_network,256,0,0.001,dfl,202645052,1.0|1.0|1.0|1.0|1.0|...|0.01,1.0|1.0|1.0|1.0|1.0|...|0.0,1,4,true,0.0,0.0|0.0|0.0|0.0|0.0|...|0.0,0.0|0.0|0.0|0.0|0.0|...|0.0,full_08_wide_network_width256_rep04,full/08_wide_network/width256/rep04,baseline,20|10|10|10|10|10|10|10|10|10|10|10,1,130,100,202645053
silu,1,width256,10,202655051,4,08_wide_network,256,0,0.001,dfl,202655052,1.0|1.0|1.0|1.0|1.0|...|0.01,1.0|1.0|1.0|1.0|1.0|...|0.0,1,5,true,0.0,0.0|0.0|0.0|0.0|0.0|...|0.0,0.0|0.0|0.0|0.0|0.0|...|0.0,full_08_wide_network_width256_rep05,full/08_wide_network/width256/rep05,baseline,20|10|10|10|10|10|10|10|10|10|10|10,1,130,100,202655053
silu,1,width512,10,202615051,4,08_wide_network,512,0,0.001,dfl,202615052,1.0|1.0|1.0|1.0|1.0|...|0.01,1.0|1.0|1.0|1.0|1.0|...|0.0,1,1,true,0.0,0.0|0.0|0.0|0.0|0.0|...|0.0,0.0|0.0|0.0|0.0|0.0|...|0.0,full_08_wide_network_width512_rep01,full/08_wide_network/width512/rep01,baseline,20|10|10|10|10|10|10|10|10|10|10|10,1,130,100,202615053
silu,1,width512,10,202625051,4,08_wide_network,512,0,0.001,dfl,202625052,1.0|1.0|1.0|1.0|1.0|...|0.01,1.0|1.0|1.0|1.0|1.0|...|0.0,1,2,true,0.0,0.0|0.0|0.0|0.0|0.0|...|0.0,0.0|0.0|0.0|0.0|0.0|...|0.0,full_08_wide_network_width512_rep02,full/08_wide_network/width512/rep02,baseline,20|10|10|10|10|10|10|10|10|10|10|10,1,130,100,202625053
silu,1,width512,10,202635051,4,08_wide_network,512,0,0.001,dfl,202635052,1.0|1.0|1.0|1.0|1.0|...|0.01,1.0|1.0|1.0|1.0|1.0|...|0.0,1,3,true,0.0,0.0|0.0|0.0|0.0|0.0|...|0.0,0.0|0.0|0.0|0.0|0.0|...|0.0,full_08_wide_network_width512_rep03,full/08_wide_network/width512/rep03,baseline,20|10|10|10|10|10|10|10|10|10|10|10,1,130,100,202635053
silu,1,width512,10,202645051,4,08_wide_network,512,0,0.001,dfl,202645052,1.0|1.0|1.0|1.0|1.0|...|0.01,1.0|1.0|1.0|1.0|1.0|...|0.0,1,4,true,0.0,0.0|0.0|0.0|0.0|0.0|...|0.0,0.0|0.0|0.0|0.0|0.0|...|0.0,full_08_wide_network_width512_rep04,full/08_wide_network/width512/rep04,baseline,20|10|10|10|10|10|10|10|10|10|10|10,1,130,100,202645053
silu,1,width512,10,202655051,4,08_wide_network,512,0,0.001,dfl,202655052,1.0|1.0|1.0|1.0|1.0|...|0.01,1.0|1.0|1.0|1.0|1.0|...|0.0,1,5,true,0.0,0.0|0.0|0.0|0.0|0.0|...|0.0,0.0|0.0|0.0|0.0|0.0|...|0.0,full_08_wide_network_width512_rep05,full/08_wide_network/width512/rep05,baseline,20|10|10|10|10|10|10|10|10|10|10|10,1,130,100,202655053
silu,1,width1024,10,202615051,4,08_wide_network,1024,0,0.001,dfl,202615052,1.0|1.0|1.0|1.0|1.0|...|0.01,1.0|1.0|1.0|1.0|1.0|...|0.0,1,1,true,0.0,0.0|0.0|0.0|0.0|0.0|...|0.0,0.0|0.0|0.0|0.0|0.0|...|0.0,full_08_wide_network_width1024_rep01,full/08_wide_network/width1024/rep01,baseline,20|10|10|10|10|10|10|10|10|10|10|10,1,130,100,202615053
