group,candidate,ok_count,run_count,best_replicate_by_training_loss,best_final_training_loss,best_test_relative_regret,best_optimality_gap_percent,mean_test_relative_regret,mean_optimality_gap_percent
00_baseline,persistent_adam,10,10,7,835.4052340449499,0.03477040683761955,3.4770406837619547,0.05522223588754066,5.522223588754066
00_baseline,standard,10,10,7,837.2532584401869,0.04995135546743071,4.995135546743071,0.053383264345206724,5.338326434520672
01_ablations,mse,10,10,5,26.6712521899052,0.02401377070298883,2.4013770702988833,0.04795455632117544,4.7954556321175446
01_ablations,no_annealing,10,10,7,840.2850831217239,0.04089990214153304,4.089990214153303,0.06799553482809859,6.799553482809858
01_ablations,no_finetune,10,10,7,866.1420911916508,0.030576567325523416,3.0576567325523416,0.05821743361036378,5.821743361036377
02_multi_scenario,scenarios2,5,5,2,874.5108878089674,0.04315421017734822,4.315421017734822,0.0538043474111203,5.380434741112031
02_multi_scenario,scenarios4,5,5,2,878.5799706302766,0.08183973460243457,8.183973460243458,0.0640047702285461,6.400477022854611
03_quadratic_smoothing,rho_0p0001,5,5,2,879.6237452036886,0.09747871606429581,9.74787160642958,0.06840347276728248,6.840347276728248
03_quadratic_smoothing,rho_0p0003,5,5,2,898.6549343712752,0.04659830967880145,4.659830967880145,0.060669666831342714,6.066966683134271
03_quadratic_smoothing,rho_0p001,5,5,2,973.7486412533865,0.17837431023100994,17.837431023100994,0.15514889840304372,15.514889840304374
03_quadratic_smoothing,rho_0p003,5,5,2,1021.6842979586924,0.18745136096108364,18.745136096108364,0.1967182763680137,19.671827636801375
04_pure_quadratic,pure_rho_0p0003,5,5,2,955.6461011901038,0.0403563683525481,4.0356368352548095,0.04711733532673453,4.711733532673453
04_pure_quadratic,pure_rho_0p001,5,5,2,1032.7162653492985,0.12767957471061606,12.767957471061605,0.14382463579785784,14.382463579785783
04_pure_quadratic,pure_rho_0p003,4,5,2,1132.1935100075214,0.19466113000089974,19.466113000089972,0.19418951022651512,19.418951022651513
