candidate_name,controller_status,exitcode,group,launched_at,pid,replicate,run_id,running
k5,running,,05_knn_equilibration,1777977951351,82848,1,full_05_knn_equilibration_k5_rep01,true
k5,running,,05_knn_equilibration,1777978176515,83100,2,full_05_knn_equilibration_k5_rep02,true
k5,running,,05_knn_equilibration,1777978376030,83368,3,full_05_knn_equilibration_k5_rep03,true
k5,running,,05_knn_equilibration,1777978518931,83522,4,full_05_knn_equilibration_k5_rep04,true
k5,running,,05_knn_equilibration,1777980213784,85745,5,full_05_knn_equilibration_k5_rep05,true
k10,running,,05_knn_equilibration,1777981083080,86602,1,full_05_knn_equilibration_k10_rep01,true
k10,running,,05_knn_equilibration,1777981978301,86852,2,full_05_knn_equilibration_k10_rep02,true
k10,running,,05_knn_equilibration,1777984250918,87961,3,full_05_knn_equilibration_k10_rep03,true
k10,running,,05_knn_equilibration,1777984256605,87963,4,full_05_knn_equilibration_k10_rep04,true
k10,running,,05_knn_equilibration,1777984956213,88705,5,full_05_knn_equilibration_k10_rep05,true
batch4,running,,06_batch_size,1777985035560,88743,1,full_06_batch_size_batch4_rep01,true
batch4,running,,06_batch_size,1777985263299,88820,2,full_06_batch_size_batch4_rep02,true
batch4,running,,06_batch_size,1777986186400,89254,3,full_06_batch_size_batch4_rep03,true
batch4,running,,06_batch_size,1777986558815,89418,4,full_06_batch_size_batch4_rep04,true
standard,finished,0,00_baseline,1777948190534,46545,2,full_00_baseline_standard_rep02,false
standard,finished,0,00_baseline,1777948192557,46557,6,full_00_baseline_standard_rep06,false
standard,finished,0,00_baseline,1777948190016,46543,1,full_00_baseline_standard_rep01,false
standard,finished,0,00_baseline,1777948191040,46547,3,full_00_baseline_standard_rep03,false
persistent_adam,finished,0,00_baseline,1777948191798,46554,4,full_00_baseline_persistent_adam_rep04,false
persistent_adam,finished,0,00_baseline,1777948190282,46544,1,full_00_baseline_persistent_adam_rep01,false
persistent_adam,finished,0,00_baseline,1777948191292,46549,3,full_00_baseline_persistent_adam_rep03,false
standard,finished,0,00_baseline,1777948191545,46552,4,full_00_baseline_standard_rep04,false
standard,finished,0,00_baseline,1777948192050,46555,5,full_00_baseline_standard_rep05,false
persistent_adam,finished,0,00_baseline,1777948192810,46558,6,full_00_baseline_persistent_adam_rep06,false
standard,finished,0,00_baseline,1777948193103,46559,7,full_00_baseline_standard_rep07,false
persistent_adam,finished,0,00_baseline,1777948190787,46546,2,full_00_baseline_persistent_adam_rep02,false
persistent_adam,finished,0,00_baseline,1777948193396,46560,7,full_00_baseline_persistent_adam_rep07,false
mse,finished,0,01_ablations,1777952497555,52279,1,full_01_ablations_mse_rep01,false
persistent_adam,finished,0,00_baseline,1777948192303,46556,5,full_00_baseline_persistent_adam_rep05,false
mse,finished,0,01_ablations,1777952579557,52390,2,full_01_ablations_mse_rep02,false
mse,finished,0,01_ablations,1777952734198,52589,3,full_01_ablations_mse_rep03,false
standard,finished,0,00_baseline,1777951358185,50665,8,full_00_baseline_standard_rep08,false
mse,finished,0,01_ablations,1777954530480,55147,4,full_01_ablations_mse_rep04,false
persistent_adam,finished,0,00_baseline,1777952030540,51653,8,full_00_baseline_persistent_adam_rep08,false
standard,finished,0,00_baseline,1777952322391,52050,9,full_00_baseline_standard_rep09,false
standard,finished,0,00_baseline,1777952441310,52206,10,full_00_baseline_standard_rep10,false
no_finetune,finished,0,01_ablations,1777952508275,52310,2,full_01_ablations_no_finetune_rep02,false
mse,finished,0,01_ablations,1777955102362,56211,5,full_01_ablations_mse_rep05,false
no_finetune,finished,0,01_ablations,1777952481119,52262,1,full_01_ablations_no_finetune_rep01,false
persistent_adam,finished,0,00_baseline,1777952429516,52195,9,full_00_baseline_persistent_adam_rep09,false
persistent_adam,finished,0,00_baseline,1777952458297,52233,10,full_00_baseline_persistent_adam_rep10,false
mse,finished,0,01_ablations,1777955307504,56533,6,full_01_ablations_mse_rep06,false
no_finetune,finished,0,01_ablations,1777952616550,52445,3,full_01_ablations_no_finetune_rep03,false
no_annealing,finished,0,01_ablations,1777952574054,52389,2,full_01_ablations_no_annealing_rep02,false
mse,finished,0,01_ablations,1777955471492,56804,7,full_01_ablations_mse_rep07,false
no_annealing,finished,0,01_ablations,1777952492054,52273,1,full_01_ablations_no_annealing_rep01,false
no_finetune,finished,0,01_ablations,1777952870607,52770,4,full_01_ablations_no_finetune_rep04,false
mse,finished,0,01_ablations,1777955579458,56942,8,full_01_ablations_mse_rep08,false
mse,finished,0,01_ablations,1777955735742,57237,9,full_01_ablations_mse_rep09,false
no_annealing,finished,0,01_ablations,1777952660627,52496,3,full_01_ablations_no_annealing_rep03,false
mse,finished,0,01_ablations,1777955987625,57621,10,full_01_ablations_mse_rep10,false
no_annealing,finished,0,01_ablations,1777952977617,52905,4,full_01_ablations_no_annealing_rep04,false
no_finetune,finished,0,01_ablations,1777954700000,55494,5,full_01_ablations_no_finetune_rep05,false
no_annealing,finished,0,01_ablations,1777954785077,55682,5,full_01_ablations_no_annealing_rep05,false
no_annealing,finished,0,01_ablations,1777955708717,57177,9,full_01_ablations_no_annealing_rep09,false
no_finetune,finished,0,01_ablations,1777955692270,57152,9,full_01_ablations_no_finetune_rep09,false
no_annealing,finished,0,01_ablations,1777955928516,57546,10,full_01_ablations_no_annealing_rep10,false
no_finetune,finished,0,01_ablations,1777955778754,57306,10,full_01_ablations_no_finetune_rep10,false
no_annealing,finished,0,01_ablations,1777955280213,56495,6,full_01_ablations_no_annealing_rep06,false
no_finetune,finished,0,01_ablations,1777955193719,56344,6,full_01_ablations_no_finetune_rep06,false
no_finetune,finished,0,01_ablations,1777955520422,56888,8,full_01_ablations_no_finetune_rep08,false
no_finetune,finished,0,01_ablations,1777955318566,56544,7,full_01_ablations_no_finetune_rep07,false
no_annealing,finished,0,01_ablations,1777955542094,56911,8,full_01_ablations_no_annealing_rep08,false
no_annealing,finished,0,01_ablations,1777955377367,56648,7,full_01_ablations_no_annealing_rep07,false
scenarios2,finished,0,02_multi_scenario,1777956186978,57958,1,full_02_multi_scenario_scenarios2_rep01,false
scenarios2,finished,0,02_multi_scenario,1777956549818,58545,2,full_02_multi_scenario_scenarios2_rep02,false
rho_0p0001,finished,0,03_quadratic_smoothing,1777959360924,63224,1,full_03_quadratic_smoothing_rho_0p0001_rep01,false
rho_0p0001,finished,0,03_quadratic_smoothing,1777959460834,63371,2,full_03_quadratic_smoothing_rho_0p0001_rep02,false
scenarios2,finished,0,02_multi_scenario,1777958293992,61436,3,full_02_multi_scenario_scenarios2_rep03,false
rho_0p0001,finished,0,03_quadratic_smoothing,1777960073661,64334,3,full_03_quadratic_smoothing_rho_0p0001_rep03,false
scenarios2,finished,0,02_multi_scenario,1777958682935,62060,5,full_02_multi_scenario_scenarios2_rep05,false
scenarios2,finished,0,02_multi_scenario,1777958597051,61943,4,full_02_multi_scenario_scenarios2_rep04,false
rho_0p0001,finished,0,03_quadratic_smoothing,1777960112442,64397,4,full_03_quadratic_smoothing_rho_0p0001_rep04,false
rho_0p0003,finished,0,03_quadratic_smoothing,1777961146071,66091,1,full_03_quadratic_smoothing_rho_0p0003_rep01,false
rho_0p0001,finished,0,03_quadratic_smoothing,1777960598148,65145,5,full_03_quadratic_smoothing_rho_0p0001_rep05,false
scenarios4,finished,0,02_multi_scenario,1777959217100,62923,4,full_02_multi_scenario_scenarios4_rep04,false
