group,candidate,ok_count,run_count,best_gap_percent,best_replicate_by_test_gap,median_gap_percent,mean_gap_percent,worst_gap_percent,worst_replicate_by_test_gap,std_gap_percent
00_baseline,persistent_adam,10,10,1.849602973005347,4,5.386267428983059,5.522223588754066,11.074769898863474,3,2.7495528938196965
00_baseline,standard,10,10,2.654446252123197,9,5.086339219223396,5.338326434520672,9.070951911229178,3,1.7233987290417077
01_ablations,mse,10,10,2.4013770702988833,5,4.423317067321594,4.7954556321175446,8.167251726389999,9,1.92194564093157
01_ablations,no_annealing,10,10,4.089990214153303,7,6.444670724573264,6.799553482809858,9.659160471634637,10,1.766993387532714
01_ablations,no_finetune,10,10,2.0266785640284635,2,6.924426233945775,5.821743361036377,8.223435472411534,9,2.381117350090512
02_multi_scenario,scenarios2,5,5,3.745631873125289,5,4.549468175565244,5.380434741112031,7.164650993884411,1,1.6379303761534427
02_multi_scenario,scenarios4,5,5,3.6528349225153947,4,6.2065475425192,6.40047702285461,8.95917019170791,3,2.19525891883848
03_quadratic_smoothing,rho_0p0001,5,5,4.279271775427216,5,5.691799803344855,6.840347276728248,9.74787160642958,2,2.6204490200672255
03_quadratic_smoothing,rho_0p0003,5,5,4.659830967880145,2,6.754439418330113,6.066966683134272,6.968021641063895,3,1.1074446173102992
03_quadratic_smoothing,rho_0p001,5,5,12.736922377937429,3,15.23771102234403,15.514889840304372,17.837431023100994,2,2.1453069112410503
03_quadratic_smoothing,rho_0p003,5,5,18.44643611689407,1,19.0619121847655,19.671827636801375,22.821677434044656,3,1.789156282403088
04_pure_quadratic,pure_rho_0p0003,5,5,4.0356368352548095,2,4.262629866755443,4.711733532673453,5.66858591083689,1,0.7405814944521304
04_pure_quadratic,pure_rho_0p001,5,5,12.38556294246102,3,14.356409968422875,14.382463579785785,17.941156006817423,4,2.1946193917277266
04_pure_quadratic,pure_rho_0p003,5,5,17.7976570049144,3,19.466113000089972,19.888721410464,21.767802961713954,5,1.7103204821382516
04_pure_quadratic,pure_rho_0p01,1,5,24.10882630364157,1,24.10882630364157,24.10882630364157,24.10882630364157,1,nan
