activation,batch_size,candidate_name,data_seed,depth,error,final_training_loss,finished_at,group,hidden_size,knn_k,learning_rate,loss_kind,mean_test_optimal_value,mean_test_policy_value,mean_test_regret,mean_test_relative_regret,model_seed,nr_scenarios,optimality_gap_percent,replicate,reset_optimizer_each_epoch,rho,run_id,schedule_kind,started_at,status,test_policy_eval_seconds,test_sample_count,test_seed,total_epochs,training_seed
silu,1,standard,202615051,4,,3266.200436651396,1777948082396,00_baseline,128,0,0.001,dfl,888.8709424364083,4426.170331331705,3537.299388895297,3.9752564110618653,202615052,1,397.5256411061865,1,true,0.0,smoke_00_baseline_standard_rep01,baseline,1777948048896,ok,1.158686042,2.0,11,2,202615053
silu,1,persistent_adam,202615051,4,,3266.2291072261846,1777948083216,00_baseline,128,0,0.001,dfl,888.8709424364083,4426.408568502479,3537.537626066071,3.975502304303999,202615052,1,397.5502304303999,1,false,0.0,smoke_00_baseline_persistent_adam_rep01,baseline,1777948049074,ok,1.293051125,2.0,11,2,202615053
silu,1,no_finetune,202615051,4,,3303.4328841126544,1777948084073,01_ablations,128,0,0.001,dfl,888.8709424364083,4426.1703623636895,3537.2994199272816,3.9752564430061863,202615052,1,397.52564430061864,1,true,0.0,smoke_01_ablations_no_finetune_rep01,no_finetune,1777948049472,ok,2.163953084,2.0,11,2,202615053
silu,1,no_annealing,202615051,4,,3266.200436651396,1777948083463,01_ablations,128,0,0.001,dfl,888.8709424364083,4426.170331331705,3537.299388895297,3.9752564110618653,202615052,1,397.5256411061865,1,true,0.0,smoke_01_ablations_no_annealing_rep01,no_annealing,1777948049451,ok,0.9917885,2.0,11,2,202615053
silu,1,mse,202615051,4,,2595.526648437077,1777948077557,01_ablations,128,0,0.001,mse,888.8709424364083,4426.137132636958,3537.2661902005493,3.975221392432289,202615052,1,397.5221392432289,1,true,0.0,smoke_01_ablations_mse_rep01,baseline,1777948049999,ok,2.265697792,2.0,11,2,202615053
silu,1,scenarios2,202615051,4,,3266.2165097216403,1777948084217,02_multi_scenario,128,0,0.001,dfl,888.8709424364083,4426.269100590109,3537.3981581537,3.975355429391705,202615052,2,397.53554293917045,1,true,0.0,smoke_02_multi_scenario_scenarios2_rep01,baseline,1777948050406,ok,1.124001791,2.0,11,2,202615053
silu,1,rho_0p0001,202615051,4,,3266.1984099191613,1777948083943,03_quadratic_smoothing,128,0,0.001,dfl,888.8709424364083,4426.16207168017,3537.291129243761,3.975248206534764,202615052,1,397.5248206534764,1,true,0.0001,smoke_03_quadratic_smoothing_rho_0p0001_rep01,baseline,1777948050550,ok,1.071084834,2.0,11,2,202615053
silu,1,pure_rho_0p0003,202615051,4,,3287.5824487781565,1777948085105,04_pure_quadratic,128,0,0.001,dfl,888.8709424364083,4435.756675083023,3546.8857326466145,3.9869193055175756,202615052,1,398.69193055175754,1,true,0.0003,smoke_04_pure_quadratic_pure_rho_0p0003_rep01,pure_rho,1777948051005,ok,1.52011575,2.0,11,2,202615053
silu,1,k2,202615051,4,,3266.200455418143,1777948085601,05_knn_equilibration,128,2,0.001,dfl,888.8709424364083,4426.1705046988545,3537.299562262446,3.9752565753147127,202615052,1,397.52565753147127,1,true,0.0,smoke_05_knn_equilibration_k2_rep01,baseline,1777948051326,ok,0.866354708,2.0,11,2,202615053
silu,4,batch4,202615051,4,,3266.4441144830676,1777948085928,06_batch_size,128,0,0.001,dfl,888.8709424364083,4426.991242819552,3538.1203003831442,3.976106823050838,202615052,1,397.6106823050838,1,true,0.0,smoke_06_batch_size_batch4_rep01,baseline,1777948051445,ok,0.806950458,2.0,11,2,202615053
silu,1,depth5,202615051,5,,3266.1972762492755,1777948085853,07_deep_network,128,0,0.001,dfl,888.8709424364083,4426.294501540587,3537.4235591041784,3.9753554058168983,202615052,1,397.5355405816898,1,true,0.0,smoke_07_deep_network_depth5_rep01,baseline,1777948051760,ok,0.908357416,2.0,11,2,202615053
silu,1,width64,202615051,4,,3266.2852182951224,1777948085702,08_wide_network,64,0,0.001,dfl,888.8709424364083,4426.71551752659,3537.8445750901815,3.975800412948951,202615052,1,397.5800412948951,1,true,0.0,smoke_08_wide_network_width64_rep01,baseline,1777948052019,ok,0.932612042,2.0,11,2,202615053
